#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Feel Good Inc.","Gorillaz,De La Soul",139,2B,71,2021-08-15,03:42,91,"jazz rap, east coast hip hop","Demon Days",2005-05-23,82,1,0,77,10,60,-7,F#/G♭ Major,4,0d28khcov6AiegSCpG5TuT,GBAYE0500172
2,"Devil’s Advocate","The Neighbourhood",98,10A,68,2021-08-15,03:06,0,"","Devil's Advocate",2020-08-21,66,3,14,86,0,50,-8,B Minor,4,4aBCSgAz8OyHgWQ9HnYZlw,USSM12003781
3,"Killer Queen","Queen",117,6B,50,2021-08-15,03:00,52,"classic rock, rock, glam rock","Sheer Heart Attack",1974-11-08,57,34,0,60,0,0,-12,A#/B♭ Major,4,70wvmV1Dyg1xWtCYSngm4R,GBCEE9300004
4,"Toxic","Britney Spears",143,4A,84,2021-08-15,03:18,87,"pop","In The Zone",2003-11-13,77,2,3,92,10,20,-4,F Minor,4,6I9VzXrHxO9rA9A5euc8Ak,USJI10301005
5,"Choke","I DONT KNOW HOW BUT THEY FOUND ME",120,9A,85,2021-08-15,03:15,66,"","Choke",2018-08-24,52,0,0,58,0,30,-4,E Minor,4,37mfTcSlX60JtAvAETytGs,TCADH1774692
6,"Everybody Wants To Rule The World","Tears For Fears",112,9B,80,2021-08-15,04:11,86,"new wave, synthpop","Songs From The Big Chair (Super Deluxe Edition)",1985-02-25,65,35,0,54,0,10,-12,G Major,4,4RvWPyQ5RL0ao9LPZeSouE,GBF088590110
7,"Don't Try Suicide - Remastered 2011","Queen",135,9B,49,2021-08-15,03:52,56,"classic rock, rock, glam rock","The Game (2011 Remaster)",1980-06-27,80,34,0,65,20,0,-8,G Major,4,0V7AVcMTaQqLKzxVloxWHj,GBUM71103485
8,"Sweater Weather","The Neighbourhood",124,6B,81,2021-08-15,04:00,93,"","I Love You.",2013-04-22,61,5,2,40,0,10,-3,A#/B♭ Major,4,2QjOHCTQ1Jl3zawyYOpxh6,USSM11300080
9,"The Drug In Me Is You","Falling In Reverse",145,5B,86,2021-08-15,03:38,74,"emo, rap metal","The Drug In Me Is You",2011-07-26,55,1,0,64,10,10,-3,D#/E♭ Major,4,1mB7dCUM7sPyNab6R43nlj,USEP41118003
10,"Daddy Issues","The Neighbourhood",85,6B,52,2021-08-15,04:20,86,"","Wiped Out!",2015-10-30,59,7,15,34,0,10,-9,A#/B♭ Major,4,5E30LdtzQTGqRvNd7l6kG5,USSM11506747
11,"Verbatim","Mother Mother",78,9B,58,2021-08-15,02:48,1,"","Touch Up",2007-05-08,83,31,0,49,30,10,-7,G Major,4,266Vb7ItE3o1q8HdJ9QOvn,CAL450793908
12,"Circus","Britney Spears",115,11A,73,2021-08-15,03:12,81,"pop","Circus (Deluxe Version)",2008-12-02,79,15,0,76,0,0,-5,F#/G♭ Minor,4,7jk7gqyEonmVVYahZN5zhW,USJI10801081
13,"Fahrradsattel","Pisse",120,10B,94,2021-08-15,01:49,0,"egg punk","Kohlrübenwinter",2016-09-19,68,26,74,66,0,70,-8,D Major,4,3svmi1v7HMlyYb7Pnossz6,GX38U2169400
14,"The Cult of Dionysus","The Orion Experience,ORION,Linda XO",138,12A,84,2021-08-15,03:07,65,"","Cosmicandy",2006-01-01,66,1,0,80,0,0,-4,C♯/D♭ Minor,4,08KTQSs3ickNki7FFTb6fY,USCGH0714735
15,"Applause","Lady Gaga",140,6A,78,2021-08-15,03:32,80,"art pop, pop","ARTPOP",2013-11-11,67,3,0,74,0,10,-4,G Minor,4,5ka2ajep9OAvU5Sgduhiex,USUM71310271
16,"I Can't Decide","Scissor Sisters",97,5B,81,2021-08-15,02:46,61,"","Ta-Dah",2006-01-01,69,24,0,87,0,20,-5,D#/E♭ Major,4,7f6RiVFXqUT3dWi35OznLI,GBUM70602614
17,"Song 2 - 2012 Remaster","Blur",130,4B,79,2021-08-15,02:01,83,"britpop, madchester, alternative rock","Blur (Special Edition)",1997-02-10,67,0,1,92,0,0,-7,G#/A♭ Major,4,1FTSo4v6BOZH9QxKc3MbVM,GBAYE1200348
18,"Backstabber","Kesha",160,9B,94,2024-02-29,03:06,72,"","Animal (Expanded Edition)",2010-01-01,60,7,0,83,10,30,-2,G Major,4,4GRFzKI7jTZ3kbMfouc7bn,USRC10900741
19,"Crazy = Genius","Panic! At The Disco",114,10B,91,2021-08-15,03:18,63,"emo","Death of a Bachelor",2016-01-15,46,0,0,45,10,10,-4,D Major,4,6V68ItawQkQlZhYIf1S86C,USAT21503697
20,"My First Kiss (feat. Ke$ha)","3OH!3,Kesha",138,8B,89,2024-02-29,03:12,66,"","Streets Of Gold",2010-06-25,68,1,0,83,0,30,-4,C Major,4,17tDv8WA8IhqE8qzuQn707,USAT21000648
21,"Faggot","Mindless Self Indulgence",152,3B,76,2021-08-15,02:43,64,"","Frankenstein Girls Will Seem Strangely Sexy",2000-02-11,63,0,0,56,10,0,-10,C♯/D♭ Major,4,09RhTAi0nuzCs5KS2XWSs5,USEE19900577
