#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"BLISS","Tyla",116,4B,72,2026-02-08,02:40,67,"afrobeats","BLISS",2025-05-09,70,34,0,50,10,10,-5,G#/A♭ Major,4,4dnjLEblR5XKUMJ5ELQceh,USSM12501901
2,"needy","Ariana Grande",87,6A,31,2026-02-08,02:51,84,"pop","thank u, next",2019-02-08,65,78,0,20,0,20,-8,G Minor,4,1TEL6MlSSVLSdhOSddidlJ,USUM71900396
3,"Too Much","Carly Rae Jepsen",123,2B,65,2026-02-08,03:17,28,"","Dedicated",2019-05-17,69,4,0,39,0,10,-6,F#/G♭ Major,4,08k3hcXnt3uFoAhDT7kmFO,USUM71905111
4,"bittersweet","Madison Beer",110,7B,62,2026-02-08,03:22,77,"","locket",2026-01-16,63,74,0,18,0,20,-7,F Major,4,6vDVu9IM9s8L8XMQ1c1Yti,USSM12503876
5,"the way things go","beabadoobee",132,11B,51,2026-02-09,03:07,76,"bedroom pop","the way things go",2023-07-18,53,85,1,46,0,30,-8,A Major,4,5sA3i6SGkILMiZW6Fhx4wv,GBK3W2302683
6,"twilight zone","Ariana Grande",115,7B,48,2026-02-08,03:18,72,"pop","eternal sunshine deluxe: brighter days ahead",2025-03-28,73,9,0,19,0,10,-7,F Major,4,1YRbAonLvmuUILvQso0gUM,USUM72501915
7,"So Easy (To Fall In Love)","Olivia Dean",140,5B,63,2026-02-08,02:49,97,"pop soul","The Art of Loving",2025-09-26,75,67,0,57,0,0,-6,D#/E♭ Major,4,6sGIMrtIzQjdzNndVxe397,GBUM72503087
8,"LOVE LOOKS PRETTY ON YOU","Nessa Barrett",184,2B,55,2026-02-08,03:12,61,"","AFTERCARE DELUXE",2025-02-07,39,61,0,35,0,10,-8,F#/G♭ Major,4,47uY2r2IzVg8moQyAwmm83,USWB12405130
9,"Glue Song","beabadoobee",114,3B,41,2026-02-09,02:15,81,"bedroom pop","Glue Song",2023-02-14,62,77,5,58,0,10,-10,C♯/D♭ Major,3,3iBgrkexCzVuPy4O9vx7Mf,GBK3W2302568
10,"WHERE IS MY HUSBAND!","RAYE",116,4B,78,2026-02-08,03:17,93,"","WHERE IS MY HUSBAND!",2025-09-19,39,6,0,63,0,10,-7,G#/A♭ Major,4,55lijDD6OAjLFFUHU9tcDm,QMFME2535037
