#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"ENFP (男声版）","樊宇镈(Coulson Fan)",80,11B,45,-,03:25,18,"chinese r&b","ENFP (男声版）",2025-06-13,70,74,0,32,0,10,-5,A Major,4,3ZuH16MxsDjdusgoiY3eDI,QZTB42550284
2,"things we'll never share","tonybear",122,8B,50,-,03:32,20,"","starstruck",2025-10-24,37,76,0,21,0,10,-8,C Major,3,2WjGoBADGr09S1dmnfrFFn,QT3F72518670
3,"My heart’s in pieces","Reinisty Lowe",130,7B,30,-,01:50,29,"","My heart’s in pieces",2026-04-20,70,17,0,32,0,10,-13,F Major,4,6G8TbMjjbQGTODMKaViDCw,QT82T2647949
4,"KARMA","Matt Terry",130,3B,41,-,03:04,26,"","KARMA",2026-04-17,63,24,0,55,0,30,-8,C♯/D♭ Major,4,1R9mGiQpHW0KbnBdrM7czW,QM4TW2689534
5,"Love me Truly","Ozzico",147,6A,35,-,03:26,36,"","Love me Truly",2026-04-13,48,18,0,20,0,10,-11,G Minor,3,2BV2k3M1coDIhL84ajHdGy,GXJBY2630216
6,"ESFJ","樊宇镈(Coulson Fan)",129,7B,36,-,03:33,15,"chinese r&b","ESFJ",2025-06-13,54,77,0,15,0,0,-12,F Major,4,2OFp3O4aBAyxK4dxxGmZus,QZTB42553019
7,"Sinking to the Deepest Bottom","CHURCH SILVA,Sarah Silva Goncalves",98,6B,34,-,03:55,27,"","Sinking to the Deepest Bottom",2026-04-20,58,34,0,19,0,0,-12,A#/B♭ Major,3,7bURbUpZzd9mxXDhHSzr5i,QT82V2608532
8,"akire's theme","tonybear",121,11B,33,-,01:45,23,"","you're once in a lifetime",2024-09-27,49,90,0,50,0,10,-9,A Major,4,12ne8a9Qk1PAi3IHZS3xX9,QZTB92431838
9,"Every Universe","The Cab",83,12B,29,-,03:48,39,"","Chasing Crowns",2026-04-24,47,80,0,17,0,10,-12,E Major,4,3somoSUAumDYDqoNW4mvJp,AEA3A2042753
10,"Losin' Streak","Alador",101,7A,42,-,01:49,25,"","Losin' Streak",2026-04-19,63,63,0,39,0,30,-11,D Minor,3,2isITOuqeSMq8BfyWukJ3m,GXJBY2648846
11,"harder to lose (simplified)","Zach Paradis",79,10B,20,-,02:34,15,"christian hip hop","harder to lose (simplified)",2025-11-21,47,94,0,24,0,10,-9,D Major,4,1Fn60rhLyqncid4K7ruCJ4,QT3F22541628
12,"Gemini","樊宇镈(Coulson Fan)",95,2B,61,-,02:58,29,"chinese r&b","Gemini",2026-01-30,70,39,0,84,0,10,-6,F#/G♭ Major,4,077d3TNyk6VIlA9t1HSooa,QZHN72621768
13,"Eyes","Vincentz",77,6B,53,-,04:27,15,"","Eyes",2024-01-01,54,68,0,12,0,10,-6,A#/B♭ Major,4,2SjF3roBFC231nmMSqwN78,QZNWX2471445
14,"HOPELESS LIFE","tonybear",170,1B,42,-,03:16,25,"","HOPELESS LIFE",2023-11-24,37,51,0,29,0,10,-8,B Major,4,0CQb8UDnAdnWylZkGHt8PS,QZTBD2396128
15,"messages","Jared Krumm",143,8B,39,-,02:15,29,"","messages",2026-03-29,66,75,0,43,0,10,-7,C Major,4,335Q3JInLv3Ctb1T2xMQEh,QZMEV2635150
16,"Your Perfume’s Still On My Coat","Sylvn Hale",160,11A,36,-,02:35,17,"","OBSESSED",2025-05-02,58,0,0,12,0,10,-13,F#/G♭ Minor,4,3Ag1GBxsPcDtEhE4l6BX5J,QZAKB2467980
17,"靠近（好想去说喜欢你）","樊宇镈(Coulson Fan)",153,10B,46,-,03:40,18,"chinese r&b","靠近（好想去说喜欢你）",2025-11-19,32,80,0,35,0,10,-4,D Major,4,1XngL7yDX4MahCvBRoR70m,QT6F22524679
18,"In the Middle","Joshua Mari",68,6B,20,-,03:42,21,"pinoy r&b, pinoy hip hop, opm","In the Middle",2026-01-04,46,86,0,42,0,10,-12,A#/B♭ Major,4,4UgzDafqvHWOgWzikChcNi,QT6672521837
19,"gordon's interlude","donny daydream",126,10A,18,-,02:25,14,"","I'll look out for you",2024-09-06,46,90,0,30,0,10,-14,B Minor,4,6F6QSe789TtKF5nxHG1kuD,QZTB72453284
20,"Sorry For The Things That I Said","Calvert Tay",139,6B,27,-,03:38,14,"malay pop, mandopop, chinese r&b","Sorry For The Things That I Said",2026-01-30,39,77,0,36,0,0,-11,A#/B♭ Major,4,5KGAKAdl1eYjYxin6Ob0dD,SGB242601979
21,"You should have answered","Quin Bae",75,6B,28,-,04:31,16,"","You should have answered",2026-03-30,66,51,0,20,10,30,-14,A#/B♭ Major,4,5hkfXnd1TYZavDdyiRFh2T,QZTB52649035
22,"2026","Brhm18",152,7B,34,-,04:04,12,"","Handle With Care",2026-04-03,52,60,0,21,0,10,-9,F Major,3,1JY3TDZHNITDpLUNABChDs,ID1532600653
23,"broken hearts lie","Harvey Brittain",105,10A,32,-,02:36,15,"","my heart keeps score",2025-06-27,66,64,0,49,0,0,-9,B Minor,4,6pjCikdQ3kGKQZFEX8FEN3,QZTAU2556694
