#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"jealousy, jealousy","Olivia Rodrigo",164,3A,57,2022-06-07,02:53,83,"","SOUR",2021-05-21,70,20,0,70,10,0,-6,A#/B♭ Minor,4,0MMyJUC3WNnFS1lit5pTjk,USUG12101248
2,"drivers license","Olivia Rodrigo",144,6B,43,2022-06-07,04:02,86,"","SOUR",2021-05-21,56,77,0,14,0,10,-9,A#/B♭ Major,4,5wANPM4fQCJwkGd4rN57mH,USUG12004749
3,"happier","Olivia Rodrigo",169,2B,44,2022-06-07,02:55,85,"","SOUR",2021-05-21,40,77,0,34,10,0,-10,F#/G♭ Major,3,2tGvwE8GcFKwNdAXMnlbfl,USUG12101247
4,"Dollhouse","Melanie Martinez",130,4A,71,2022-06-07,03:51,76,"","Cry Baby (Deluxe Edition)",2015-08-14,73,22,0,56,0,70,-5,F Minor,4,6wNeKPXF0RDKyvfKfri5hf,USAT21401604
5,"Heart Attack (츄)","LOONA",99,9B,86,2022-06-07,03:14,35,"k-pop","Chuu",2017-12-28,66,5,0,75,0,50,-3,G Major,4,6Ul4x5pyNZqi4OvTjEtH8V,KRE081700034
6,"Enough For Us","The WDK",99,8B,56,2022-06-07,02:38,0,"tropical house","Enough For Us",2021-02-19,57,63,0,64,0,10,-9,C Major,4,062yG3KilPZhVyQXo9TRjg,QZ93L2103947
7,"Red","Taylor Swift",125,12A,90,2022-06-07,03:43,57,"","Red (Deluxe Edition)",2012-10-22,60,8,0,64,0,0,-4,C♯/D♭ Minor,4,7gJtmLyPTwKzhGzMBXtuXH,USCJY1231020
8,"On The Ground","ROSÉ",189,3B,61,2022-06-07,02:48,67,"k-pop","R",2021-03-12,31,2,0,29,10,10,-7,C♯/D♭ Major,4,2pn8dNVSpYnAtlKFC8Q0DJ,KRA402100040
9,"Play Date","Melanie Martinez",124,7B,73,2022-06-07,02:59,80,"","Cry Baby (Deluxe Edition)",2015-08-14,68,61,0,45,0,20,-5,F Major,4,4DpNNXFMMxQEKl7r0ykkWA,USAT21502465
10,"Prom Queen","Beach Bunny",144,12B,80,2022-06-07,02:16,3,"","Prom Queen",2018-08-10,53,0,1,75,0,10,-7,E Major,4,6MpCaSIOfqBqbMED4kXgNY,QZDA71885746
11,"Teacher's Pet","Melanie Martinez",141,6A,79,2022-06-07,04:01,76,"","K-12",2019-09-06,69,27,0,53,0,10,-6,G Minor,3,5o5akY9xnEk6lpMkD8RwD9,USAT21902535
12,"needy","Ariana Grande",87,6A,31,2022-06-07,02:51,84,"pop","thank u, next",2019-02-08,65,78,0,20,0,20,-8,G Minor,4,1TEL6MlSSVLSdhOSddidlJ,USUM71900396
13,"Jigsaw","Conan Gray",168,11B,52,2022-06-07,03:28,48,"","Jigsaw",2022-01-21,27,8,0,16,0,10,-6,A Major,4,1WzOonguDKuWQrTTf5yR0D,USUM72200064
14,"Kiss Me More (feat. SZA)","Doja Cat,SZA",111,4B,70,2022-06-07,03:28,8,"r&b","Kiss Me More (feat. SZA)",2021-04-09,76,24,0,74,0,10,-4,G#/A♭ Major,4,748mdHapucXQri7IAO8yFK,USRC12100543
15,"Surface Pressure","Jessica Darrow",180,10B,58,2022-06-07,03:22,71,"","Encanto (Original Motion Picture Soundtrack)",2021-11-19,65,2,0,37,30,0,-8,D Major,4,760jhRscwGbIIe1m1IIQpU,USWD12112914
16,"Boy With Luv (feat. Halsey)","BTS,Halsey",120,10A,86,2022-06-07,03:49,78,"k-pop, ","MAP OF THE SOUL : PERSONA",2019-04-12,65,9,0,80,0,10,-5,B Minor,4,4a9tbd947vo9K8Vti9JwcI,QM6MZ1917908
17,"We Are Never Ever Getting Back Together (Taylor's Version)","Taylor Swift",172,9B,69,2022-06-07,03:13,73,"","Red (Taylor's Version)",2021-11-12,57,3,0,72,10,0,-6,G Major,4,5YqltLsjdqFtvqE7Nrysvs,USUG12103668
18,"The Other Woman","Lana Del Rey",112,6A,47,2022-06-07,03:01,76,"","Ultraviolence (Deluxe)",2014-01-01,26,82,25,18,0,30,-6,G Minor,4,1KuVEZR4xuQVNr1KkanAV4,GBUM71402106
19,"1 step forward, 3 steps back","Olivia Rodrigo",169,10B,20,2022-06-07,02:43,79,"","SOUR",2021-05-21,47,94,0,42,10,10,-13,D Major,4,4wcBRRpIfesgcyUtis7PEg,USUG12101244
20,"fake smile","Ariana Grande",83,11B,62,2022-06-07,03:28,64,"pop","thank u, next",2019-02-08,45,33,0,43,30,30,-7,A Major,4,3wFLWP0FcIqHK1wb1CPthQ,USUM71900401
21,"Bags","Clairo",105,3B,55,2022-06-07,04:20,8,"bedroom pop","Immunity",2019-08-02,74,17,38,87,0,10,-8,C♯/D♭ Major,4,6UFivO2zqqPFPoQYsEMuCc,US4HB1900080
