#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"twilight zone","Ariana Grande",115,7B,47,2025-05-18,03:18,69,"pop","eternal sunshine deluxe: brighter days ahead",2025-03-28,73,10,0,23,0,0,-7,F Major,4,1UrwJzlNC2oaTlxj1OZmcu,USUM72501915
2,"Crybaby","SZA",180,3B,48,2025-05-18,04:01,72,"r&b","SOS Deluxe: LANA",2024-12-20,25,66,19,43,0,10,-10,C♯/D♭ Major,3,1g7pFO1WtclKCuIQiS8sNM,USRC12403847
3,"Saturn","SZA",178,3B,62,2025-05-18,03:06,78,"r&b","Saturn",2024-02-22,41,62,0,34,0,10,-7,C♯/D♭ Major,4,1bjeWoagtHmUKputLVyDxQ,USRC12400216
4,"BIRDS OF A FEATHER","Billie Eilish",105,10B,51,2025-05-18,03:30,94,"","HIT ME HARD AND SOFT",2024-05-17,75,20,6,44,0,10,-10,D Major,4,6dOtVTDdiauQNBQEDOtlAB,USUM72401994
5,"Guilty as Sin?","Taylor Swift",95,10B,43,2025-05-18,04:14,77,"","THE TORTURED POETS DEPARTMENT",2024-04-18,63,61,0,49,0,0,-8,D Major,3,0W0iAC1VGlB82PI6elxFYf,USUG12401036
6,"Cinnamon Girl","Lana Del Rey",92,11A,34,2025-05-18,05:00,89,"","Norman Fucking Rockwell!",2019-08-30,29,81,41,14,0,10,-11,F#/G♭ Minor,5,2mdEsXPu8ZmkHRRtAdC09e,GBUM71903147
7,"Begin Again (Taylor's Version)","Taylor Swift",79,9B,53,2025-05-18,03:58,69,"","Red (Taylor's Version)",2021-11-12,52,8,0,27,0,10,-8,G Major,4,05GsNucq8Bngd9fnd4fRa0,USUG12103676
8,"Heavy","The Marías",97,8B,41,2025-05-18,04:13,83,"bedroom pop","CINEMA",2021-06-25,76,33,75,73,0,0,-8,C Major,4,1ShRHPAiiIrh0arZbSFmx1,USAT22100694
9,"0310","Yerin Baek",136,9B,46,2025-05-18,03:58,51,"k-ballad","Every letter I sent you.",2019-12-10,55,70,0,53,0,10,-6,G Major,4,2rXabO62OjjZIZAOn6uzuv,KRF251900196
10,"Lovelovelove","Yerin Baek",114,11B,31,2025-05-18,04:34,42,"k-ballad","Every letter I sent you.",2019-12-10,45,93,0,34,0,10,-10,A Major,3,297eHOCtcTsaa8hqmuNDe0,KRF251900194
