#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"ESFJ","ONKEY",93,8B,44,2025-12-01,03:09,0,"","MBTI",2024-12-27,80,26,0,62,0,20,-5,C Major,4,7ASrVDwf8f5HXtG9QAB1qf,KSB012330081
2,"toxic till the end","ROSÉ",167,9B,60,2025-12-01,02:36,81,"k-pop","rosie",2024-12-06,41,5,0,30,10,10,-6,G Major,4,1z5ebC9238uGoBgzYyvGpQ,USAT22409170
3,"Memories","Conan Gray",113,1B,68,2025-12-01,04:08,61,"","Memories",2022-04-15,34,1,0,56,0,30,-6,B Major,4,7AYP21Q4qnxw2WxETEvSRb,USUM72204111
4,"Still into You","Paramore",136,7B,92,2025-12-01,03:36,84,"pop punk, emo","Paramore",2013-04-05,60,1,0,77,0,0,-4,F Major,4,1yjY7rpaAQvKwpdUliHx0d,USAT21300012
5,"Daylight","Taylor Swift",150,8B,50,2025-12-01,04:53,81,"","Lover",2019-08-23,56,81,0,27,0,0,-10,C Major,4,1fzAuUVbzlhZ1lJAx9PtY6,USUG11901486
6,"Pretty Girl","KARA",134,7B,93,2025-12-01,03:29,48,"k-pop","Pretty Girl (2nd Mini Album)",2008-12-04,74,1,0,66,0,0,-3,F Major,4,28GE60KLxobidYzuUHW6iI,KRA491000184
7,"needy","Ariana Grande",87,6A,31,2025-12-01,02:51,84,"pop","thank u, next",2019-02-08,65,78,0,20,0,20,-8,G Minor,4,1TEL6MlSSVLSdhOSddidlJ,USUM71900396
8,"drivers license","Olivia Rodrigo",144,6B,43,2025-12-01,04:02,86,"","SOUR",2021-05-21,56,77,0,14,0,10,-9,A#/B♭ Major,4,5wANPM4fQCJwkGd4rN57mH,USUG12004749
9,"All Of The Girls You Loved Before","Taylor Swift",96,10B,47,2025-12-01,03:41,71,"","All Of The Girls You Loved Before",2019-08-23,73,71,0,40,0,10,-10,D Major,3,4P9Q0GojKVXpRTJCaL3kyy,USUG12301406
10,"Lover","Taylor Swift",69,9B,54,2025-12-01,03:41,85,"","Lover",2019-08-23,36,49,0,45,0,10,-8,G Major,4,1dGr1c8CrMLDpV6mPbImSI,USUG11901473
