#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"SUN","Gen Hoshino",108,3B,68,2025-10-15,04:01,64,"j-pop, anime","YELLOW DANCER",2015-12-02,78,2,0,86,0,10,-6,C♯/D♭ Major,4,1DOZa2VoazIiDjGYlUQTlW,JPVI01513950
2,"イケナイ太陽","ORANGE RANGE",145,9A,94,2025-10-15,03:59,67,"j-pop, anime, j-rock","PANIC FANCY",2008-07-09,51,0,0,83,0,10,-4,E Minor,4,7emibp3qHeqNNYqZ2Y09xb,JPSR00701981
3,"medicine","Leina",110,8B,75,2025-10-15,02:42,56,"j-pop","medicine",2025-04-30,79,21,0,93,0,10,-3,C Major,4,72SOp62ne2tErJqwlGEHQj,QM6N22577932
4,"花火","aiko",96,7B,87,2025-10-15,04:38,64,"j-pop","桜の木の下",2000-03-01,62,7,0,89,0,0,-5,F Major,4,0I0zZHGJ6ea8TxwbUvvJEH,JPPC00000036
5,"LIVE IT UP! (feat. Furui Riho)","Ayumu Imazu,Furui Riho",160,2B,86,2025-10-15,03:45,46,"j-pop, j-r&b, japanese indie","LIVE IT UP! (feat. Furui Riho)",2025-04-23,73,6,0,90,30,0,-5,F#/G♭ Major,4,2UzNrRpOVm83g8CHCXY64P,JPWP02500303
6,"なんでもないよ、","Macaroni Empitsu",172,12B,51,2025-10-15,03:39,68,"j-pop","ハッピーエンドへの期待は",2022-01-12,60,25,0,65,0,0,-6,E Major,4,5W7Y92LB4jWvu9NeEQ0GZl,JPTF02128201
7,"春を告げる","yama",120,1B,87,2025-10-15,03:16,65,"j-pop, anime, j-rock","春を告げる",2020-04-17,55,4,0,49,10,30,-5,B Major,4,2Gmyw5Vg2X5YW2lM3OC7nD,TCJPK2087568
8,"常熱","Vaundy",155,6A,68,2025-10-15,03:59,63,"j-pop, japanese indie, j-rock, anime","replica",2023-11-15,74,30,0,73,0,10,-5,G Minor,4,5h3ynZiK27wTtQt0uXId75,JPP302300546
9,"祝福","YOASOBI",170,9A,97,2025-10-15,03:12,66,"j-pop, anime","THE BOOK 3",2023-10-04,54,1,0,65,0,30,-3,E Minor,4,1VoTe7qVyqyMNLgZpQeugO,JPP302200613
10,"革命道中 - On The Way","AiNA THE END",93,9B,89,2025-10-15,03:17,81,"anime, j-pop","革命道中 - On The Way",2025-07-02,76,21,0,61,0,30,-3,G Major,4,1oFqKeepmT5S8BCGqJl7Ar,JPB602501972
11,"愛してみてよ減るもんじゃないし","neguse.",103,8B,88,2025-10-15,03:18,55,"j-pop","ファンタジーな祝日を!!!",2024-02-14,55,2,0,65,0,10,-2,C Major,4,02zL4pPPM0Yt4fhkwnN97y,JPP302300155
12,"君の恋人になれますように","Kaneyorimasaru",167,7B,96,2025-11-15,04:17,56,"japanese indie, j-rock, j-pop","昨日を生きない私達へ",2025-01-29,49,38,0,69,0,30,-2,F Major,4,4ULgTE9WJkJbUIagN5XG55,JPVI02403884
13,"Trap Anthem","MC Virgins,Yun Head",160,11A,80,2025-11-19,02:12,53,"anime","Trap Anthem",2020-02-25,82,8,0,70,20,10,-5,F#/G♭ Minor,4,5Bj8OQClC6mEkSiQ8LgGi2,QZFZ42074239
14,"恋","Gen Hoshino",158,11B,80,2025-11-20,04:13,63,"j-pop, anime","恋",2016-10-05,62,0,0,91,0,10,-3,A Major,4,5Hu29JT4xtbRUBTZeOAjxW,JPVI01627330
15,"Super Girl","Anais,Ko",133,2B,70,2026-01-19,02:40,57,"j-rap","Super Girl",2024-09-06,76,28,0,37,10,10,-5,F#/G♭ Major,4,2cwoGPkDhZNJ1ry8DZ6fzw,TCJPB2476516
16,"Crush Genesis!!","susumu.",126,3A,43,2026-01-23,02:24,46,"j-r&b, j-pop","Crush Genesis!!",2025-07-09,85,69,6,77,0,0,-13,A#/B♭ Minor,4,4D2GxabLYBg0goSiq72iub,GXBAV2180094
17,"L4DY","Lavt",122,11A,68,2026-01-26,02:32,48,"j-pop","L4DY",2024-07-31,73,30,0,96,0,20,-4,F#/G♭ Minor,4,4S7rVcmRg9wEpAwu05ynvc,QM7282416272
18,"愛をこめて花束を","Superfly",162,9B,80,2026-02-06,04:55,71,"j-pop","Superfly",2007-04-04,37,15,0,45,0,0,-3,G Major,4,7CmWXD3w1xOO53AAO4LRVQ,JPWP00700855
19,"Calling","Foi",95,11B,56,2026-02-22,03:16,40,"j-r&b, japanese indie, j-pop","Rondo",2026-02-18,75,17,0,62,10,20,-7,A Major,4,2MDjHxEBDJYkkDzTvqFz9S,JPG102502555
20,"トリセツ","Kana Nishino",96,10B,73,2026-03-21,04:21,57,"j-pop","トリセツ",2015-09-09,61,26,0,77,0,30,-6,D Major,4,23b0C1AE9Jt408lzWIvPSn,JPU901502466
21,"桜が降る夜は","Aimyon",107,7B,96,2026-04-07,04:34,58,"j-pop","桜が降る夜は",2021-02-17,64,38,0,71,0,20,-3,F Major,4,1iEsGutpDvMJG0zYqoKKmQ,JPWP02100223
22,"満月の夜なら","Aimyon",97,4B,95,2026-04-07,03:25,58,"j-pop","瞬間的シックスセンス",2019-02-13,55,1,0,78,0,30,-3,G#/A♭ Major,4,7DW5Dro8AHE7x19COl26E3,JPWP01870353
