#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Bubblegum Bitch","MARINA",158,5A,86,2026-02-02,02:34,81,"","Electra Heart (Deluxe)",2012-04-27,50,0,0,61,0,10,-5,C Minor,4,6IbnUaczZBT34DhaD6S18F,GBFFS1200008
2,"Primadonna","MARINA",128,9A,69,2026-02-02,03:41,82,"","Electra Heart (Deluxe)",2012-04-27,66,9,0,43,0,0,-3,E Minor,4,4sOX1nhpKwFWPvoMMExi3q,GBFFS1200009
3,"Doin' Time","Lana Del Rey",145,6A,56,2026-02-02,03:22,79,"","Norman Fucking Rockwell!",2019-08-30,64,40,0,52,0,0,-11,G Minor,4,0Oqc0kKFsQ6MhFOLBNZIGX,GBUM71903894
4,"Sweater Weather","The Neighbourhood",124,6B,81,2026-02-02,04:00,93,"","I Love You.",2013-04-22,61,5,2,40,0,10,-3,A#/B♭ Major,4,2QjOHCTQ1Jl3zawyYOpxh6,USSM11300080
5,"7 rings","Ariana Grande",140,12A,32,2026-02-02,02:58,86,"pop","thank u, next",2019-02-08,78,59,0,33,30,0,-11,C♯/D♭ Minor,4,6ocbgoVGwYJhOv1GgI9NsF,USUM71900110
6,"Cruel Summer","Taylor Swift",170,11B,70,2026-02-02,02:58,89,"","Lover",2019-08-23,55,12,0,56,10,10,-6,A Major,4,1BxfuPKGuaTgP7aM0Bbdwr,USUG11901472
7,"As If It's Your Last","BLACKPINK",125,4B,85,2026-02-02,03:33,77,"k-pop","As If It's Your Last",2017-06-22,79,7,0,46,0,0,-3,G#/A♭ Major,4,4ZxOuNHhpyOj4gv52MtQpT,KRA401700174
8,"Shake It Off","Taylor Swift",160,9B,80,2026-02-02,03:39,83,"","1989 (Deluxe)",2014-01-01,65,6,0,94,10,30,-5,G Major,4,0cqRj7pUJDkTCEsJkx8snD,USCJY1431349
9,"Solo (feat. Demi Lovato)","Clean Bandit,Demi Lovato",105,10A,64,2026-02-02,03:42,76,"","Solo (feat. Demi Lovato)",2018-05-17,74,4,0,56,0,30,-5,B Minor,4,6kPJZM97LwdG9QIsT7khp6,GBAHS1800328
10,"22","Taylor Swift",104,9B,73,2026-02-02,03:52,60,"","Red (Deluxe Edition)",2012-10-22,66,0,0,67,0,0,-7,G Major,4,3WC5CVAahvn98hiseoIvbw,USCJY1231040
11,"Cake By The Ocean","DNCE",119,9A,75,2026-02-03,03:39,84,"","DNCE",2016-11-18,77,15,0,90,0,0,-5,E Minor,4,76hfruVvmfQbw0eYn1nmeC,USUM71514637
12,"Dance Monkey","Tones And I",98,11A,59,2026-02-03,03:29,76,"","Dance Monkey (Stripped Back) / Dance Monkey",2019-10-17,82,69,0,51,0,10,-6,F#/G♭ Minor,4,2XU0oxnq2qxCpomAAuJY8K,QZES71982312
13,"The Nights","Avicii",126,2B,84,2026-02-03,02:56,86,"edm","The Days / Nights",2014-01-01,53,2,0,65,0,20,-5,F#/G♭ Major,4,0ct6r3EGTcMLPtrXHDvVjc,CH3131340464
14,"Candy","Doja Cat",125,4B,52,2026-02-03,03:10,81,"","Amala",2018-03-30,69,51,0,21,0,10,-6,G#/A♭ Major,4,1VJwtWR6z7SpZRwipI12be,USRC11801164
15,"Lush Life","Zara Larsson",98,6A,71,2026-02-03,03:20,94,"","So Good",2017-03-17,69,13,0,80,0,20,-4,G Minor,4,1rIKgCH4H52lrvDcz50hS8,SEWEE1500509
16,"Forever Young","BLACKPINK",110,12B,96,2026-02-03,03:57,66,"k-pop","SQUARE UP",2018-06-15,59,4,0,51,10,0,-2,E Major,4,2Pp9osgyIcw6o1avfDDDhH,KRA401800097
17,"Addict","Silva Hound,Michael Kovach,Chi-Chi",128,4A,78,2026-02-03,04:05,64,"","Addict (Remixed)",2020-04-24,64,10,0,70,0,10,-4,F Minor,4,6RcwjXyhaLPd2upAPVoLag,QZFZ22000107
18,"Attention","Charlie Puth",100,2A,61,2026-02-03,03:28,88,"soft pop","Voicenotes",2018-05-11,78,11,0,80,0,10,-5,D#/E♭ Minor,4,5cF0dROlMOK5uNZtivgu50,USAT21700928
19,"Shape of You","Ed Sheeran",96,12A,65,2026-02-03,03:53,90,"soft pop","÷ (Deluxe)",2017-03-03,83,58,0,93,0,0,-3,C♯/D♭ Minor,4,7qiZfU4dY1lWllzX7mPBI3,GBAHS1600463
20,"IDOL","BTS",126,11B,86,2026-02-03,03:42,79,"k-pop","Love Yourself 結 'Answer'",2018-08-24,73,0,0,42,10,10,-3,A Major,4,1e8J3XClxZbFmvIHLI8CE4,QM6MZ1886144
21,"Worth It (feat. Kid Ink)","Fifth Harmony,Kid Ink",100,4B,77,2026-02-03,03:44,79,"","Reflection (Deluxe)",2015-01-30,88,6,0,59,0,10,-4,G#/A♭ Major,4,41Fflg7qHiVOD6dEPvsCzO,USSM11406644
22,"Dancin (feat. Luvli) - Krono Remix","Aaron Smith,Krono,Luvli",120,3A,74,2026-02-03,03:18,62,"","Dancin (feat. Luvli) [Krono Remix]",2014-11-07,72,10,0,36,0,20,-7,A#/B♭ Minor,4,6WkJ2OK163XXS2oARUC9JM,QMLA71400326
23,"Watermelon Sugar","Harry Styles",95,8B,82,2026-02-03,02:53,87,"","Fine Line",2019-12-13,55,12,0,56,0,30,-4,C Major,4,6UelLqGlWMcVH1E5c4H7lY,USSM11912587
24,"Last Friday Night (T.G.I.F.)","Katy Perry",126,2A,81,2026-02-03,03:50,70,"pop","Teenage Dream",2010-08-24,65,0,0,73,0,60,-4,D#/E♭ Minor,4,3oHNJECGN3bBoGXejlw2b1,USCA21001264
25,"California Gurls","Katy Perry,Snoop Dogg",125,8B,75,2026-02-03,03:54,69,"pop, g-funk, west coast hip hop, gangster rap, old school hip hop, hip hop, rap","Teenage Dream",2010-08-24,79,0,0,40,0,10,-4,C Major,4,3f7gYMirBEKuc57218BjOY,USCA21001135
26,"Havana (feat. Young Thug)","Camila Cabello,Young Thug",105,10B,52,2026-02-03,03:37,83,"rap, trap, melodic rap","Camila",2018-01-12,77,18,0,39,0,10,-4,D Major,4,1rfofaqEpACxVEHIZBJe6W,USSM11706905
27,"Teenage Dream","Katy Perry",120,6B,80,2026-02-03,03:47,70,"pop","Teenage Dream",2010-08-24,72,2,0,59,0,10,-5,A#/B♭ Major,4,235LXPXfi0SmOaS9TaCh3c,USCA21001255
28,"Side To Side","Ariana Grande,Nicki Minaj",159,11A,74,2026-02-03,03:46,83,"pop, ","Dangerous Woman",2016-04-01,65,5,0,61,20,20,-6,F#/G♭ Minor,4,44ONERBHALxftQNWq6dmyd,USUM71602107
29,"Despacito - Remix","Luis Fonsi,Daddy Yankee,Justin Bieber",178,10B,82,2026-02-03,03:48,76,"latin, reggaeton, ","Despacito Feat. Justin Bieber (Remix)",2017-04-17,65,23,0,82,10,10,-4,D Major,4,6rPO02ozF3bM7NnOV4h6s2,USUM71703825
30,"Into You","Ariana Grande",108,11B,73,2026-02-03,04:04,84,"pop","Dangerous Woman",2016-04-01,62,2,0,37,10,10,-6,A Major,4,76FZM38RC8XaAjJ77CVTNe,USUM71601827
