#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Bite Me","ENHYPEN",105,3B,78,2026-02-20,02:37,80,"k-pop","DARK BLOOD",2023-05-22,80,28,0,69,10,10,-5,C♯/D♭ Major,4,7mpdNiaQvygj2rHoxkzMfa,USA2P2319853
2,"Busy Woman","Sabrina Carpenter",117,9B,76,2026-02-20,03:06,84,"pop","Short n' Sweet (Deluxe)",2025-02-14,73,17,0,90,0,10,-5,G Major,4,0b0Dz0Gi86SVdBxYeiQcCP,USUM72413907
3,"luther (with sza)","Kendrick Lamar,SZA",138,10B,57,2026-02-20,02:57,83,"hip hop, west coast hip hop, r&b","GNX",2024-11-22,71,25,0,58,10,20,-8,D Major,4,45J4avUb9Ni0bnETYaYFVJ,USUG12408496
4,"strangers","proderics,melodybloom",134,9A,63,2026-02-20,02:15,17,"","strangers",2024-03-16,67,73,35,78,0,10,-10,E Minor,4,2QdcmNlQdW8iA4JEg29cgx,QZHN72419814
5,"Strategy (feat. Megan Thee Stallion)","TWICE,Megan Thee Stallion",110,10B,75,2026-02-20,03:21,76,"k-pop, ","STRATEGY",2024-12-06,80,24,0,69,0,30,-2,D Major,4,5zQUndaoBtXJ10SsApqtvw,US5TA2400297
6,"How Sweet","NewJeans",125,3B,90,2026-02-20,03:39,76,"k-pop","How Sweet",2024-05-24,80,8,0,76,0,10,-3,C♯/D♭ Major,4,38tXZcL1gZRfbqfOG0VMTH,USA2P2414843
7,"Magnetic","ILLIT",131,2B,67,2026-02-20,02:40,83,"k-pop","SUPER REAL ME",2024-03-25,80,26,0,69,0,0,-6,F#/G♭ Major,4,1aKvZDoLGkNMxoRYgkckZG,USA2P2413259
8,"Super Shy","NewJeans",150,4A,82,2026-02-20,02:34,80,"k-pop","NewJeans 'Super Shy'",2023-07-07,78,18,0,52,0,10,-6,F Minor,4,5sdQOyqq2IDhvmx2lHOpwd,USA2P2330068
9,"Perfect Night","LE SSERAFIM",136,7B,82,2026-02-20,02:39,77,"k-pop","Perfect Night",2023-10-27,70,10,0,50,0,0,-5,F Major,4,74X2u8JMVooG2QbjRxXwR8,USA2P2349660
10,"little monster","ILLIT",128,6A,76,2026-02-20,02:29,63,"k-pop","bomb",2025-06-16,74,19,0,59,0,10,-6,G Minor,4,5MaPzLp2vwSqu8YyUZ4zR7,USA2P2525114
11,"Attention","NewJeans",105,3A,65,2026-02-20,03:00,77,"k-pop","NewJeans 1st EP 'New Jeans'",2022-08-01,81,24,0,70,0,0,-4,A#/B♭ Minor,4,2pIUpMhHL6L9Z5lnKxJJr9,USA2P2230221
12,"THIS IS FOR","TWICE",128,11A,74,2026-02-20,02:11,78,"k-pop","THIS IS FOR",2025-07-11,80,15,0,92,0,60,-5,F#/G♭ Minor,4,3598iBWrS4JhJqP5tHlpVK,US5TA2500103
13,"toxic till the end","ROSÉ",167,9B,60,2026-02-20,02:36,81,"k-pop","rosie",2024-12-06,41,5,0,30,10,10,-6,G Major,4,1z5ebC9238uGoBgzYyvGpQ,USAT22409170
14,"Angel","Massive Attack,Horace Andy",107,9B,31,2026-02-20,06:19,81,"trip hop, downtempo, roots reggae, dub, reggae, rocksteady, lovers rock, ragga","Mezzanine",1998-01-01,71,2,81,7,0,0,-11,G Major,4,7uv632EkfwYhXoqf8rhYrg,GBAAA9800327
15,"What You Want","CORTIS",171,12B,61,2026-02-20,03:14,76,"k-pop","What You Want",2025-08-18,57,1,0,59,20,0,-5,E Major,4,3rAcN3CLeSrkhIZN8PHbwb,USA2P2536184
16,"Jealous Type","Doja Cat",120,7A,86,2026-02-20,02:43,74,"","Jealous Type",2025-08-21,66,3,0,55,0,10,-3,D Minor,4,1IfGOnXoMBkiKC9xljlSfa,USRC12500972
17,"EoO","Bad Bunny",64,3A,46,2026-02-20,03:24,93,"reggaeton, trap latino, latin, urbano latino","DeBÍ TiRAR MáS FOToS",2025-01-05,36,75,86,18,0,0,-30,A#/B♭ Minor,4,6J5kc12BW5HuP3d7C3vvx8,QMFMF2447069
18,"GO!","CORTIS",150,4B,43,2026-02-20,02:50,83,"k-pop","COLOR OUTSIDE THE LINES",2025-09-08,79,22,0,30,30,10,-6,G#/A♭ Major,4,6OWWZtNQORY1McaZmOrwhc,USA2P2536188
19,"LOVE. FEAT. ZACARI.","Kendrick Lamar,Zacari",126,6B,59,2026-02-20,03:33,84,"hip hop, west coast hip hop, ","DAMN.",2017-04-14,80,26,0,78,0,10,-7,A#/B♭ Major,4,6PGoSes0D9eUDeeAafB2As,USUM71703088
20,"AEAO","Dynamicduo,DJ Premier",153,10B,76,2026-02-20,05:16,75,"k-rap, k-pop, east coast hip hop","A Giant Step",2014-07-16,45,6,0,58,10,10,-6,D Major,4,3TPvrMAd1hbPRXuHCRX0Pl,KRA381208477
21,"Super","Bb trickz",124,10A,52,2026-02-20,01:43,69,"","80'z",2025-04-08,79,64,0,76,20,10,-9,B Minor,4,4u5hMlAk0FpBsgReJ7Rpfy,ES5022500432
22,"TIT FOR TAT","Tate McRae",84,1A,71,2026-02-20,02:57,77,"","TIT FOR TAT",2025-09-26,62,21,0,49,0,20,-5,G#/A♭ Minor,4,04a44cx2PJthIbN2aLMXhl,USRC12502004
23,"Perfect Pair","R.L. Beats",73,11A,59,2026-02-20,02:03,69,"","Perfect Pair",2025-07-26,25,0,26,19,0,40,-5,F#/G♭ Minor,4,1J6ZMaOzEvsy3pPFbMi1LB,CA5KR2542323
24,"Novacane","Frank Ocean",94,5B,51,2026-02-20,05:02,84,"","Novacane",2011-01-01,76,6,0,37,0,10,-9,D#/E♭ Major,4,4osgfFTICMkcGbbigdsa53,USUM71107257
25,"SPAGHETTI","LE SSERAFIM,j-hope",112,1B,82,2026-02-20,02:52,84,"k-pop, k-rap","SPAGHETTI",2025-10-24,90,8,0,87,0,20,-5,B Major,4,2N9miXnewVmUrgl6JSK1FI,USA2P2552922
26,"Pretty Boy","The Neighbourhood",155,2B,39,2026-02-20,03:54,77,"","Chip Chrome & The Mono-Tones",2020-09-25,58,21,5,57,0,30,-11,F#/G♭ Major,4,7IL8PSVwLOJxqYne6azxQv,USSM12003780
27,"OMG","The Neighbourhood",116,3B,97,2026-02-20,03:02,60,"","Private",2025-10-23,42,0,0,29,10,70,-3,C♯/D♭ Major,4,0no4ltao7OypnjEFtZQ0Uj,USWB12503645
28,"You Get Me So High","The Neighbourhood",88,6A,88,2026-02-20,02:33,82,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,55,19,8,39,0,10,-6,G Minor,4,7zwn1eykZtZ5LODrf7c0tS,USSM11707131
29,"Lovebomb","The Neighbourhood",120,5B,75,2026-02-20,03:20,62,"","Private",2025-10-23,54,9,52,36,0,10,-6,D#/E♭ Major,4,333yAfKnYq4V3hl6uA95wI,USWB12503646
30,"True Love","Saske,Carrion GodBle$$",78,9A,92,2026-02-20,05:58,51,"","Ladies",2020-10-21,48,48,0,46,70,10,-3,E Minor,4,0HXjEv8sdyENtWVMZ7pvE3,QZNJV2075706
