#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Lsb","YOUNG-ESFP,ZXCFreezi",94,11B,58,-,01:56,0,"","Lsb",2024-11-03,63,0,0,34,0,10,-9,A Major,4,4vYDkyWd6uFiSbqIFwQgZ5,AEA0Q2455206
2,"LSD","CUPSIZE,DOESHA",94,11B,60,-,01:56,39,"hyperpop","LSD",2022-04-29,63,0,0,33,0,10,-8,A Major,4,1qo80zH5gFjXjnS8OLoTzR,RUA1D2230776
3,"OVERDRIVE","DXSTINY",140,9B,83,-,02:17,15,"nightcore","OVERDRIVE",2024-02-16,59,1,0,21,0,20,-5,G Major,4,5vXQNguMQzsBqBr9tfZhkp,TCAHT2465715
4,"Too Many Nights - TikTok Remix","Cromka1",88,5A,53,-,04:44,24,"","Too Many Nights (TikTok Remix)",2023-11-14,61,56,56,38,0,10,-9,C Minor,4,31yXQrbKOBm8uH6cEZaoL7,GX89G2514142
5,"stare szmaty","spazma",157,6B,71,-,01:28,46,"","B4REALLYEMO",2026-01-09,59,5,0,39,10,10,-7,A#/B♭ Major,4,0gemS7EiHeeFh4FfA7HRKl,PL4K02602185
6,"Dont Go (Nightcore)","Lost in a dream,Diegointhedark",79,4B,73,-,01:58,14,"hyperpop, nightcore","Nightcore Music Club",2024-03-18,30,11,0,39,10,10,-10,G#/A♭ Major,4,03l4wQh2hNMPGnbJzd84fq,AEA2W2420216
7,"Karma","Tim Dian",80,4A,82,-,02:19,43,"","Karma",2024-08-29,64,1,1,62,0,20,-6,F Minor,4,1KTPHqouZVNAOLMmH1p7G7,RUAGT2409848
8,"YOU","Freddie Sunshine",128,11B,63,-,02:02,12,"trap metal","It's ok, I'm okay (2yr Anniversary Edition)",2024-03-29,55,56,0,50,10,10,-5,A Major,4,3DWZKz8fRBBEvs7rLnMLbn,GBKPL2164060
9,"malibu wave","nath",174,9B,65,-,01:22,21,"","malibu wave",2019-11-21,61,16,0,56,30,20,-8,G Major,4,6Po1hnW2c91xN5b09OaQYw,PLC061908775
10,"Paradise 7","VICE MONRÖE",100,3B,74,-,02:07,32,"dark r&b","Paradise 7",2025-06-20,56,1,54,22,0,20,-7,C♯/D♭ Major,4,4xDUrQCdj1uygt1IcirGAq,QZWDW2549410
11,"Detention","Suckerpunk",170,3B,64,-,01:53,12,"hyperpop","Outrage",2019-06-07,63,1,60,23,0,0,-6,C♯/D♭ Major,4,1ZdPPd813fONB7tM4AloVo,QZFZ61984848
12,"Надо покурить","LOLIWZ,dannyopenthedoor",100,12A,64,-,02:05,15,"hyperpop","Надо покурить",2022-03-14,69,55,0,63,0,20,-8,C♯/D♭ Minor,4,3oZtfYJ8PjnGjKtutkdWnj,UKEX32133492
13,"Fashion Icon","kouth,No Cutty",140,6A,54,-,02:48,21,"brazilian trap, trap","MASK ON!",2023-11-24,59,24,0,19,0,20,-8,G Minor,4,1k8YadLoySy6qa9haV6Hng,QZWFF2395507
14,"OCD","Eryn Martin",80,9A,62,-,01:56,12,"","OCD",2022-09-02,62,32,0,37,0,10,-7,E Minor,4,7n2WgbCGWCYZ9KGVTeomV6,QZN882258034
15,"YAMETE","traian",160,1A,58,-,01:37,14,"","Cringe Classics I",2020-12-31,59,1,0,64,0,30,-8,G#/A♭ Minor,4,4ioawSriJU5b8ycMu27Xek,QZMEQ2254340
16,"Tell Me Lies","Kyro,Till8",158,11A,89,-,02:31,15,"","Tell Me Lies",2025-02-28,53,53,0,47,30,10,-5,F#/G♭ Minor,4,6VQHo76prXzrXVkQlElLrb,TCAJI2518426
17,"Cash","Catarina H",77,9A,49,-,02:48,13,"portuguese hip hop","Cash",2020-06-02,63,8,0,42,0,30,-10,E Minor,4,1bDJtUNaOePbTVL6D4z4Gr,QZHN42064646
18,"Всю ночь","lyralei,POLUGHOUL",87,4B,71,-,02:20,20,"hyperpop","Всю ночь",2022-09-02,69,9,0,26,0,10,-5,G#/A♭ Major,4,3eifCCo93K7oY1YXG4mWLb,RUA1D2266866
19,"Darling","Yung Kafa & Kücük Efendi",148,1A,49,-,03:01,28,"german hip hop, turkish hip hop","UBOOT",2019-04-12,68,19,0,8,0,10,-9,G#/A♭ Minor,4,6jKQnm4xIypB2Pimxc7G3i,DEXN31910011
20,"Söyleyemezsin","shao",160,6A,67,-,02:48,32,"turkish hip hop","Söyleyemezsin",2020-12-28,59,5,2,25,0,30,-7,G Minor,4,5b9mtq6hEUdTmyFJIaUUZU,GBKQU2435464
21,"ne iertam :>","traian",99,1B,51,-,02:01,11,"","Boing",2023-04-04,83,22,0,56,0,10,-9,B Major,4,70ml3tUgjZYDu3U1IonapD,QZHN32362839
22,"flash","Moldhands",98,3A,57,-,01:53,37,"rage rap","flash",2026-04-17,65,0,0,19,0,10,-4,A#/B♭ Minor,4,3e3fORdgEieFjDWF2cgzPT,QZWFE2697019
23,"Жвачка","17 SEVENTEEN",185,5B,70,-,01:36,28,"hyperpop","Жвачка",2021-04-13,64,3,0,81,0,10,-6,D#/E♭ Major,4,62NjXFkJjYBywClCOlGPqg,DEP551922808
24,"Amor ácido","Rojuu,Carzé,Trillfox",155,11B,58,-,02:42,44,"hyperpop","Grandes Hits (antes de los 18)",2021-06-11,65,6,65,26,0,30,-5,A Major,4,1GBuZPxQWgk8Wp8p4Par3w,QM7282014891
25,"Сложно","Hxxic999",149,5A,56,-,02:12,19,"hyperpop, breakcore","Сложно",2021-11-17,59,6,0,42,0,10,-7,C Minor,4,4egjFHEN6mlFXAyOmttQHX,DEP551939203
26,"Coup De Grace","ZBC73",105,11B,64,-,01:45,11,"","Coup De Grace",2024-05-14,70,0,5,35,0,30,-13,A Major,4,3fzu7voA9WIrk1BQUDzIYS,AEA2W2499230
