#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"夏の迷惑","bokula.",187,10B,91,2024-07-13,02:18,38,"","FUSION",2023-01-11,43,0,0,86,0,20,-5,D Major,4,2URbcX86XsgI55tBT3uTSE,JPA962200067
2,"青と夏","Mrs. GREEN APPLE",185,12B,89,2024-07-13,04:30,74,"j-pop, j-rock, anime","Attitude",2019-10-01,31,0,0,75,0,20,-2,E Major,4,5BC6kr6etk2Y9J62AyI4i3,JPPO01802568
3,"子供じゃないもん17","Seiko Oomori",104,8B,97,2024-07-13,03:32,42,"anime, j-rock, j-pop","大森靖子",2020-02-12,72,55,2,90,0,20,-2,C Major,4,6C0ySWjhEOlkCFlRXP4z1D,JPB601404084
4,"ロマンチシズム","Mrs. GREEN APPLE",126,6B,88,2024-07-13,03:33,64,"j-pop, j-rock, anime","Attitude",2019-10-01,60,0,0,90,0,0,-3,A#/B♭ Major,4,0JcI7OdALbpSFkyKoufRYs,JPPO01900466
5,"好-じょし-","Ami Sakaguchi",76,2B,93,2024-07-13,04:01,50,"j-pop, anime","blue signs",2018-03-21,58,10,0,69,0,10,-3,F#/G♭ Major,4,3m9FhP3nMK3FqsDSOyTHqg,JPU901701493
6,"にゃんにゃんにゃん","Koresawa",108,8B,57,2024-07-13,04:15,39,"j-pop","にゃんにゃんにゃん",2023-02-22,77,63,0,45,0,10,-8,C Major,4,5zExZzrMotIZvgyA8CVGgi,JPCO02300270
7,"空も飛べるはず","SPITZ",115,8B,81,2024-07-13,04:31,68,"j-pop, j-rock, kayōkyoku","CYCLE HIT 1991-1997 Spitz Complete Single Collection",2006-03-25,59,4,0,67,0,10,-4,C Major,4,3P2aSkjcbUYbcYr13EFE8n,JPPO01702921
8,"チェリボム","SILENT SIREN",95,2B,93,2024-07-13,04:02,55,"j-rock, j-pop","S",2016-03-02,63,0,0,84,0,30,-3,F#/G♭ Major,4,343QgBIgEHYO4HtDNsblkn,JPN901503100
9,"アイラブユーが足りないの","ガラクタ",132,8B,48,2024-07-13,02:54,8,"","アイラブユーが足りないの",2023-03-24,66,1,0,70,0,0,-6,C Major,4,5UlnHI27WueEBmnROHC7X9,JP92A2303149
10,"ネオンサイン","Яu-a",139,1B,61,2024-07-13,02:06,0,"","ネオンサイン",2024-01-06,82,5,0,89,0,10,-6,B Major,4,0UzO2vBzIa47IZO0V2nCNN,TCJPY2474865
11,"君と羊と青","RADWIMPS",164,4B,96,2024-07-14,02:42,66,"anime, j-pop, j-rock","絶体絶命",2011-03-09,41,0,0,78,10,10,-2,G#/A♭ Major,4,17A3UTMUWzCRn7I42exBhF,JPTO01100017
12,"恋人ごっこ","Macaroni Empitsu",102,3B,65,2024-07-14,03:20,70,"j-pop","hope",2020-04-01,44,12,0,75,0,0,-5,C♯/D♭ Major,4,2SihT7AVMiI2VtaAyVIcnO,JPB602051826
13,"Now is the best!!!","TOMBO COOP",93,3B,97,2024-07-14,02:26,44,"j-pop","Now is the best!!!",2023-04-26,56,0,0,65,0,50,-4,C♯/D♭ Major,4,4kjGAeGr3PPocjqhuIYbjf,JP92N2322700
14,"ADVISE - 最悪ノ事態 Riddim","Arare",170,1B,73,2024-07-14,03:34,52,"j-rap, reggae","ブランニュ→カオス",2013-04-17,52,47,0,76,20,10,-4,B Major,4,3wSq7qpQtz3JRE8DmnKd5y,JPV501300141
15,"Soranji","Mrs. GREEN APPLE",156,7B,67,2024-07-14,05:43,75,"j-pop, j-rock, anime","ANTENNA",2023-07-04,48,7,0,38,0,10,-5,F Major,4,3YML5IHoqWbw9c9vJJvrvM,JPPO02203986
16,"CHEERS","Mrs. GREEN APPLE",133,9B,81,2024-07-14,03:18,64,"j-pop, j-rock, anime","Attitude",2019-10-01,64,7,0,59,0,20,-4,G Major,4,3VfcTMAgdty9VYOgeuyqiN,JPPO01902898
17,"ANTENNA","Mrs. GREEN APPLE",146,8A,95,2024-07-14,04:30,67,"j-pop, j-rock, anime","ANTENNA",2023-07-04,55,0,0,50,0,40,-4,A Minor,4,4ER5mnbHqsvggEcoVMdFSk,JPPO02301882
18,"知らないままで","Rokudenashi",184,2B,82,2024-07-14,02:14,63,"j-pop, anime","知らないままで",2022-06-17,60,48,0,87,0,10,-5,F#/G♭ Major,4,0kEXWokTVYKFxRnNH1xvlg,JPPO02201609
