#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Queencard","i-dle",130,9A,83,2026-01-30,02:41,73,"k-pop","I feel",2023-05-15,82,3,0,67,0,20,-3,E Minor,4,3xtPQCHJQ3o70PeVAaZSG2,KRA392300001
2,"like JENNIE","JENNIE",130,3A,74,2026-01-30,02:03,88,"k-pop","Ruby",2025-03-07,81,28,1,82,0,0,-5,A#/B♭ Minor,4,0fK7ie6XwGxQTIkpFoWkd1,USQX92500261
3,"HOT","LE SSERAFIM",128,8B,63,2026-01-30,02:23,70,"k-pop","HOT",2025-03-14,76,9,0,97,0,40,-3,C Major,4,406IpEtZPvbxApWTGM3twY,USA2P2506404
4,"ETA","NewJeans",135,3A,75,2026-01-30,02:31,78,"k-pop","NewJeans 2nd EP 'Get Up'",2023-07-21,81,11,0,84,0,0,-6,A#/B♭ Minor,4,56v8WEnGzLByGsDAXDiv4d,USA2P2330071
5,"bad idea right?","Olivia Rodrigo",130,11B,88,2026-01-30,03:04,80,"","GUTS",2023-09-08,63,0,0,81,10,0,-4,A Major,4,3IX0yuEVvDbnqUwMBB3ouC,USUG12304094
6,"Primadonna","MARINA",128,9A,69,2026-01-30,03:41,49,"","Electra Heart",2012-04-27,66,9,0,43,0,0,-3,E Minor,4,02b5L9jExmkRTdUTqXFzmR,GBFFS1200009
7,"Sweater Weather","The Neighbourhood",124,6B,81,2026-01-30,04:00,93,"","I Love You.",2013-04-22,61,5,2,40,0,10,-3,A#/B♭ Major,4,2QjOHCTQ1Jl3zawyYOpxh6,USSM11300080
8,"If U Seek Amy","Britney Spears",130,9A,59,2026-01-30,03:36,76,"pop","Circus (Deluxe Version)",2008-12-02,72,2,0,54,0,0,-7,E Minor,4,2hdy9Wt9qp7M7d0U3ossu2,USJI10801329
9,"Cannibal","Kesha",130,3B,68,2026-01-30,03:14,73,"","Cannibal (Expanded Edition)",2010-11-19,71,1,2,57,10,0,-5,C♯/D♭ Major,4,3JTMWdhcJPiegDSe7SvZS3,USRC11000876
10,"Blah Blah Blah (feat. 3OH!3)","Kesha,3OH!3",120,6B,84,2026-01-30,02:52,69,"","Animal (Expanded Edition)",2010-01-01,75,8,0,52,10,40,-3,A#/B♭ Major,4,7lWUJpax919G4JdaFEVmCy,USRC10900738
11,"Toxic","Britney Spears",143,4A,84,2026-01-30,03:18,87,"pop","In The Zone",2003-11-13,77,2,3,92,10,20,-4,F Minor,4,6I9VzXrHxO9rA9A5euc8Ak,USJI10301005
12,"Girlfriend","Avril Lavigne",164,9B,96,2026-01-30,03:36,81,"","The Best Damn Thing (Expanded Edition)",2007-04-17,56,0,0,67,10,20,-2,G Major,4,45hOioMDJktr86iKDHC8gr,USRC10700021
13,"Miniskirt","AOA",120,7B,86,2026-01-30,02:59,78,"k-pop","MINISKIRT",2014-01-16,76,43,0,96,0,20,-3,F Major,4,6Yj8kVuVR3UPxx9r5eFEoV,KRA491400072
14,"jellyous","ILLIT",162,4B,86,2026-01-30,02:43,71,"k-pop","bomb",2025-06-16,63,5,0,44,10,0,-4,G#/A♭ Major,4,0wFU2pYHZi45Ws1VD6aSJX,USA2P2525116
15,"Gameboy","KATSEYE",120,1B,80,2026-01-30,03:05,83,"k-pop","BEAUTIFUL CHAOS",2025-06-26,72,29,0,70,0,0,-4,B Major,4,0LqbLHWFiy0qTfpk1Q1Ggc,USUM72503467
16,"Billyeoon Goyangi (Do the Dance)","ILLIT",130,12A,74,2026-01-30,03:08,78,"k-pop","bomb",2025-06-16,65,2,0,77,20,20,-4,C♯/D♭ Minor,4,4p0uVFAXKUISu8yp9gNtWE,USA2P2525115
17,"Internet Girl","KATSEYE",130,10B,94,2026-01-30,02:43,85,"k-pop","Internet Girl",2026-01-02,69,1,0,84,0,10,-2,D Major,4,3THVfoVD5kdCxPviVaCPi7,USUM72512688
