#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Pacify Her","Melanie Martinez",158,8A,59,2022-06-07,03:40,76,"","Cry Baby (Deluxe Edition)",2015-08-14,58,5,0,37,0,20,-6,A Minor,4,360Wr96ywrCQq4kTAJ8Pq6,USAT21501941
2,"Real Men","Mitski",109,8A,41,2022-06-07,02:41,0,"","Lush",2012-01-31,76,18,0,72,0,0,-8,A Minor,3,5pf3AX7eqShjqkvD1CjMYA,uscgh1222959
3,"Why Didn't You Stop Me?","Mitski",120,8B,86,2022-06-07,02:21,61,"","Be the Cowboy",2018-08-17,61,0,11,56,0,0,-5,C Major,4,2nifujUVU1XyhTSHI2kQ8g,USJ5G1815002
4,"Kill This Love","BLACKPINK",132,7A,84,2022-06-07,03:11,75,"k-pop","KILL THIS LOVE",2019-04-05,76,32,0,65,10,20,-5,D Minor,4,6hvczQ05jc1yGlp9zhb95V,KRA401900005
5,"Bad Blood","Taylor Swift,Kendrick Lamar",170,10A,66,2022-06-07,03:20,68,"hip hop, west coast hip hop","Bad Blood",2015-05-17,65,3,0,22,10,10,-7,B Minor,4,6xsEAm6w9oMQYYg3jkEkMT,USCJY1531564
6,"What Else Can I Do?","Diane Guerrero,Stephanie Beatriz",120,12B,71,2022-06-07,02:59,67,"","Encanto (Original Motion Picture Soundtrack)",2021-11-19,72,26,0,54,0,10,-6,E Major,4,3XoYqtiWHhsk59frZupImG,USWD12112916
7,"Work Bitch","Britney Spears",128,11B,82,2022-06-07,04:07,72,"pop","Britney Jean (Deluxe Version)",2013-11-30,63,16,0,85,10,0,-7,A Major,4,3KliPMvk1EvFZu9cvkj8p1,USRC11301398
8,"We Don't Talk About Bruno","Carolina Gaitán - La Gaita,Mauro Castillo,Adassa,Rhenzy Feliz,Diane Guerrero,Stephanie Beatriz,Encanto - Cast",206,5A,45,2022-06-07,03:36,75,"","Encanto (Original Motion Picture Soundtrack)",2021-11-19,58,36,0,83,0,10,-9,C Minor,4,52xJxFP6TqMuO4Yt0eOkMz,USWD12112915
9,"Sour Candy (with BLACKPINK)","Lady Gaga,BLACKPINK",120,8A,87,2022-06-07,02:37,64,"art pop, pop, k-pop","Chromatica",2020-05-29,75,6,0,78,0,40,-4,A Minor,4,1IWNylpZ477gIVUDpJL66u,USUM72004306
10,"Harder, Better, Faster, Stronger","Daft Punk",123,11A,72,2022-06-07,03:46,77,"french house, electronic, electro","Discovery",2001-03-12,82,4,0,69,10,30,-9,F#/G♭ Minor,4,5W3cjX2J3tjhG8zb6u0qHn,GBDUW0000059
