#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"National Anthem","Lana Del Rey",85,5A,90,2026-04-14,03:50,61,"","Born To Die - The Paradise Edition",2012-11-12,53,53,0,44,20,10,-6,C Minor,4,1M0g1beKC4H9gbrOiSayHW,GBUM71111567
2,"Oh No!","MARINA",127,8B,90,2026-04-14,03:00,0,"","The Family Jewels (Deluxe)",2010-02-15,78,6,0,96,0,20,-4,C Major,4,0VVNXqaDwfHngG2gXaOtlI,GBFFS0900127
3,"Pacify Her","Melanie Martinez",158,8A,59,2026-04-14,03:40,76,"","Cry Baby (Deluxe Edition)",2015-08-14,58,5,0,37,0,20,-6,A Minor,4,360Wr96ywrCQq4kTAJ8Pq6,USAT21501941
4,"Breakin' Dishes","Rihanna",125,1A,66,2026-04-14,03:20,78,"","Good Girl Gone Bad",2007-01-01,80,0,0,86,0,0,-5,G#/A♭ Minor,4,5EcG8eMMlwkHRVa4aTR1qd,USUM70734702
5,"Are You Satisfied?","MARINA",124,8B,71,2026-04-14,03:18,56,"","The Family Jewels (Deluxe)",2010-02-15,67,30,0,84,0,0,-5,C Major,4,7loxeufSLQPImESzV0Cn30,GBFFS0900114
6,"Tia Tamera (feat. Rico Nasty)","Doja Cat,Rico Nasty",120,8B,65,2026-04-14,03:31,73,"","Amala (Deluxe Version)",2019-03-01,82,2,0,42,10,20,-5,C Major,4,1uNePI826aqh9uC9pgbeHU,USRC11803908
7,"Woman","Doja Cat",108,4A,76,2026-04-14,02:52,85,"","Planet Her",2021-06-25,82,9,0,88,0,10,-4,F Minor,4,6Uj1ctrBOjOas8xZXGqKk4,USRC12101532
8,"Feather","Sabrina Carpenter",124,11A,69,2026-04-14,03:05,84,"pop","emails i can’t send fwd:",2023-03-17,79,7,0,83,0,10,-4,F#/G♭ Minor,4,2Zo1PcszsT9WQ0ANntJbID,USUM72301876
9,"Bubblegum Bitch","MARINA",158,5A,86,2026-04-14,02:34,81,"","Electra Heart (Deluxe)",2012-04-27,50,0,0,61,0,10,-5,C Minor,4,6IbnUaczZBT34DhaD6S18F,GBFFS1200008
10,"Busy Woman","Sabrina Carpenter",117,9B,76,2026-04-14,03:06,84,"pop","Short n' Sweet (Deluxe)",2025-02-14,73,17,0,90,0,10,-5,G Major,4,0b0Dz0Gi86SVdBxYeiQcCP,USUM72413907
11,"Primadonna","MARINA",128,9A,69,2026-04-14,03:41,82,"","Electra Heart (Deluxe)",2012-04-27,66,9,0,43,0,0,-3,E Minor,4,4sOX1nhpKwFWPvoMMExi3q,GBFFS1200009
12,"Too Sweet","Hozier",117,6B,64,2026-04-14,04:11,83,"","Unreal Unearth: Unaired",2024-08-19,74,4,0,96,0,0,-5,A#/B♭ Major,4,19XpFsce28aByvCC4g89tJ,IEACJ2300335
13,"tv off (feat. lefty gunplay)","Kendrick Lamar,Lefty Gunplay",100,11A,53,2026-04-14,03:40,85,"hip hop, west coast hip hop, mexican hip hop","GNX",2024-11-22,86,8,0,55,20,40,-7,F#/G♭ Minor,4,0aB0v4027ukVziUGwVGYpG,USUG12408493
14,"I Think I Like You Better When You’re Gone","Reneé Rapp",114,11A,44,2026-04-14,02:23,72,"","BITE ME",2025-08-01,54,54,0,63,20,40,-7,F#/G♭ Minor,5,3hBzKgqQKkChH9hyb3MhmT,USUM72504849
15,"15 Minutes","Sabrina Carpenter",132,9B,89,2026-04-14,03:11,77,"pop","Short n' Sweet (Deluxe)",2025-02-14,58,1,0,73,0,30,-4,G Major,4,1zhvxTuSha22nsUT5Nw8gE,USUM72413904
16,"Thought I Was Dead (feat. ScHoolboy Q & Santigold)","Tyler, The Creator,ScHoolboy Q,Santigold",130,3A,86,2026-04-14,03:27,74,"","CHROMAKOPIA",2024-10-28,77,36,0,64,20,60,-3,A#/B♭ Minor,4,2aYHxnMF2umAavtgBvmkY1,USQX92405793
17,"When Did You Get Hot?","Sabrina Carpenter",89,7B,67,2026-04-14,02:25,87,"pop","Man’s Best Friend",2025-08-29,70,23,0,57,10,30,-5,F Major,4,0je57Uq5eTk1wrPzn9sWbl,USUM72504446
18,"Dead To Me","Kali Uchis",119,9A,76,2026-04-14,03:19,77,"","Isolation",2018-04-06,68,43,0,43,0,10,-4,E Minor,4,6LOZws7T3jqZz78unPgFF9,GBUM71801115
19,"Cry about it! (feat. Ravyn Lenae)","Kali Uchis,Ravyn Lenae",120,2A,48,2026-04-14,02:51,51,"alternative r&b, indie soul","Sincerely: P.S.",2025-10-03,65,52,0,69,0,20,-8,D#/E♭ Minor,3,2qMymtxoafC1JRtiiXUVFN,USUG12503754
20,"Ain't Shit","Doja Cat",124,5B,49,2026-04-14,02:54,81,"","Planet Her",2021-06-25,86,51,0,62,20,30,-5,D#/E♭ Major,4,5lAnYvAIkSDNXqfo7DyFUm,USRC12101540
21,"Slumber Party (feat. Princess Nokia)","Ashnikko,Princess Nokia",105,10A,40,2026-04-14,02:58,73,"","DEMIDEVIL",2021-01-15,96,0,0,56,0,10,-9,B Minor,4,11ZulcYY4lowvcQm4oe3VJ,GBAYE2000706
22,"I Didn't Change My Number","Billie Eilish",142,11B,48,2026-04-15,02:38,73,"","Happier Than Ever",2021-07-30,85,61,27,68,20,30,-6,A Major,4,7bcy34fBT2ap1L4bfPsl9q,USUM72105926
