#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Manchild","Sabrina Carpenter",123,9B,69,2025-06-18,03:33,87,"pop","Manchild",2025-06-05,73,12,0,81,0,30,-5,G Major,4,42UBPzRMh5yyz0EDPr6fr1,USUM72504354
2,"Rock with you","SEVENTEEN",164,1B,81,2025-06-18,03:00,46,"k-pop","SEVENTEEN BEST ALBUM '17 IS RIGHT HERE'",2024-04-29,62,10,0,71,10,10,-5,B Major,4,4CAK2Dmo5YVGDQxs789pbx,USA2P2135688
3,"HBD","SEVENTEEN",138,10A,87,2025-06-18,02:35,7,"k-pop","SEVENTEEN 5th Album 'HAPPY BURSTDAY'",2025-05-26,73,1,0,86,0,0,-5,B Minor,4,0PvRQaGO5lkS7uqdsOHdvI,USA2P2501604
4,"THUNDER","SEVENTEEN",130,4A,84,2025-06-18,02:44,18,"k-pop","SEVENTEEN 5th Album 'HAPPY BURSTDAY'",2025-05-26,75,3,0,72,0,0,-5,F Minor,4,0qkYuCno3SoU8vxkCdx0iJ,USA2P2501605
5,"eternal sunshine","Ariana Grande",160,11B,50,2025-06-18,03:30,73,"pop","eternal sunshine",2024-03-08,65,53,0,35,10,10,-7,A Major,4,3RwWW7KeVhHGayYJgUL5eZ,USUM72317272
6,"supernatural","Ariana Grande",76,4B,71,2025-06-18,02:43,80,"pop","eternal sunshine",2024-03-08,58,10,0,52,10,10,-7,G#/A♭ Major,4,142PiXzA84lmEw2RstFHFa,USUM72317274
7,"Ordinary","Alex Warren",112,10B,68,2025-06-18,03:06,89,"","Ordinary",2025-02-07,45,74,0,38,0,0,-6,D Major,4,6qqrTXSdwiJaq8SO0X2lSe,USAT22500463
8,"Mikrokosmos","BTS",174,4B,86,2025-06-18,03:44,78,"k-pop","MAP OF THE SOUL : PERSONA",2019-04-12,58,13,0,48,10,0,-5,G#/A♭ Major,3,0jSccBRnhNU4KtACMQPvco,QM6MZ1917909
9,"Sweet Dreams (feat. Miguel)","j-hope,Miguel",94,9A,58,2025-06-18,02:52,74,"k-pop, k-rap, r&b","Sweet Dreams (feat. Miguel)",2025-03-07,56,15,0,80,0,0,-6,E Minor,4,1yX9gy5fK02j6nBnGJ1S3k,USA2P2500740
10,"Hope World","j-hope",117,3B,90,2025-06-18,03:24,64,"k-pop, k-rap","Hope World",2018-03-02,71,1,0,77,10,60,-4,C♯/D♭ Major,4,5UMPPsXaGbR1qtzcnEtTpM,QMDA61890751
11,"like JENNIE","JENNIE",130,3A,74,2025-06-18,02:03,88,"k-pop","Ruby",2025-03-07,81,28,1,82,0,0,-5,A#/B♭ Minor,4,0fK7ie6XwGxQTIkpFoWkd1,USQX92500261
12,"Love Hangover (feat. Dominic Fike)","JENNIE,Dominic Fike",148,5A,78,2025-06-18,03:00,74,"k-pop, ","Ruby",2025-03-07,63,12,0,58,20,10,-6,C Minor,4,0rx7xu0RmZLpJjKNVZjSVv,USQX92500253
13,"twilight zone","Ariana Grande",115,7B,48,2025-06-18,03:18,72,"pop","eternal sunshine deluxe: brighter days ahead (a cappella version)",2025-03-27,73,10,0,20,0,10,-7,F Major,4,1edcyazKIdKrIuz9cWpXU6,USUM72501915
14,"Don't Forget You Love Me","Calum Hood",194,11B,85,2025-06-18,03:37,46,"","Don't Forget You Love Me",2025-04-10,30,2,0,45,20,30,-7,A Major,3,3PCpcXOeOFSkJORnFuBF4B,AU2DY2500075
15,"Gnarly","KATSEYE",135,5A,83,2025-06-18,02:17,86,"k-pop","Gnarly",2025-04-30,78,15,0,66,30,10,-5,C Minor,4,1j15Ar0qGDzIR0v3CQv3JL,USUM72503410
16,"Daylight","Taylor Swift",150,8B,50,2025-06-18,04:53,81,"","Lover",2019-08-23,56,81,0,27,0,0,-10,C Major,4,1fzAuUVbzlhZ1lJAx9PtY6,USUG11901486
17,"HOT","LE SSERAFIM",128,8B,63,2025-06-18,02:23,70,"k-pop","HOT",2025-03-14,76,9,0,97,0,40,-3,C Major,4,406IpEtZPvbxApWTGM3twY,USA2P2506404
18,"XO (Only If You Say Yes)","ENHYPEN",97,4B,76,2025-06-18,03:08,77,"k-pop","ROMANCE : UNTOLD",2024-07-12,66,11,0,47,0,20,-7,G#/A♭ Major,4,3RkSwrsIadAvqVtMp5yhaB,USA2P2436970
19,"Moonstruck","ENHYPEN",88,9A,63,2025-06-18,02:38,77,"k-pop","ROMANCE : UNTOLD",2024-07-12,64,23,0,35,0,10,-6,E Minor,4,3gYWGRS64XrGSrjD3vvtga,USA2P2436969
20,"Busy Woman","Sabrina Carpenter",117,9B,76,2025-06-18,03:06,84,"pop","Short n' Sweet (Deluxe)",2025-02-14,73,17,0,90,0,10,-5,G Major,4,0b0Dz0Gi86SVdBxYeiQcCP,USUM72413907
21,"Deja Vu","TOMORROW X TOGETHER",163,4A,57,2025-06-19,02:51,71,"k-pop","minisode 3: TOMORROW",2024-04-01,36,8,0,24,0,10,-5,F Minor,4,3aAnwyBJY9OLNLqSgd4fZU,USA2P2408081
22,"Rebirth (Intro)","Jimin",172,4A,57,2025-06-19,02:24,67,"k-pop","MUSE",2024-07-19,37,14,0,9,0,0,-4,F Minor,4,7gMfVc4zfNIxuMyMGglOHa,USA2P2431057
23,"Slow Dance (feat. Sofia Carson)","Jimin,Sofia Carson",87,3B,72,2025-06-19,03:08,69,"k-pop, ","MUSE",2024-07-19,68,13,0,80,0,0,-6,C♯/D♭ Major,4,3d2bsbugow8JiNvuaRupFH,USA2P2431060
24,"Bad Desire (With or Without You) (English Ver.)","ENHYPEN",156,5A,76,2025-06-19,02:21,71,"k-pop","DESIRE : UNLEASH",2025-06-05,65,21,0,62,10,10,-5,C Minor,4,4N8IFzGERNBWoQyzYVYEoJ,USA2P2518626
25,"Gameboy","KATSEYE",120,1B,80,2025-06-28,03:05,2,"k-pop","BEAUTIFUL CHAOS",2025-06-26,74,28,0,67,0,0,-4,B Major,4,2HMvIK2S3oC6OABl2YXAx1,USUM72503467
26,"Soda Pop","Saja Boys,Andrew Choi,Neckwav,Danny Chung,KEVIN WOO,samUIL Lee,KPop Demon Hunters Cast",126,8B,85,2025-06-28,02:30,86,"k-pop","KPop Demon Hunters (Soundtrack from the Netflix Film)",2025-06-20,84,8,0,76,0,0,-4,C Major,4,02sy7FAs8dkDNYsHp4Ul3f,QZ8BZ2513509
