#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Leo（狮子座）","樊宇镈(Coulson Fan)",100,12B,64,-,02:57,36,"chinese r&b","Leo（狮子座）",2026-04-10,74,13,0,77,0,0,-5,E Major,4,5hERtuSSZzUi8qfbaEkyjN,QZTBE2684671
2,"Impossible - Remix","Spenser Olson,Abby Siler,Joel Setien",123,11B,76,-,02:32,24,"christian pop, christian edm, ","Impossible (Remix)",2026-04-24,77,16,0,65,10,0,-6,A Major,4,4ijU8mdAb326QQpriuJuxL,UKW3Z2601316
3,"Predictable","Paradise",95,3B,76,-,03:39,24,"","Predictable",2026-04-24,63,1,0,89,10,20,-6,C♯/D♭ Major,4,5fkx875ROuyV7eBykrJufv,QZQAY2643305
4,"Last Known Location","Cam Becker",110,8B,84,-,03:34,21,"","Last Known Location",2026-04-24,74,0,0,62,0,0,-4,C Major,4,1gzupDL70MD4yEj69M1xc6,QZWFG2603536
5,"Say Less","Rudy Touzet",101,10A,61,-,03:06,21,"","Where It All Started",2022-10-07,76,2,0,83,0,30,-6,B Minor,4,5LgJDQeM84aFnfDaFAwZ5a,QZQAY2193033
6,"ESTP","樊宇镈(Coulson Fan)",108,2B,79,-,02:55,15,"chinese r&b","ESTP",2025-08-31,75,1,0,79,0,10,-3,F#/G♭ Major,4,7r0whZr0YdbS4JX8eNQBVO,QZZ7M2558557
7,"Medicine","Sadboixx",160,3B,83,-,02:13,15,"melodic bass","Medicine",2026-04-17,64,3,0,84,0,10,-5,C♯/D♭ Major,4,3quwRv1NycxMy42ZTPSiVx,QZNWT2657616
8,"Ain't My Best Hour","Larvik",158,12A,76,-,02:57,19,"slap house","Ain't My Best Hour",2025-10-10,64,0,0,74,0,10,-5,C♯/D♭ Minor,4,05TGApD5YsBC02UrEiQs6p,DEL712510170
9,"Issues","I'MIN",149,4A,87,-,02:37,38,"","Issues",2026-04-24,73,12,0,74,10,30,-5,F Minor,4,64xESYt4jheCeYn0yaOYkV,SE5Q52600260
10,"can i?","Bradley Kim,Heather Sommer",95,2B,81,-,03:28,37,"","can i?",2026-04-10,56,4,0,29,0,10,-5,F#/G♭ Major,4,1We8K4nFVFMgjTVysy7Tf4,QZVEM2644448
11,"Libra（天秤座）","樊宇镈(Coulson Fan)",92,1B,74,-,02:38,33,"chinese r&b","Libra（天秤座）",2026-03-08,70,22,0,67,0,30,-4,B Major,4,0Knh6CCkJWAVantiIccmbM,QZNWV2625290
12,"Power Moves","Get Low!",104,3A,76,-,02:32,12,"","Power Moves",2026-02-05,71,1,0,26,0,30,-7,A#/B♭ Minor,4,5iy6L0sN7p53uHxwVNFELd,QZFZ32633290
13,"sugar crush","Mirin,dwen",120,8A,85,-,02:43,17,"","sugar crush",2025-05-02,59,1,5,67,0,10,-4,A Minor,4,4Q6k3ZujHQtrl1OmuXAyUi,QZHN92568940
14,"Run to the Hills","Michael Bono",92,4B,79,-,02:14,18,"","Run to the Hills",2026-03-27,65,12,0,54,10,20,-3,G#/A♭ Major,4,4fKFLY4IB8xuBrn6ggIwRu,GXJBT2632335
15,"Chasing signals","Sig Breeze",99,4B,45,-,01:55,26,"","Chasing signals",2026-03-06,76,15,0,53,0,40,-8,G#/A♭ Major,4,6a7tkL6ljo3xIVix552HP5,QZMEP2618506
16,"Gemini","樊宇镈(Coulson Fan)",95,2B,61,-,02:58,29,"chinese r&b","Gemini",2026-01-30,70,39,0,84,0,10,-6,F#/G♭ Major,4,077d3TNyk6VIlA9t1HSooa,QZHN72621768
17,"WISH WE NEVER","Darren Cashwell",103,6B,83,-,02:38,23,"pinoy r&b, budots, bass house","WISH WE NEVER",2026-01-09,70,37,0,92,30,0,-6,A#/B♭ Major,4,0RYOsIej3XR5yba5e8Rjlq,PHS032503716
18,"UFW","Runyu Qian",108,4B,73,-,02:49,26,"chinese r&b","UFW",2026-04-03,77,6,0,63,0,10,-5,G#/A♭ Major,4,1fothKGR66bNwYAO0c3GHI,QT2VB2604092
19,"Body Bag","Jud Flores",98,11A,69,-,03:33,21,"","Body Bag",2022-02-25,62,8,0,34,10,10,-4,F#/G♭ Minor,4,6Pwvw7TQRJTBZhTn9iX6vc,HKI492200022
20,"IDITM","Nxtime",106,11A,73,-,03:05,16,"","IDITM",2026-01-16,75,1,0,88,0,10,-5,F#/G♭ Minor,4,36d91EdgZtFzctFYQwn0ZR,QT6FN2594529
21,"Sagittarius（射手座）","樊宇镈(Coulson Fan)",95,3B,69,-,03:17,47,"chinese r&b","Sagittarius（射手座）",2026-03-28,71,19,0,84,0,30,-6,C♯/D♭ Major,4,0rnRdigAqV90Yqljl4OzUc,QZTAY2668885
22,"Warm Sweet Love","Free Hugs Tomorrow",125,11B,64,-,02:37,30,"","Warm Sweet Love",2026-04-17,71,11,0,57,0,10,-6,A Major,4,5OKnqmLSchCMIgZx00G8Qd,USA2P2621222
23,"Parallel0v3 (feat. notKitty)","Ruen,notKitty",103,2B,67,-,02:25,18,"k-rap, ","hi?",2025-10-27,74,5,0,63,0,10,-6,F#/G♭ Major,4,3SMCsvZCKFjwWh1tDXn08o,KSA012411581
24,"Hold You Up","AJ Mitchell",170,4B,67,-,03:10,39,"","Hold You Up",2026-04-24,42,51,0,45,0,30,-8,G#/A♭ Major,4,1HclL4kwaY2Iu3gvSrgMGU,CA5KR2646815
25,"So Good Together","bnsn",100,1B,62,-,03:21,27,"","So Good Together",2026-04-17,66,21,0,17,0,10,-7,B Major,4,4bJ2Vs04oJll3rjqckr18w,QZTB82623883
26,"Situationship","樊宇镈(Coulson Fan)",170,12B,57,-,02:39,17,"chinese r&b","Situationship",2025-02-01,65,57,0,68,10,20,-7,E Major,4,6AbDczMT4hqlEaqWPNxZSm,QZTBA2477631
27,"Starship","Kenneth Qua",119,4A,80,-,02:48,25,"","Giddy In Love",2026-04-17,78,3,0,90,0,20,-4,F Minor,4,0oXQa2zYrBEKQrqkKAYp85,QZTAZ2681476
28,"Moonwalk","Justin Held",106,4A,65,-,02:36,29,"","Moonwalk",2026-04-03,74,1,0,50,0,30,-8,F Minor,4,1kLFNcJnhSOL4jxB0yWZl7,QZTAY2674639
29,"All To Myself","Paradise",119,4A,65,-,03:15,14,"","All To Myself",2025-10-10,73,5,0,92,0,0,-5,F Minor,4,7g9cRTO0kMbs5wLLVAmRcb,QZS7J2572995
30,"made u look","Harvey Brittain",106,3A,58,-,02:09,20,"","made u look",2024-08-29,67,3,0,64,0,20,-8,A#/B♭ Minor,4,0solChGxlVAS9gMiSUamYZ,QZTB82477846
31,"Aquarius","樊宇镈(Coulson Fan)",100,4B,76,-,03:33,34,"chinese r&b","Aquarius",2026-02-20,67,9,0,73,0,0,-4,G#/A♭ Major,4,5K84X5okfkb4MlMUz2frdV,QZMEM2617296
32,"Just say you love me","Piper Wallin",94,9B,75,-,03:27,31,"","Just say you love me",2026-04-20,59,24,0,32,0,30,-5,G Major,4,309cwLFDd5X44HJa1bjGPc,AUQ9D2634051
33,"Layup","Mira Housey",98,11A,53,-,02:46,42,"","Mirror",2026-04-17,72,34,0,71,0,10,-6,F#/G♭ Minor,4,3ijbZcX6UoGIToLwPruSyq,USLZJ2681758
34,"Lead You On","niko rain",124,6B,68,-,02:43,47,"","Lead You On",2026-04-03,60,14,0,47,0,0,-4,A#/B♭ Major,4,4X0JBxhbTmUEjWOkpIyTbN,QT2VB2634018
35,"Possessed","Tyler Miller",95,3B,68,-,02:16,15,"","Possessed",2025-09-24,67,1,0,58,10,10,-5,C♯/D♭ Major,4,2JrkpGCZkZAnlHqZLB7loj,QT4K42560853
36,"Dear New Year","樊宇镈(Coulson Fan)",95,10B,71,-,03:10,37,"chinese r&b","Dear New Year",2025-12-30,74,57,0,42,0,20,-6,D Major,4,34aIgeUYglurC9qn6UuBXr,QT6G92575166
37,"Ruin Me","The Cab",92,9B,74,-,03:14,39,"","Chasing Crowns",2026-04-24,73,37,0,68,0,20,-6,G Major,4,34qki5ntfXAOlNYuivrCW0,AEA3A2079323
