#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"I WANNA BE YOUR SLAVE","Måneskin",133,3B,61,2025-09-19,02:53,86,"","Teatro d'ira - Vol. I",2021-03-19,75,0,0,96,0,10,-4,C♯/D♭ Major,4,4pt5fDVTg5GhEvEtlz9dKk,ITB002100115
2,"Bathroom Bitch","HOLYCHILD",144,10A,91,2025-09-19,02:49,69,"","Bathroom Bitch",2018-11-09,63,1,3,64,0,40,-4,B Minor,4,13YePtJtWMzVlLflz2NhIF,USYAH1700367
3,"Stupid MF","Mindless Self Indulgence",152,5A,73,2025-09-19,02:24,65,"","You'll Rebel to Anything (Expanded and Remastered 2008)",2005-00-00,71,1,2,73,10,10,-5,C Minor,4,5x72ol5TLUO0ymkQr4JuWB,US68L0500007
4,"A Little Bit Harder Now","She Wants Revenge",120,9B,75,2025-09-19,02:54,73,"darkwave, gothic rock","Up and Down",2009-09-22,77,0,0,91,0,10,-3,G Major,4,5td7LYTivVH0MXXwin8QvE,USI4R0911563
5,"Senden Daha Güzel","Duman",89,12B,44,2025-09-19,03:59,62,"anatolian rock, turkish pop","Duman 2",2010-07-06,78,3,0,64,0,0,-6,E Major,4,2sLAykCWyB1VA5hXDjU59T,TRA160900060
6,"1-800","bbno$,Ironmouse",132,11B,97,2025-09-19,03:29,73,"","1-800",2025-06-27,66,2,1,85,0,10,-3,A Major,4,6NBZu27n3cxEk4y4c2Kxi8,CA5KR2538047
7,"Seven Minutes in Heaven","Mindless Self Indulgence",115,10A,95,2025-09-19,02:13,78,"","MSI B-SIDES vol.1",2024-06-15,61,1,0,58,10,30,-4,B Minor,4,2t7B8DDBgLbMcYVMTo8vd5,QZNWX2434220
8,"Pitbull Terrier","Die Antwoord",124,10B,63,2025-09-19,03:40,71,"","Donker Mag",2014-06-03,71,0,3,38,0,50,-7,D Major,4,4Zl4u5XQLxs9FQCSR040eJ,GBWWP1400371
9,"Danger","BTS",112,3B,87,2025-09-19,04:05,71,"k-pop","Dark & Wild",2014-08-20,74,0,0,38,0,20,-3,C♯/D♭ Major,4,0zzRxtfO5FGxKdqq4OKmlw,KRA381208689
10,"Piano Tiles","armani west",119,3B,68,2025-09-19,01:21,67,"","Mania",2025-03-28,72,10,0,57,0,20,-5,C♯/D♭ Major,4,0fk09gyOmgKeA5AB9sX9Uj,QZZ4J2502177
11,"Rock That Body","Black Eyed Peas",125,6A,91,2025-09-19,04:28,81,"","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]",2009-01-01,72,2,0,84,10,40,-6,G Minor,4,2WQ09wqQBIOor7Q0VpIDBK,USUM70967623
12,"16 Shots","Stefflon Don",95,2A,79,2025-09-19,03:44,64,"dancehall","16 Shots",2017-05-22,68,3,0,55,0,0,-5,D#/E♭ Minor,4,2169IKAivSUUFGcedGASXc,US23A1500365
13,"No More Dream","BTS",168,10B,86,2025-09-19,03:42,71,"k-pop","2 Cool 4 Skool",2013-06-12,44,1,0,59,40,40,-5,D Major,4,089PFeXotzDLNQz9NCk6pF,KRA341308133
14,"Boyfriend","Dove Cameron",180,6A,61,2025-09-19,02:33,68,"","Alchemical: Volume 1",2023-12-01,35,23,0,23,0,10,-7,G Minor,3,23eLvOQ3JxtdhRi9YyxRKQ,USQX92200693
15,"XOXO (Kisses Hugs)","6arelyhuman,horrormovies,Pixel Hood",118,10A,94,2025-09-19,02:10,69,"hyperpop","Myspace Addiction",2023-09-20,59,3,0,83,0,10,-2,B Minor,4,5qQOPASx8xLdYfyuk7OvWr,SE6XW2283148
16,"Eu Sento Gabu!","PXLWYSE",130,1B,88,2025-09-19,01:23,47,"phonk, brazilian phonk","Eu Sento Gabu!",2024-04-19,57,0,76,73,0,10,-4,B Major,4,24WBge8e53iDTeXOtVB02s,FRX282495842
17,"UGH!","BTS",166,3A,82,2025-09-19,03:45,67,"k-pop","MAP OF THE SOUL : 7",2020-02-21,72,4,0,33,10,0,-5,A#/B♭ Minor,4,2QZe2H1f03t5PJWEMg2Mbe,QM4TX2001950
18,"Killin' It Girl (feat. GloRilla)","j-hope,GloRilla",97,12B,92,2025-09-19,02:28,81,"k-pop, k-rap, ","Killin' It Girl (feat. GloRilla)",2025-06-13,77,0,0,71,0,20,-5,E Major,4,5PCOOngROV9jWsUViSy4Ed,USA2P2523089
19,"Boy in Luv","BTS",166,8B,95,2025-09-19,03:50,73,"k-pop","Skool Luv Affair",2014-02-12,49,0,0,47,30,30,-2,C Major,4,3FnDv33WrrMtuEr7hNR3ev,KRA341404052
20,"Not Today","BTS",110,4B,95,2025-09-19,03:51,1,"k-pop","You Never Walk Alone",2017-02-13,59,0,0,67,10,90,-3,G#/A♭ Major,4,4hrpoqJMVE7FxBu1YWx0eQ,KRA381700254
21,"Beggin'","Måneskin",134,10A,80,2025-09-19,03:31,87,"","Chosen",2017-12-08,71,13,0,59,0,30,-5,B Minor,4,3Wrjm47oTz2sjIgck11l5e,ITB001700846
22,"Bring it on","ROF-MAO",143,10A,78,2025-09-19,03:19,51,"","DiVE !N",2024-07-24,74,3,0,67,10,10,-5,B Minor,4,3hQNnhEDPu8cgNE5xBcWlc,JPPO02403080
23,"INFERNO","Sub Urban,Bella Poarch",128,8A,61,2025-09-19,02:13,68,"","HIVE",2022-06-03,82,8,0,64,10,0,-5,A Minor,4,6e2YNCn1sP5eqnUe17vtxv,USWB12101521
24,"BUTCHER VANITY","FLAVOR FOLEY",142,10A,88,2025-09-19,03:07,45,"vocaloid","CARDIAC CONTREPOINT",2025-02-14,67,1,0,93,0,0,-6,B Minor,4,2QB1vK4MFiYgLlCHMLj51r,QZHN92472571
25,"Loser, Baby","Keith David,Blake Roman,Andrew Underberg,Hazbin Hotel,Sam Haft",88,12B,53,2025-09-19,02:55,71,"","Hazbin Hotel (Original Soundtrack)",2024-02-02,48,50,0,63,10,10,-6,E Major,4,6zJjw0iXY0aMBEUyCG1NsA,QMB622401808
26,"Love Again","Dua Lipa",116,10A,63,2025-09-19,04:18,58,"pop","Future Nostalgia",2020-03-27,66,0,0,51,0,10,-6,B Minor,4,45BZcKdKl8OXpuGSlSvEun,GBAHT1901302
27,"Punching Bag","Set It Off",116,12A,81,2025-09-19,02:59,57,"","Punching Bag",2023-03-24,62,0,0,50,0,10,-5,C♯/D♭ Minor,4,7fudux10sVIxILOocZaHrW,QM24S2301721
28,"Sexy Drug","Falling In Reverse",135,7B,98,2025-09-19,03:14,70,"emo, rap metal","Just Like You (Deluxe Edition)",2015-02-24,37,0,0,64,20,10,-2,F Major,4,4TncWhCfACwaIU8hllz8SQ,USEP41429003
29,"Immortals","Fall Out Boy",108,10B,87,2025-09-19,03:09,79,"emo, pop punk","American Beauty/American Psycho",2015-01-16,62,0,0,48,0,60,-4,D Major,4,3Te8uLyit6X3ncNW8Fp3K2,USUM71417740
30,"Emperor's New Clothes","Panic! At The Disco",94,3B,90,2025-09-19,02:38,69,"emo","Death of a Bachelor",2016-01-15,56,0,0,65,0,0,-5,C♯/D♭ Major,4,3px2rAPu74ltbkf9eZsZ8h,USAT21503476
31,"Hate Me","Nico Collins",95,11A,93,2025-09-19,03:09,61,"nightcore","Hate Me",2018-09-07,64,0,0,57,0,0,-3,F#/G♭ Minor,4,5FgdPkPCffPktT5qnWls8Y,QZAMM1717622
32,"Moves Like Jagger - Studio Recording From  The Voice  Performance","Maroon 5,Christina Aguilera",128,10A,76,2025-09-19,03:21,84,"pop, ","Hands All Over (Revised International Standard version)",2010-00-00,72,1,0,62,0,30,-4,B Minor,4,7pYfyrMNPn3wtoCyqcTVoI,USUM71109132
33,"Shut Me Up","Mindless Self Indulgence",174,3B,80,2025-09-19,02:48,73,"","You'll Rebel to Anything (Expanded and Remastered 2008)",2005-00-00,59,0,0,79,10,0,-4,C♯/D♭ Major,4,3oZUlZMXkj51AyYG8lGaE7,US68L0500001
34,"Konton Boogie","jon-YAKITORY",95,8B,88,2025-09-19,02:34,41,"vocaloid, j-pop, anime","Konton Boogie",2023-08-29,65,3,0,53,0,30,-7,C Major,4,2YAzpDuHmAe5kROOlyDnmv,QZWFU2432120
35,"Nolur Nolur Nolur","Yasemin Mori",110,3B,76,2025-09-19,02:43,54,"turkish pop","Hayvanlar",2008-12-22,77,26,0,72,0,20,-6,C♯/D♭ Major,4,21Rc0BTM9FJQaN1WFmYMaV,TRA161700864
36,"Confident","Demi Lovato",130,5B,74,2025-09-19,03:25,0,"","You Should Go And Love Yourself",2021-02-12,59,0,0,34,0,10,-6,D#/E♭ Major,4,4Jhu1dzIn9ZFwD5NHPRHEL,USHR11536743
37,"Take Me to the Beach (feat. Ado)","Imagine Dragons,Ado",105,5A,70,2025-09-19,02:47,73,"j-pop, anime, vocaloid, j-rock","Take Me to the Beach (feat. Ado)",2024-12-16,79,3,0,90,0,10,-5,C Minor,4,4n7nwDqrdx3qmJvEACOMrN,USUM72413303
38,"All-in (VIVINOS - ALNST 2nd Anniversary Remix Part.1)","AKUGETSU",154,3A,72,2025-09-19,02:55,61,"","All-in (VIVINOS - ALNST 2nd Anniversary Remix Part.1)",2024-10-07,59,0,0,71,10,0,-4,A#/B♭ Minor,4,6dAu8oLG3ApQhfb8wfZOBK,KSB022427817
