#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"WOKE UP","XG",147,10A,63,2025-08-25,03:08,72,"k-pop","WOKE UP",2024-05-21,88,2,0,46,20,0,-6,B Minor,4,4keuUM29CtIWgsPRzRhXoW,JPB602401462
2,"MASCARA","XG",119,8A,88,2025-08-25,03:11,63,"k-pop","MASCARA",2022-06-29,79,5,0,51,0,20,-4,A Minor,4,4OelNEcxPGoCOU29fchcsv,JPB602202266
3,"熱帯夜","RIP SLYME",169,3B,88,2025-08-25,04:49,57,"j-rap, j-pop","FUNFAIR",2007-07-25,66,7,0,73,0,0,-4,C♯/D♭ Major,4,6hQdLMHZXPGJV8oJdr2zsL,JPWP00700661
4,"THIS IS FOR","TWICE",128,12A,74,2025-08-25,02:11,64,"k-pop","THIS IS FOR",2025-07-11,80,16,0,92,0,60,-5,C♯/D♭ Minor,4,18AMT576rBlQFMzUTS7WBa,US5TA2500103
5,"Whiplash","aespa",126,3A,90,2025-08-25,03:03,67,"k-pop","Whiplash - The 5th Mini Album",2024-10-21,86,9,2,74,0,0,-3,A#/B♭ Minor,4,7Cnpb1vBbC46RgVyyKLH7p,KRA302400341
6,"SPOT!","ZICO,JENNIE",108,4A,78,2025-08-25,02:47,74,"k-rap, k-pop","SPOT!",2024-04-26,88,15,0,91,0,10,-4,F Minor,4,1SS0WlKhJewviwEDZ6dWj0,USA2P2421932
7,"UP - KARINA Solo","aespa",99,11A,78,2025-08-25,02:46,73,"k-pop","SYNK : PARALLEL LINE - Special Digital Single",2024-10-09,78,1,0,38,0,0,-4,F#/G♭ Minor,4,5sjnkOfTLCLNfkkchI2re2,KRA302400367
8,"ABCD","NAYEON",106,2A,93,2025-08-25,02:42,57,"k-pop","NA",2024-06-14,68,4,0,86,0,10,-3,D#/E♭ Minor,4,53rB05bAi7JdNbUfgz72I1,US5TA2400099
9,"Eve, Psyche & The Bluebeard’s wife","LE SSERAFIM",143,1B,87,2025-08-25,03:05,73,"k-pop","UNFORGIVEN",2023-05-01,66,2,0,63,20,0,-5,B Major,4,4QhnNyKDsAkXPwHkSnuc89,USA2P2310665
10,"I AM","IVE",122,9A,88,2025-08-25,03:03,75,"k-pop","I've IVE",2023-04-10,68,1,0,38,0,0,-5,E Minor,4,70t7Q6AYG6ZgTYmJWcnkUM,QM4TX2337764
11,"BATTER UP","BABYMONSTER",130,10A,69,2025-08-25,03:08,73,"k-pop","BATTER UP",2023-11-27,90,7,0,87,10,10,-5,B Minor,4,3VBj0lzjmhTzVFPEDOjNCG,KRA402300048
12,"Sugarcoat (NATTY Solo)","KISS OF LIFE",94,4A,82,2025-08-25,02:59,68,"k-pop","KISS OF LIFE",2023-07-05,66,3,0,57,0,10,-3,F Minor,4,0NoeYUnwpb9R26mpylHcR9,KRA382317179
13,"Killin′ Me Good","JIHYO",112,7B,92,2025-08-25,03:05,48,"k-pop","ZONE",2023-08-18,74,21,0,67,0,0,-1,F Major,4,0YlS16W4HY6CJVk7Q750Yu,US5TA2300087
14,"DICE","NMIXX",131,9B,80,2025-08-25,02:45,50,"k-pop","ENTWURF",2022-09-19,56,8,0,63,20,30,-3,G Major,4,6C734SmqoIYuRWo2qSCnpC,US5TA2200097
15,"O.O","NMIXX",200,10A,77,2025-08-25,02:52,50,"k-pop","AD MARE",2022-02-22,39,4,0,28,20,0,-4,B Minor,4,1m2PksrrMpIev63uPxT1V0,US5TA2100138
16,"Step Back","GOT the beat",162,3B,81,2025-08-25,03:48,60,"k-pop","Step Back",2022-01-03,64,2,0,61,10,60,-2,C♯/D♭ Major,4,3LCwQoTrdQgHsGJE5gGVqx,KRA302200001
17,"milk boy","SILENT SIREN",97,3A,87,2025-08-25,03:55,54,"j-rock, j-pop","S",2016-03-02,61,0,0,88,0,30,-3,A#/B♭ Minor,4,5LSMazrndE283ttCAbsWdN,JPN901600110
18,"Shake It To The Max (Done With Ya Ex)","MOLIY,Silent Addy,Gladdest",98,5A,61,2025-08-25,01:33,61,"alté, shatta, ","Shake It To The Max (Done With Ya Ex)",2025-05-15,88,51,0,47,20,10,-6,C Minor,4,6Dm6dbBGa8FpEC73fCK7ZO,QZS7J2517699
19,"全方向美少女","noa",176,10A,93,2025-08-25,02:07,53,"j-pop","全方向美少女",2024-01-05,47,15,0,85,20,10,-4,B Minor,4,5qqqgLXECWbgaKLlq4YWkS,TCJPY2368711
20,"魔性の女A","紫 今",120,3B,87,2025-08-25,03:41,50,"j-pop","eMulsion",2025-03-12,61,15,0,46,0,20,-5,C♯/D♭ Major,4,3O7GuO30ri54Fmq53oQOVJ,JPU902401279
21,"KAWAII","Tatarka",83,3A,69,2025-08-25,02:07,58,"","GOLDEN FLOWER",2020-10-29,77,2,0,41,10,30,-5,A#/B♭ Minor,4,46AX8pgh331m7C7q2t9Jra,RUA582001906
22,"MORECHAU feat. edhiii boi, Janet真夢叶(ぺろぺろきゃんでー), JIMMY(PSYCHIC FEVER)","s**t kingz,edhiii boi,Janet真夢叶,PERO PERO CANDY,JIMMY",160,10B,73,2025-08-25,02:37,37,"j-r&b, j-rap, p-pop","MORECHAU feat. edhiii boi, Janet真夢叶(ぺろぺろきゃんでー), JIMMY(PSYCHIC FEVER)",2024-07-10,77,4,0,72,10,10,-5,D Major,4,7BcCClwdkM71fsisCYgaUQ,JPC102400188
23,"Rock That Body","Black Eyed Peas",125,6A,91,2025-08-25,04:28,81,"","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]",2009-01-01,72,2,0,84,10,40,-6,G Minor,4,2WQ09wqQBIOor7Q0VpIDBK,USUM70967623
24,"III (Sena x Justen Cover)","Sena Kiryuin,Justen Kuwabatake",131,4B,94,2025-08-25,03:10,55,"vocaloid, ","III (Sena x Justen Cover)",2025-07-18,63,1,0,72,0,30,-5,G#/A♭ Major,4,48LQTzDvGCZnDhqVsJudZ9,QMDA62550032
25,"JUMP","BLACKPINK",145,4A,93,2025-08-25,02:44,65,"k-pop","JUMP",2025-07-11,71,0,0,53,0,10,-6,F Minor,4,4TbkhyiZjLS2srPUVez9Fm,KRA402400094
26,"SHOW YOU CAN (Prod. Czaer, JAKOPS)","MAYA,COCONA,XG",100,3B,87,2025-08-25,03:14,48,"k-rap, k-pop","Street Woman Fighter2 (SWF2) Crew Songs",2023-08-22,94,5,0,70,10,20,-5,C♯/D♭ Major,4,5XdxtGNFQTxDiTygagtrWi,KRA492300768
27,"like JENNIE","JENNIE",130,3A,74,2025-08-25,02:03,88,"k-pop","Ruby",2025-03-07,81,28,1,82,0,0,-5,A#/B♭ Minor,4,0fK7ie6XwGxQTIkpFoWkd1,USQX92500261
28,"Typa Girl","BLACKPINK",132,9B,60,2025-08-25,02:59,40,"k-pop","BORN PINK",2022-09-16,92,6,0,51,0,60,-7,G Major,4,2hPJcTRIOEqCWTMpYQZNnr,KRA402200022
29,"God is a woman","Ariana Grande",145,3B,66,2025-08-25,03:17,80,"pop","Sweetener",2018-08-17,60,2,0,27,0,20,-6,C♯/D♭ Major,4,5OCJzvD7sykQEKHH7qAC3C,USUM71808574
30,"Girls Will Be Girls","ITZY",130,3B,91,2025-08-25,02:48,47,"k-pop","Girls Will Be Girls",2025-06-09,78,4,0,55,10,0,-3,C♯/D♭ Major,4,6hcT29EF7UYuwu76eqlys9,US5TA2500091
31,"Bling-Bang-Bang-Born","Creepy Nuts",157,11B,80,2025-08-25,02:49,71,"anime, j-pop, j-rap","LEGION",2025-02-05,86,9,2,75,20,30,-8,A Major,4,4LhDEsC2tzaVuZbWAaCLrP,JPU902305042
32,"Training Season","Dua Lipa",123,4A,59,2025-08-25,03:29,82,"pop","Radical Optimism",2024-05-03,81,3,0,66,0,10,-4,F Minor,4,5b5cPscqVEMChvDqscVw26,GBAHT2301078
33,"Break My Heart","Dua Lipa",113,9A,73,2025-08-25,03:41,81,"pop","Future Nostalgia",2020-03-27,73,17,0,47,0,30,-3,E Minor,4,017PF4Q3l4DBUiWoXk4OWT,GBAHT1901303
34,"SOMETHING AIN'T RIGHT","XG",124,12A,88,2025-08-25,03:10,62,"k-pop","SOMETHING AIN'T RIGHT",2024-07-26,77,11,0,75,0,30,-4,C♯/D♭ Minor,4,4xzrnTQ0CVRj6LBisVyTum,JPB602402486
35,"Igloo","KISS OF LIFE",140,10A,61,2025-08-25,02:11,74,"k-pop","Lose Yourself",2024-10-15,92,17,0,87,20,0,-4,B Minor,4,2DbDefRFJ5YOfXCKOeCJJh,KRA382405135
36,"gogobebe","MAMAMOO",97,8B,78,2025-08-25,03:15,41,"k-pop","White Wind",2019-03-14,70,13,0,70,10,20,-3,C Major,4,30rF6nMyXzW7m6MsOwl2WD,KRA381900683
37,"쏘리 쏘리 Sorry, Sorry","SUPER JUNIOR",130,10A,97,2025-08-25,03:52,63,"k-pop","쏘리 쏘리 Sorry, Sorry - The 3rd Album",2009-03-11,71,2,0,96,0,20,-2,B Minor,4,5w18nowVMRZrC5Na9Vxoth,KRA300803166
38,"KIDDING ME","ITZY",138,4B,77,2025-08-25,03:33,24,"k-pop","GUESS WHO",2021-04-30,76,22,0,42,0,10,-4,G#/A♭ Major,4,1muZkKwVHfv8hS77RG2G2I,US5TA2100005
39,"Gnarly","KATSEYE",135,5A,83,2025-08-25,02:17,86,"k-pop","Gnarly",2025-04-30,78,15,0,66,30,10,-5,C Minor,4,1j15Ar0qGDzIR0v3CQv3JL,USUM72503410
40,"Debut","KATSEYE",122,1B,60,2025-08-25,02:03,84,"k-pop","Debut",2024-06-28,87,1,0,71,0,20,-4,B Major,4,58AZXyKRlsMBMcrRjpJpVG,USUM72407139
