#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Let It Go - From  Frozen /Soundtrack Version","Idina Menzel",137,4B,49,2022-02-15,03:43,77,"musicals","Frozen (Original Motion Picture Soundtrack / Deluxe Edition)",2013-01-01,54,56,0,37,0,10,-7,G#/A♭ Major,4,0qcr5FMsEO85NAQjrlDRKo,USWD11366376
2,"Daddy Issues","The Neighbourhood",85,6B,52,2022-02-15,04:20,86,"","Wiped Out!",2015-10-30,59,7,15,34,0,10,-9,A#/B♭ Major,4,5E30LdtzQTGqRvNd7l6kG5,USSM11506747
3,"FAKE LOVE","BTS",78,7A,72,2022-02-15,04:02,82,"k-pop","Love Yourself 轉 'Tear'",2018-05-18,56,0,0,35,0,30,-5,D Minor,4,6m1TWFMeon7ai9XLOzdbiR,QM4TX1817912
4,"Young And Beautiful","Lana Del Rey",114,10A,42,2022-02-15,03:56,89,"","Young And Beautiful",2013-01-01,32,26,0,15,0,10,-9,B Minor,4,2nMeu6UenVvwUktBCpLMK9,GBUM71301823
5,"Feel Special","TWICE",129,3B,96,2022-02-15,03:26,72,"k-pop","Feel Special",2019-09-23,71,3,0,64,0,10,-1,C♯/D♭ Major,4,3Hz3tTQwOdM6XkA0ALB2G9,US5TA1900074
6,"I Knew You Were Trouble.","Taylor Swift",77,2A,47,2022-02-15,03:39,79,"","Red (Big Machine Radio Release Special)",2012-10-22,62,0,0,68,0,0,-7,D#/E♭ Minor,4,6FB3v4YcR57y4tXFcdxI1E,USCJY1231039
7,"Norman fucking Rockwell","Lana Del Rey",78,7B,20,2022-02-15,04:08,74,"","Norman Fucking Rockwell!",2019-08-30,22,97,6,14,0,0,-13,F Major,1,3RIgHHpnFKj5Rni1shokDj,GBUM71903153
8,"Hermit the Frog","MARINA",122,8B,68,2022-02-15,03:35,66,"","The Family Jewels",2009-07-15,61,24,0,49,0,20,-5,C Major,4,4Zcz6saEkOII3PlXd9gN3o,GBFFS0900117
9,"I Bet on Losing Dogs","Mitski",82,11B,49,2022-02-15,02:50,81,"","Puberty 2",2016-06-17,40,0,0,41,0,10,-10,A Major,4,2Co0IjcLTSHMtodwD4gzfg,USJ5G1612306
10,"Demons","Imagine Dragons",90,5B,71,2022-02-15,02:57,85,"","Night Visions",2012-09-04,50,19,0,42,0,20,-3,D#/E♭ Major,4,5qaEfEh1AtSdrdrByCP7qR,USUM71201071
11,"A Burning Hill","Mitski",132,10B,19,2022-02-15,01:49,63,"","Puberty 2",2016-06-17,46,77,0,10,0,10,-15,D Major,1,6gz3orrUlKresI8GShSkdq,USJ5G1612311
12,"Cradles","Sub Urban",67,3B,59,2022-02-15,03:29,1,"","Cradles",2019-01-04,58,27,0,63,30,10,-2,C♯/D♭ Major,3,18A7ha5BitZjmdHTCwXFbU,GB2LD1800949
13,"I Wanna Be Yours","Arctic Monkeys",68,5A,42,2022-02-15,03:03,92,"indie, garage rock","AM",2013-09-09,46,14,2,48,0,10,-9,C Minor,4,5XeFesFbtLpXzIVDNQP22n,GBCEL1300373
14,"Afraid","The Neighbourhood",84,11A,70,2022-02-15,04:11,80,"","I Love You.",2013-04-22,46,1,31,36,0,30,-6,F#/G♭ Minor,4,7brQHA2CgQpcMBiOlfiXYb,USSM11300889
15,"ilomilo","Billie Eilish",120,4A,42,2022-02-15,02:36,75,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,86,72,47,57,0,0,-15,F Minor,4,7qEKqBCD2vE5vIBsrUitpD,USUM71900771
16,"when the party's over","Billie Eilish",83,12B,11,2022-02-15,03:16,85,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,37,98,0,20,10,0,-14,E Major,4,43zdsphuZLzwA9k4DJhU0I,USUM71815958
17,"Love Like You (feat. Rebecca Sugar) - End Credits","Steven Universe,Rebecca Sugar",118,5A,24,2022-02-15,02:23,74,"","Steven Universe, Vol. 1 (Original Soundtrack)",2017-06-02,59,88,0,29,0,10,-10,C Minor,3,3z9OnsnvM6SFN2dzrSDdVO,TCADA1768019
18,"Tag, You're It","Melanie Martinez",115,4A,84,2022-02-15,03:09,73,"","Cry Baby (Deluxe Edition)",2015-08-14,56,24,2,38,0,10,-6,F Minor,4,3u1FiuSpfsgVnekEMXgMwJ,USAT21501939
19,"Show Yourself","Idina Menzel,Evan Rachel Wood",123,2B,43,2022-02-15,04:20,73,"musicals, ","Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition)",2019-11-15,32,73,0,17,0,0,-7,F#/G♭ Major,4,50WeOnXhM1H7AZEeIDoWfZ,USWD11994671
20,"The Perfect Girl","Mareux",129,1A,89,2022-02-15,03:14,77,"darkwave, cold wave","The Perfect Girl",2021-12-08,49,0,82,26,0,10,-6,G#/A♭ Minor,4,5RBOcBpJXaNnHCGViJmYhh,QZF8N1986577
21,"Je te laisserai des mots","Patrick Watson",133,10B,19,2022-02-15,02:40,6,"","Je te laisserai des mots",2010-09-10,30,99,50,21,0,10,-17,D Major,4,0V5cvmTKsYmF5FmGGEAfmS,CA0RZ1000020
22,"Apocalypse","Cigarettes After Sex",94,7B,47,2022-02-15,04:50,11,"dream pop","Cigarettes After Sex",2017-06-09,37,2,57,18,0,10,-9,F Major,4,0yc6Gst2xkRu0eMLeRMGCX,USBQU1700034
23,"Blood Sweat & Tears","BTS",93,5A,89,2022-02-15,03:37,78,"k-pop","Wings",2016-10-10,58,2,0,61,10,30,-4,C Minor,4,2u54HNQamwFuOMLSuhSRom,KRA381601892
24,"Psycho","Red Velvet",140,4B,67,2022-02-15,03:30,74,"k-pop","‘The ReVe Festival’ Finale",2019-12-23,66,19,0,41,0,0,-2,G#/A♭ Major,4,3CYH422oy1cZNoo0GTG1TK,KRA301900597
25,"Geyser","Mitski",49,9B,61,2022-02-15,02:23,57,"","Be the Cowboy",2018-08-17,10,0,0,13,0,0,-5,G Major,4,2fCdOF4nBAeQaXW84WjoiU,USJ5G1815001
26,"Miss Americana & The Heartbreak Prince","Taylor Swift",150,10A,75,2022-02-15,03:54,76,"","Lover",2019-08-23,66,3,1,49,0,10,-7,B Minor,4,214nt20w5wOxJnY462klLw,USUG11901477
27,"Choke","I DONT KNOW HOW BUT THEY FOUND ME",120,9A,85,2022-02-15,03:15,66,"","Choke",2018-08-24,52,0,0,58,0,30,-4,E Minor,4,37mfTcSlX60JtAvAETytGs,TCADH1774692
28,"Flawless","The Neighbourhood",120,8B,87,2022-02-15,04:06,71,"","I Love You.",2013-04-22,57,6,51,37,0,30,-3,C Major,4,2Kt1XplPBQBsDKQDa6TssB,USSM11300895
29,"I Love You So","The Walters",76,6B,65,2022-02-15,02:40,87,"","I Love You So",2014-11-28,57,58,0,47,0,10,-5,A#/B♭ Major,4,4SqWKzw0CbA05TGszDgMlc,TCACC1438995
30,"Savages","MARINA",120,8A,76,2022-02-15,04:16,56,"","Froot",2015-03-13,76,8,0,73,0,0,-7,A Minor,4,4sT2hi5bgnG2ApK7Oq06QW,GBAHS1400463
31,"The Truth Untold (feat. Steve Aoki)","BTS,Steve Aoki",113,12A,42,2022-02-15,04:02,68,"k-pop, electro house, edm","Love Yourself 轉 'Tear'",2018-05-18,57,37,0,17,0,10,-8,C♯/D♭ Minor,4,7DEKa5Z7Cl8s3Y7imb88OM,QM4TX1817913
32,"Sign of the Times","Harry Styles",120,7B,60,2022-02-15,05:40,92,"","Harry Styles",2017-05-12,52,3,0,22,0,10,-5,F Major,4,5Ohxk2dO5COHF1krpoPigN,USSM11703595
33,"Set Fire to the Rain","Adele",108,7A,67,2022-02-15,04:02,83,"soft pop","21",2011-01-24,60,0,0,45,0,10,-4,D Minor,4,3di5hcvxxciiqwMH1jarhY,GBBKS1000348
34,"Colors","Halsey",100,3B,81,2022-02-15,04:09,75,"","BADLANDS",2015-08-28,51,5,0,52,0,0,-5,C♯/D♭ Major,4,1TnUURhehaoMWKAqQtirm6,USUM71507629
