#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Bones","Imagine Dragons",114,4A,74,2022-06-13,02:45,77,"","Bones",2022-03-11,77,2,0,57,0,0,-4,F Minor,4,0HqZX76SFLDz2aW8aiqi7G,USUM72201759
2,"Freaks","Surf Curse",180,11B,94,2022-06-13,02:27,87,"indie","Freaks",2021-05-15,35,0,63,41,0,0,-10,A Major,4,7EkWXAI1wn8Ii883ecd9xr,USAT22102269
3,"My Kind Of Woman","Mac DeMarco",92,11B,77,2022-09-10,03:10,0,"indie, lo-fi indie","2",2013-08-09,50,0,62,45,0,10,-7,A Major,4,4tXzPOr4UaBoA7k7pnpJI1,QMMZN1200053
4,"Mrs Magic","Strawberry Guy",133,4B,63,2022-06-19,03:28,81,"bedroom pop","Mrs Magic",2019-07-24,47,16,37,37,0,30,-7,G#/A♭ Major,4,0TZejo18HlJ86OrWNsXKnw,GBJGV1900102
5,"Landlord","Yot Club",91,11B,56,2022-06-19,02:35,54,"bedroom pop","Bipolar",2019-05-31,53,83,2,74,0,40,-10,A Major,4,7FJrIeLwz1qQsgFyYzNW7Q,CAGOO1966520
6,"F Song","Strawberry Guy",81,5A,51,2022-06-19,03:44,68,"bedroom pop","F Song",2018-08-09,24,41,28,23,0,30,-11,C Minor,4,4z9KVNX4hmk672SJfhtQNz,TCADT1853143
7,"Blue","Dream, Ivory",150,12B,94,2022-06-19,02:30,0,"","Dream, Ivory",2017-03-09,55,4,71,50,0,10,-3,E Major,4,4DsIr33zhVrXj06YYFM3JZ,TCACY1789030
8,"Insomniac","Memo Boy,Chakra Efendi",130,10B,71,2022-09-10,03:32,0,"","Songs & Demos 2015-2017",2021-06-04,52,24,85,37,0,10,-9,D Major,4,62JzTgFcJ4BX07AktKmB1S,AUNUK1700026
9,"wasted affairs","Mind’s Eye",100,12A,87,2022-09-10,02:48,0,"","wasted affairs",2021-04-03,46,2,1,21,0,10,-8,C♯/D♭ Minor,4,3CczWPmaz03mSTr6qnqXnc,SE6HN2103979
10,"Cariño","The Marías",114,5A,39,2022-06-19,04:18,1,"bedroom pop","Cariño",2018-08-17,65,40,6,66,0,10,-14,C Minor,4,55DyBUkjebkcYhDGfEXitR,QZDA71858168
11,"Forevermore","Cuco",75,11B,60,2022-06-19,02:54,49,"bedroom pop","Forevermore",2021-05-07,71,72,94,44,0,10,-7,A Major,4,4r4uSdJJKV8RIcNKH7pX54,USUG12100983
12,"Sweater Weather","The Neighbourhood",124,6B,81,2022-06-13,04:00,93,"","I Love You.",2013-04-22,61,5,2,40,0,10,-3,A#/B♭ Major,4,2QjOHCTQ1Jl3zawyYOpxh6,USSM11300080
13,"Washing Machine Heart","Mitski",106,11B,82,2022-06-13,02:08,83,"","Be the Cowboy",2018-08-17,61,1,51,57,0,40,-4,A Major,4,3jjsRKEsF42ccXf8kWR3nu,USJ5G1815012
14,"Burning Pile","Mother Mother",140,7B,76,2022-06-13,04:22,2,"","O My Heart",2008-09-23,52,6,0,17,0,10,-4,F Major,4,0zMAvsQmaQ4DGsmXtKixpn,CAL450882102
15,"Me and My Husband","Mitski",172,3B,64,2022-06-13,02:17,73,"","Be the Cowboy",2018-08-17,50,5,0,77,0,30,-5,C♯/D♭ Major,4,3pANfZVFdtuVnJsE6xa5Ox,USJ5G1815007
16,"Too Close","Sir Chloe",166,11B,56,2022-06-19,02:50,0,"","Party Favors",2020-10-23,42,17,0,54,0,10,-6,A Major,4,4zV3Og5KgrNyZEhzrZzwuk,QZFZ21909163
17,"Heads Will Roll","Yeah Yeah Yeahs",132,1A,90,2022-06-13,03:41,73,"indie rock","It's Blitz!",2009-01-01,56,0,9,79,0,30,-4,G#/A♭ Minor,4,2WRFD9WczJ975X2K1Y9YVs,GBUM70900924
18,"High Enough","K.Flay",89,8B,62,2022-06-13,03:51,72,"","Every Where Is Some Where",2017-04-07,61,3,9,54,0,10,-5,C Major,4,1qwno7xb5mJe71xtMS6jl2,USUM71701789
19,"Black Out Days - Future Islands Remix","Phantogram,Future Islands",170,9A,48,2022-06-13,04:08,65,"","Black Out Days (Future Islands Remix)",2017-09-01,48,0,78,12,0,10,-9,E Minor,4,3kxkjirben9RVm9NqYa6rm,USUM71415944
20,"Bad Things","Cults",114,12A,73,2022-09-10,03:38,55,"","Cults",2011-05-23,29,37,32,29,0,20,-7,C♯/D♭ Minor,4,1caFMoQlQyF5JHvfPNe49E,GBARL1100250
21,"Show & Tell","Melanie Martinez",110,9A,75,2022-06-13,03:35,68,"","K-12",2019-09-06,54,30,0,65,20,30,-6,E Minor,4,7po7c8LzxTZ0ybU41qT5gD,USAT21902528
22,"My Alcoholic Friends","The Dresden Dolls",110,9A,68,2022-06-13,02:47,76,"","Yes, Virginia",2006-03-29,60,18,0,75,0,0,-4,E Minor,4,2gvmxusSOe3vNjNDjQWaso,NLA320581712
23,"Cigarette Duet","Princess Chelsea",105,5A,54,2022-06-13,04:20,0,"baroque pop","Lil' Golden Book",2011-01-01,35,33,0,18,0,10,-8,C Minor,4,5zZt5BzzSrUXwytlRatvc2,NZLC01100011
24,"Always Forever","Cults",163,4B,74,2022-06-13,03:43,79,"","Static",2013-10-15,17,0,28,36,0,20,-6,G#/A♭ Major,4,2enPRFda84VE2wtI8c86Uf,USSM11303912
25,"Good Looking","Suki Waterhouse",150,12B,56,2022-09-10,03:34,0,"","Good Looking",2017-10-20,38,8,0,27,0,10,-9,E Major,3,3L3G4XFQqtFe9a3azMacZ5,QZ9Y21712533
26,"Wait a Minute!","WILLOW",101,2A,71,2022-06-13,03:16,86,"","ARDIPITHECUS",2015-01-11,76,4,0,67,0,0,-5,D#/E♭ Minor,4,0y60itmpH0aPKsFiGxmtnh,QMJMT1500801
27,"Dead To Me","Kali Uchis",119,9A,76,2022-06-13,03:19,77,"","Isolation",2018-04-06,68,43,0,43,0,10,-4,E Minor,4,6LOZws7T3jqZz78unPgFF9,GBUM71801115
28,"Swimming Pool","Marie Madeleine",120,11A,90,2022-06-13,05:25,0,"","Swimming Pool",2011-09-19,71,1,90,89,0,0,-5,F#/G♭ Minor,4,3BMqVk2NJbH4fxf84e8kDC,FR3PA1100090
