#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"怪獣","sakanaction",90,12B,82,2025-04-18,04:12,75,"j-pop, j-rock, japanese indie","怪獣",2025-02-20,59,10,0,63,0,10,-3,E Major,4,6FhWelfRDMFZRtFUU6SIdC,JPVI02403562
2,"花束","back number",160,10B,71,2025-04-18,04:46,78,"j-pop, j-rock","スーパースター",2011-10-26,52,2,0,51,0,30,-4,D Major,4,3QIAwtEEDOrv0g5NKCGrXZ,JPPO01131060
3,"恋する","SHISHAMO",174,12A,93,2025-04-18,06:12,56,"japanese indie, j-rock, j-pop","SHISHAMO",2013-11-13,39,0,0,73,0,0,-3,C♯/D♭ Minor,4,6m5ODmf7M100cdFuw1OCgP,JPD001300177
4,"挿入歌","First Love is Never Returned",108,2B,62,2025-04-18,02:57,28,"city pop, japanese indie, j-r&b, j-pop","挿入歌",2025-03-26,52,11,0,78,0,10,-4,F#/G♭ Major,4,1fVv4ryroKX1SjibfjdwQn,JPB602500860
5,"僕があなたに贈る詩","寧音",170,5A,43,2025-04-18,04:11,5,"","僕があなたに贈る詩",2024-01-24,48,39,0,35,0,10,-9,C Minor,4,6JItyknYHOD9aakFQvPMOM,TCJPY2370271
6,"さよーならまたいつか！- Sayonara","Kenshi Yonezu",122,9B,60,2025-04-18,03:21,68,"j-pop, anime, j-rock","LOST CORNER",2024-08-21,83,20,0,81,0,0,-7,G Major,4,5pN2AyWwjzwRoI7gukEVNd,JPU902400966
7,"ゆめうつつ - Daydream","Kenshi Yonezu",92,7B,66,2025-04-18,05:05,50,"j-pop, anime, j-rock","LOST CORNER",2024-08-21,66,14,0,52,0,10,-7,F Major,4,2cI2h593ytqfNdbiJImZR3,JPU902101133
8,"ダーリン","Mrs. GREEN APPLE",135,7B,65,2025-04-18,04:40,71,"j-pop, j-rock, anime","ダーリン",2025-01-19,56,12,0,41,0,0,-4,F Major,4,62x4EMPyCFF2Ohv7qDjalp,JPPO02500038
9,"僕のこと - Remastered 2020","Mrs. GREEN APPLE",80,9B,68,2025-04-18,05:23,60,"j-pop, j-rock, anime","5",2020-07-07,52,1,0,51,0,10,-4,G Major,4,0rAspqcvcfHKeOixeP6lVr,JPPO02000699
10,"Circle","Mrs. GREEN APPLE",131,12B,29,2025-04-18,03:21,59,"j-pop, j-rock, anime","Attitude",2019-10-01,48,93,0,35,0,30,-6,E Major,4,64sLQGPqgpsGOq5vg75DxY,JPPO01902906
11,"ハミング","Lilas",184,7B,79,2025-04-18,03:39,50,"j-pop, anime","ハミング",2024-06-01,61,21,0,69,0,0,-5,F Major,4,17f50sZb2FwIeyh89It1qX,JPP302400416
12,"薄明光線","Chevon",172,9A,88,2025-04-18,03:27,34,"j-pop","薄明光線",2023-05-10,53,27,0,76,10,10,-1,E Minor,4,7GBcaDq8SWxon97pOWXQEI,JPB602302079
13,"ポラリス","Aimer",148,11B,64,2025-04-18,06:05,44,"anime, j-pop, j-rock","After Dark",2013-11-20,46,5,0,49,0,30,-6,A Major,4,0m37tmxs9lX9LQjoNcvhKk,JPN101300881
14,"眩いばかり","Aimer",85,2B,73,2025-04-18,04:11,29,"anime, j-pop, j-rock","Penny Rain",2019-04-09,43,0,0,21,0,10,-4,F#/G♭ Major,4,17eX7bBhbs80oFrmdkBhaL,JPU901704134
15,"満ちてゆく","Fujii Kaze",144,11B,59,2025-04-18,05:10,68,"j-pop","満ちてゆく",2024-03-14,56,47,5,43,0,10,-8,A Major,4,5glPFBAuA1C85tBcVWVzvO,JPPO02400480
16,"優しさ","Fujii Kaze",134,3B,71,2025-04-18,04:00,65,"j-pop","HELP EVER HURT NEVER",2020-05-20,60,11,0,26,0,0,-7,C♯/D♭ Major,4,0f3Ce9xjHymExIpEyHUC8D,JPPO02000605
17,"帰ろう","Fujii Kaze",92,11B,62,2025-04-18,04:44,64,"j-pop","HELP EVER HURT NEVER",2020-05-20,59,30,0,34,0,10,-6,A Major,4,6Dmxt4rbi97c7sjoWRrJoj,JPPO02000613
18,"恋心は踊る","Masanori Otoda",129,9B,81,2025-04-18,04:47,42,"j-pop","恋心は踊る",2025-01-28,55,1,0,47,0,10,-4,G Major,4,4YbaGfMsfQi4Jj4mgQ0Qf2,JPU902404736
