#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Drugs & Money - New Mix","Chase Atlantic",124,1B,74,2025-10-21,03:59,68,"","Chase Atlantic",2017-10-04,63,20,0,48,0,20,-5,B Major,4,4SRyrhBJ5mq8fEa3bsdZn6,USWB11701726
2,"1 OF 1","P6ICK,SURIYA MQT",107,2B,38,2025-11-06,04:21,68,"thai hip hop, thai trap, thai pop, t-pop","1 OF 1",2025-07-05,52,83,0,27,10,10,-11,F#/G♭ Major,5,7wEWayecQuw6YBcWZLukM0,QZTBE2533040
3,"JANE DOE","Kenshi Yonezu,Hikaru Utada",133,10A,57,2025-12-02,03:55,80,"j-pop, anime, j-rock, j-r&b","JANE DOE",2025-09-22,42,31,0,36,0,10,-7,B Minor,3,4oE7MyJhqSD3BaHRpNs8Nl,JPU902502822
4,"ว้าวุ่น (On A Date)","YENTED",90,8B,49,2025-10-21,03:03,55,"thai pop, thai hip hop, thai indie pop, t-pop","URDAWG",2024-02-10,64,77,0,61,0,10,-7,C Major,4,7vpB1jFZPn5a04hrUMUB1K,FR2X42455159
5,"nuts","Lil Peep,rainy bear",62,10B,74,2025-10-21,01:25,89,"emo rap, cloud rap, ","LIVE FOREVER",2015-12-02,51,1,0,15,0,10,-7,D Major,4,4k3xDpAdBuM17mNNHhOZkK,UKELY2100069
6,"boyfriend (with Social House)","Ariana Grande,Social House",190,3A,80,2025-10-21,03:06,81,"pop, ","boyfriend",2019-08-02,40,12,0,70,40,10,-4,A#/B♭ Minor,4,0Ryd8975WihbObpp5cPW1t,USUG11902591
7,"back to friends","sombr",93,3B,72,2025-10-21,03:19,93,"","I Barely Know Her",2025-08-22,44,0,0,24,0,0,-2,C♯/D♭ Major,4,7qjZnBKE73H4Oxkopwulqe,USWB12405502
8,"See You Again (feat. Kali Uchis)","Tyler, The Creator,Kali Uchis",79,2B,56,2025-10-21,03:00,91,"","Flower Boy",2017-07-21,56,37,0,62,10,10,-9,F#/G♭ Major,4,7KA4W4McWYRpgf0fWsJZWB,USQX91701275
9,"Say It","Tory Lanez",107,10A,53,2025-10-21,03:57,80,"","I Told You",2016-08-19,55,9,0,25,0,10,-11,B Minor,4,2Gyc6e2cLxA5hoX1NOvYnU,USUM71510633
10,"Style","Taylor Swift",95,9B,79,2025-10-21,03:51,85,"","1989 (Deluxe)",2014-01-01,59,0,0,49,0,10,-6,G Major,4,0ug5NqcwcFR2xrfTkc7k8e,USCJY1431319
11,"Timeless (feat Playboi Carti)","The Weeknd,Playboi Carti",120,10A,78,2025-10-21,04:16,90,"rage rap","Hurry Up Tomorrow",2025-01-31,77,7,0,60,0,10,-5,B Minor,4,0FIDCNYYjNvPVimz5icugS,USUG12406536
12,"ดาวตก (Wish) [feat. Z9]","WANYAi,Z9",134,12A,46,2025-11-06,04:01,73,"thai pop, t-pop, thai hip hop, thai rock, thai trap","ดาวตก (Wish) [feat. Z9]",2025-10-01,67,35,0,42,0,10,-9,C♯/D♭ Minor,4,4YkPsxVBXkM4jBgMTAxtFz,THW092504313
13,"Love Me Not","Ravyn Lenae",114,8B,74,2025-11-06,03:33,88,"alternative r&b, indie soul","Love Me Not / Love Is Blind",2024-05-03,79,29,0,82,0,10,-6,C Major,4,1UNEuG9DYOWiikf00ayr52,USAT22401137
