#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"呼吸決定","phyllzx",150,4B,26,2022-02-27,02:24,0,"breakcore","呼吸決定",2021-11-12,55,75,0,24,0,10,-11,G#/A♭ Major,4,4T9goCXKVYz1cCV5p6LmCr,QZNWZ2126926
2,"呼吸決定","Fine樂團",75,4B,45,2022-02-27,04:06,0,"chinese indie, taiwanese pop, mandopop","I'm Sorry",2021-02-01,68,84,0,19,0,10,-7,G#/A♭ Major,4,160m3lGzpADFlI57UpfhTb,CNZ701800249
3,"还是分开","Leafy Zhang张叶蕾",134,3B,59,2024-04-22,03:46,48,"c-pop","还是分开",2017-03-06,57,68,0,38,0,10,-6,C♯/D♭ Major,4,22IGcQVGVUac2be2vINVnm,FRX282263087
4,"这是你期盼的长大吗","向思思",120,1B,53,2024-04-22,03:58,51,"mandopop, c-pop","这是你期盼的长大吗",2023-11-08,55,77,0,34,0,0,-8,B Major,4,105ViEA7DOVGg2IxSAd1Zy,DGA0Q2351446
5,"冷戰","Tizzy T,Vinida Weng",148,10A,68,2024-04-22,03:43,51,"chinese hip hop, chinese r&b, c-pop, mandopop","做舊",2023-11-17,73,35,0,49,10,10,-6,B Minor,4,4fq1wnzohJvzP1yhx5kQQw,HKE672301075
6,"谁 - 女声版","王贰浪",148,11A,38,2024-04-22,03:28,0,"c-pop, mandopop, gufeng, chinese r&b","谁 (女声版)",2023-03-05,34,37,0,17,0,10,-11,F#/G♭ Minor,4,6f3w8YCt3rLY9Lb14EpKrk,HKG732319578
7,"沉溺（你讓我的心不再結冰）","鄒沛沛,Pank",101,10B,48,2024-04-22,03:13,24,"chinese r&b, c-pop, mandopop","短視頻高播熱歌合集-華語篇",2023-04-20,56,59,0,23,0,10,-8,D Major,4,5FZMWVCLp5GYitSf4QmF4h,CNUM72300085
8,"悬溺","葛东琪",144,8A,56,2024-04-22,03:17,0,"gufeng, c-pop, chinese r&b, mandopop","悬溺",2019-10-18,60,41,0,50,0,10,-9,A Minor,4,1i3WdUm8pYf49H3MwQRMMH,FR10S2311289
9,"在加納共和國離婚","Firdhaus,DIOR 大穎",116,9B,38,2024-05-12,04:21,67,"mandopop, c-pop, chinese r&b, taiwanese pop","在加納共和國離婚",2023-08-14,42,86,0,24,0,10,-10,G Major,4,6GyUt7yJ0sOktc5HjvVnFh,MYLO32310010
10,"以朋友的身份","于冬然",124,5B,66,2024-05-12,03:30,54,"mandopop, c-pop","以朋友的身份",2023-10-27,64,68,0,33,0,10,-5,D#/E♭ Major,4,7zYMWbC1ABibwQmJyESgc6,DGA0H2325087
11,"底牌 - 听着时钟tic Tok Tick Tok Tic","李梦妮",171,12B,38,2024-05-15,03:01,30,"chinese r&b, c-pop","底牌 (听着时钟tic tok tick tok tic)",2024-03-11,44,54,0,35,0,60,-11,E Major,4,49oZKFqWR9u0XP7nuTiDk5,FRX202455369
12,"底牌","Zy",104,11B,77,2024-05-15,02:18,35,"chinese r&b, c-pop, chinese hip hop","底牌",2024-03-13,53,51,0,34,20,20,-6,A Major,4,2mF4HUMGDVHtjUrRUfhx09,HKG732406409
13,"风轻轻beat","Eddie Chen",148,3B,66,2024-05-15,02:16,0,"taiwanese pop, vinahouse, chinese r&b","风轻轻beat",2024-02-24,67,82,0,74,0,0,-6,C♯/D♭ Major,3,0Qm1E2FgQiCpIYQfIAvGk1,QZES72401316
14,"风轻轻","Zy",146,2A,58,2024-05-15,02:17,0,"chinese r&b, c-pop, chinese hip hop","风轻轻",2024-02-18,79,61,0,66,0,10,-7,D#/E♭ Minor,4,77jsYhUH4RQ8Mfd75kUESi,HKG731683777
15,"再次爱上你","Zy",75,2B,42,2024-05-15,02:34,29,"chinese r&b, c-pop, chinese hip hop","再次爱上你",2023-11-02,74,90,32,59,0,10,-8,F#/G♭ Major,4,4cNT6StXdfL1nb3jCB6wxh,HKG731656963
16,"忘不掉的你","h3R3",92,3B,74,2024-05-15,02:52,54,"chinese r&b, c-pop, mandopop, chinese hip hop","忘不掉的你",2021-06-10,63,6,0,31,0,10,-4,C♯/D♭ Major,4,2Xq2Ys9NmZ6U6bkN2dS5rN,HKG732111194
17,"还是会想你","林達浪,h3R3",166,4A,74,2024-05-15,03:10,58,"chinese r&b, c-pop, chinese hip hop, mandopop","还是会想你",2021-03-14,60,12,0,42,0,10,-5,F Minor,4,011rlesOl5PD27bKaqPYrO,HKG732120895
18,"坏蛋","叶琼琳,褚晨茜",112,3A,37,2024-05-15,03:35,22,"chinese r&b, c-pop, mandopop, chinese hip hop, gufeng","坏蛋",2023-03-28,77,62,0,49,0,10,-8,A#/B♭ Minor,4,2YsU3BavOnvX0Wb9isBsXC,CNZ632300321
19,"十个字","褚晨茜,你的九儿",120,10A,75,2024-05-15,02:42,24,"chinese r&b, c-pop, gufeng, mandopop, chinese indie","十个字",2022-02-26,85,18,0,43,0,10,-5,B Minor,4,1wzbq5paOj76rahr9Pfg4q,HKG731741194
20,"如果爱忘了 - 说唱版","张叶蕾,褚晨茜",140,3B,50,2024-05-15,03:34,46,"c-pop, chinese r&b, mandopop, gufeng","如果爱忘了 (说唱版)",2024-03-01,41,75,0,20,0,10,-8,C♯/D♭ Major,4,0Hu1hT5FmQFSpZ3zoDnM8Y,HKG731686354
21,"下个路口再见吧","不是花火呀,褚晨茜",98,8B,67,2024-05-15,03:08,33,"c-pop, chinese r&b, mandopop, gufeng","下个路口再见吧",2023-06-21,74,57,0,50,0,10,-6,C Major,4,4wRpRe0ZpxR0KsQdJHbQcq,HKG732358424
22,"狂恋","GALI,Vinida Weng",160,6A,61,2024-05-15,03:14,44,"chinese hip hop, chinese r&b, c-pop, mandopop","黑怕盲盒Vol.1示爱系列",2022-11-18,77,22,0,72,20,0,-6,G Minor,4,2kPuY9xzCN1P0zad1b8ufO,CNZ632201482
23,"丁达尔效应","云汐",160,2B,49,2024-05-15,02:51,3,"gufeng, c-pop, mandopop","丁达尔效应",2022-06-02,69,22,0,45,0,0,-7,F#/G♭ Major,4,2C1cF5zKvVKDYbIydPC2Jh,HKG732233101
24,"丁达尔效应","伊格赛听,傅梦彤",160,7B,77,2024-05-15,02:57,37,"gufeng, c-pop, mandopop, chinese r&b","丁达尔效应",2022-06-09,68,77,0,43,0,10,-7,F Major,4,3dbqOBrY6fguyGKyIhk7zc,HKG732232172
25,"忘了","周林楓",156,7A,77,2024-05-15,03:00,0,"gufeng, c-pop","忘了",2023-02-14,51,63,0,21,0,30,-5,D Minor,4,6xxxLe5pkUBCD60HkcPWpn,HKE022206695
26,"Love Song 4 Me","KnowKnow,Higher Brothers",160,9B,64,2024-05-15,02:48,27,"chinese hip hop, chinese r&b, c-pop, mandopop","Mr. Enjoy Da Money",2019-12-12,81,8,2,65,20,10,-5,G Major,4,5t1QTquznmezmfiMEJrmNz,ZZOPM1901684
27,"招惹","肖妍淇",92,12A,62,2024-05-15,04:35,36,"c-pop","招惹",2022-01-25,56,53,0,42,0,10,-6,C♯/D♭ Minor,4,4jd9W1Beb4kO6J70k6cfOm,HKG731894316
28,"称职","李佳歡",167,5B,39,2024-05-15,04:14,38,"mandopop, c-pop, taiwanese pop, chinese indie","称职",2021-09-09,47,81,0,28,0,10,-8,D#/E♭ Major,4,4rGmfL85pgfnInGd7TWGoN,CNZ632100797
29,"我的眼泪 你的战利品","于冬然",134,5A,63,2024-05-15,03:13,52,"mandopop, c-pop","我的眼泪 你的战利品",2022-04-08,52,74,0,38,0,20,-5,C Minor,4,0fqAwMCnNriVxLwPIYfGyR,FR59R2224329
30,"予你","隊長",132,12B,50,2024-05-15,03:51,0,"chinese r&b, mandopop, c-pop, chinese hip hop","予你",2021-11-17,51,58,0,19,0,10,-8,E Major,4,11iIgCKYIZc4Cs16EjF2Zj,HKG732148165
31,"瞳孔是海你是鱼","Bo Wen",128,1B,37,2024-05-15,03:31,0,"mandopop, c-pop","瞳孔是海你是鱼",2022-08-31,70,85,0,49,0,10,-12,B Major,4,1EvHrnDtIuID4qbSpEQNCx,HKG732266946
32,"身后","space x",150,8B,72,2024-05-15,03:20,0,"chinese r&b, mandopop, c-pop, chinese hip hop","身后",2021-09-08,70,38,0,30,0,20,-6,C Major,4,4K5NPDKkh6BEC9g88TlE33,FRX452172075
33,"航行","蒋小呢",78,1B,68,2024-05-15,02:48,51,"chinese r&b, c-pop, mandopop","航行",2021-04-18,55,48,0,32,0,0,-8,B Major,4,3LJVA3pmQwH071agpGeABV,FRX202131393
34,"落海","Ren Ran",118,3B,50,2024-05-15,03:49,0,"mandopop, c-pop, gufeng, chinese r&b, taiwanese pop","落海",2021-04-20,59,70,0,30,0,10,-8,C♯/D♭ Major,4,2g3GY9UVmT0lglq1rdSHE6,FR96X2102434
35,"雀跃","Ren Ran",124,2B,41,2024-05-15,03:52,0,"mandopop, c-pop, gufeng, chinese r&b, taiwanese pop","雀跃",2021-07-16,65,49,0,59,0,10,-9,F#/G♭ Major,4,2Tyt5tFE7X5JJsBONA239g,FRX282165073
36,"置身事外","小田音乐社,Yin Xi Mian",120,2B,54,2024-05-15,03:33,0,"gufeng, c-pop, mandopop, chinese r&b","置身事外",2021-09-24,61,60,0,24,0,10,-8,F#/G♭ Major,4,7guqZfAWGKBiNKKk8V72J0,HKG731746525
37,"悬溺","葛东琪",144,8A,55,2024-05-15,03:17,0,"gufeng, c-pop, chinese r&b, mandopop","第二街区",2020-12-22,60,43,1,50,0,10,-9,A Minor,4,0PF5sCX3LMn9NhKvaGFGJT,HKG732009017
38,"Hat Trick","Lexie Liu",177,1A,58,2024-05-15,02:49,0,"c-pop, chinese hip hop, chinese r&b, mandopop","Hat Trick",2019-01-24,56,52,0,43,0,10,-5,G#/A♭ Minor,3,5odVQE7OgmfDMIRG97mxDb,ZZOPM1900856
39,"占有胜负欲","Mikey-18",123,8B,63,2024-05-15,02:51,9,"chinese hip hop, chinese r&b, taiwanese pop","占有胜负欲",2023-11-29,91,53,0,35,10,10,-7,C Major,4,5AQObv0HeJyBJ4uzISK5t8,HKG731678494
40,"祝你爱我到天荒地老","颜人中,Vava",75,8B,68,2024-05-15,03:57,52,"mandopop, c-pop, chinese r&b","祝你爱我到天荒地老",2019-06-05,69,68,0,32,0,10,-6,C Major,3,2d1pq9cdgmdPnkZq47xfax,HKG732002065
