#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Creep","Radiohead",92,9B,43,2023-01-04,03:58,6,"art rock, alternative rock","Pablo Honey",1993-02-22,52,1,0,10,0,10,-10,G Major,4,6b2oQwSGFkzsMtQruIWm2p,GBAYE9200070
2,"Genesis","Grimes",166,3A,68,2023-01-04,04:15,75,"art pop","Visions",2012-03-12,61,8,7,23,0,20,-7,A#/B♭ Minor,4,0yljUudXzjVcGEoYmLB17X,CA21O1200002
3,"Nobody","Mitski",117,8B,72,2023-01-04,03:13,76,"","Be the Cowboy",2018-08-17,40,7,0,49,0,0,-5,C Major,4,2P5yIMu2DNeMXTyOANKS6k,USJ5G1815009
4,"Happiness is a butterfly","Lana Del Rey",70,10B,12,2023-01-04,04:32,75,"","Norman Fucking Rockwell!",2019-08-30,47,97,0,16,0,10,-11,D Major,4,3lG6OtGDsYAOALxEmubQQm,GBUM71903150
5,"I Can't Handle Change","Roar",186,7B,44,2023-01-04,03:18,3,"","I Can't Handle Change",2010-03-14,25,4,0,39,0,10,-8,F Major,3,0I1eFRytp4XRhLCjT6tZm7,USHM81020595
6,"Where's My Love","SYML",104,5A,36,2023-01-04,03:22,1,"","SYML",2019-05-03,61,85,2,37,0,10,-10,C Minor,4,2NeM9rfWo70KQej9GxeaoL,CAN111700009
7,"Queen Of Disaster","SirLofi",128,10A,79,2023-01-04,03:15,0,"","Queen Of Disaster",2022-08-09,66,13,0,90,0,50,-6,B Minor,4,50MF3Fnl2ukA1EHVzOCUYX,QZNWQ2215786
8,"Cry Baby","Melanie Martinez",95,4A,69,2023-01-04,03:59,69,"","Cry Baby (Deluxe Edition)",2015-08-14,69,26,0,48,0,10,-5,F Minor,4,052vSBPxqdmYRDlkSPiavc,USAT21501936
9,"Another Love","Tom Odell",123,9A,54,2023-01-04,04:04,88,"","Long Way Down (Deluxe)",2013-06-24,45,70,0,13,0,0,-9,E Minor,4,3JvKfv6T31zO0ini8iNItO,GBARL1300107
10,"the lakes","Taylor Swift",90,10B,26,2023-01-04,03:31,41,"","folklore: the escapism chapter",2020-08-21,51,85,0,29,0,0,-12,D Major,4,65YnIFKuwUCLIqMHAP8TAm,USUG12002851
11,"Liability","Lorde",76,3A,23,2023-01-04,02:51,70,"","Melodrama",2017-06-16,59,92,0,38,10,10,-11,A#/B♭ Minor,4,6Kkt27YmFyIFrcX3QXFi2o,NZUM71700064
12,"Paradise","Coldplay",140,7B,59,2023-01-04,04:38,86,"","Mylo Xyloto",2011-10-24,45,5,0,21,0,0,-7,F Major,4,6nek1Nin9q48AVZcWs9e9D,GBAYE1101143
13,"Born This Way","Lady Gaga",124,1B,83,2023-01-04,04:20,75,"art pop, pop","Born This Way (International Special Edition Version)",2011-05-23,59,0,0,49,10,30,-5,B Major,4,30XU4suKzCeoCK9YFzdufg,USUM71100638
14,"Fly Me To The Moon - 2008 Remastered","Frank Sinatra,Count Basie",120,9A,30,2023-01-04,02:27,68,"christmas, big band, adult standards, swing music, jazz, vocal jazz","Nothing But The Best (2008 Remastered)",2008-05-13,62,55,0,38,0,0,-12,E Minor,4,7FXj7Qg3YorUxdrzvrcY25,USRH10723029
15,"Runaway","AURORA",114,1B,28,2023-01-04,04:08,2,"norwegian pop, art pop","All My Demons Greeting Me as a Friend (Deluxe)",2014-00-00,46,63,0,13,0,10,-10,B Major,4,23rdcrD0Eky4vYn2TZidxJ,GBUM71500527
16,"Two Slow Dancers","Mitski",81,8B,11,2023-01-04,03:59,0,"","Be the Cowboy",2018-08-17,23,80,0,5,0,10,-13,C Major,4,18Zr5WWu7X9LVool3pJRum,USJ5G1815014
