#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Shirley","4s4ki",140,9B,84,2025-08-10,02:38,32,"hyperpop, j-rap","CODE GE4SS",2023-06-28,55,17,0,74,0,20,-5,G Major,4,5vgsReLHruzforPeG19bWP,JPVI02302105
2,"ホンメイ (feat. Nqsi)","Neo,Nqsi",132,4B,65,2025-08-11,02:35,43,"","ホンメイ (feat. Nqsi)",2022-12-24,68,20,29,57,0,10,-10,G#/A♭ Major,4,0gH6v8mSb6cs02zavDfyZI,TCJPU2206104
3,"歌舞伎町レイニー","the Raid.",173,8A,83,2025-08-11,03:54,41,"visual kei, j-rock","歌舞伎町レイニー",2019-02-18,41,5,0,82,0,20,-4,A Minor,4,1z3aVxHx9ksrv3PCAoGAQ1,TCJPI1962555
4,"ムラサキ","Jin Akanishi",126,10A,90,2025-08-11,03:12,0,"j-pop","OUR BEST - YOUR BEST",2020-04-24,63,1,0,50,0,0,-5,B Minor,4,1npE78F8N4TFWFf1aFxuEx,TCJPK2083290
5,"桜雨","SuG",92,8B,83,2025-08-11,05:21,18,"visual kei, j-rock, anime","MIXTAPE",2017-03-08,47,0,3,54,0,0,-5,C Major,4,7uesqimupG95iLRHGhBAKr,JPPC01600089
6,"ツナギアイ (feat. 柏)","Neo,柏",130,9B,69,2025-08-11,01:09,42,"","ツナギアイ (feat. 柏)",2023-09-30,53,28,30,62,0,10,-7,G Major,4,2747xgzGsoqqeqChn1pQ7r,TCJPX2347694
7,"風俗嬢のiPhone拾った feat. Gokou Kuyt","4s4ki,Gokou Kuyt,maeshima soshi",146,5B,80,2025-08-11,03:24,29,"hyperpop, j-rap, j-r&b","超怒猫仔/Hyper Angry Cat",2020-12-16,71,39,0,90,0,10,-5,D#/E♭ Major,4,1pUVPyw25ETIV15VzfedK5,JPVI02002507
8,"スノードロップ (feat. Angelize)","イトグルマ,Angelize",88,7B,78,2025-08-11,02:29,45,"hyperpop, ","スノードロップ (feat. Angelize)",2024-04-05,64,5,0,65,0,20,-6,F Major,4,0x6LlgkHmcIY2sh2AyoSXo,TCJPZ2492968
9,"冬がすぎたら","nyamura",148,1B,67,2025-08-11,02:17,45,"","冬がすぎたら",2023-12-03,75,47,84,57,0,0,-7,B Major,4,41FlyyGARdTGY34STLlYvP,TCJPY2314284
10,"Day×dream","z²",140,12B,53,2025-08-11,02:54,37,"hyperpop","Day×dream",2024-01-28,62,52,0,59,0,10,-10,E Major,4,5H9lVKSwDlkbSbSvJ0rF7y,TCJPZ2401121
11,"ifu","z²",95,8A,94,2025-08-11,02:21,43,"hyperpop","ifu",2024-11-09,47,75,27,78,0,20,-5,A Minor,4,1EJ1z5xB885GhUC4qFaCTf,TCJPC2449527
12,"お前の彼氏寝取ってやったの。","Яu-a",122,3A,71,2025-08-11,02:07,56,"","お前の彼氏寝取ってやったの。",2024-02-16,71,0,0,40,0,0,-9,A#/B♭ Minor,4,2lxRPuairVTSc7aKW2lyxo,JPWP02500264
13,"オモイは夜に溶けて (feat. Nqsi)","Neo,Nqsi",172,3B,78,2025-08-11,02:04,33,"","空のグラス",2025-05-19,53,79,23,89,0,10,-10,C♯/D♭ Major,4,150ylnp35a52AyVfZnzkPH,TCJPZ2489338
14,"Libra heart","imaizumiyui",120,2B,76,2025-08-11,03:45,51,"","Libra heart",2024-03-08,60,0,0,32,0,10,-6,F#/G♭ Major,4,06f1DKWeIThjvDPKmVrWmh,TCJPZ2457174
15,"しゅきぴ","=LOVE",173,10B,92,2025-08-11,03:54,52,"j-pop","青春 サブリミナル ",2020-11-25,58,10,0,68,0,0,-4,D Major,4,3mtyXG0jcdNYdc1Y2SUpJn,JPU902002786
16,"1/3の純情な感情","Acid Black Cherry",152,12A,97,2025-08-13,03:47,49,"visual kei, j-rock, j-pop","Recreation 3",2013-03-06,46,0,0,50,0,10,-3,C♯/D♭ Minor,4,3c5eS2e3Cta5oMRFzHSx5P,JPB601056301
17,"スキスキ星人","すとぷり",185,11B,92,2025-08-13,03:56,42,"vocaloid","Strawberry Prince",2020-11-11,44,1,0,50,0,20,-3,A Major,4,217opy2ZZMNRyJauNHk3rH,JPPO02001672
18,"加工してなにが悪い！","モノクローン",96,1B,89,2025-08-13,04:01,36,"","加工してなにが悪い！",2021-03-21,33,16,0,50,0,10,-4,B Major,4,2mvxNz9bFyOjFekda1mqqW,TCJPO2105982
19,"強く生きろ笑","z²",170,8B,56,2025-08-13,03:26,35,"hyperpop","強く生きろ笑",2024-02-10,60,14,28,33,0,10,-11,C Major,4,4hkzlIVpB9mQOfOkV0zkKk,TCJPZ2419473
20,"君がいない、あの日から… - ～2025 ver.～","Acid Black Cherry",100,12A,88,2025-08-14,04:54,37,"visual kei, j-rock, j-pop","L－エル－",2025-01-27,46,0,0,34,0,0,-3,C♯/D♭ Minor,4,293awsisnHL8Y3r8WLPztR,JPB602500255
21,"丸の内ミゼラブル","Royz",144,3B,95,2025-08-19,04:27,46,"visual kei, j-rock","RAIZIN",2023-03-15,52,2,0,74,0,30,-3,C♯/D♭ Major,4,7MQVaVK6XbX0UNR7ju9VBH,JPT672300003
22,"八月の夜","SILENT SIREN",188,3B,93,2025-08-25,04:19,57,"j-rock, j-pop","S",2016-03-02,46,0,0,76,0,30,-4,C♯/D♭ Major,4,0nwBcHgGSsIYSUmFDywTIH,JPN901501520
23,"スローモーニング","SILENT SIREN",95,12A,85,2025-08-30,03:56,50,"j-rock, j-pop","S",2016-03-02,57,0,0,78,0,10,-3,C♯/D♭ Minor,4,1YLp8V37gEGsOXcfnXvTqj,JPN901600170
24,"青春 サブリミナル ","=LOVE",162,11B,95,2025-09-01,05:09,53,"j-pop","青春 サブリミナル ",2020-11-25,43,31,0,69,0,20,-3,A Major,4,2lpHfe1D2HQIM2C4ASG7h9,JPU902002785
25,"キングスレイヤー - Self Cover Ver.","マイキP",109,8B,82,2025-09-01,03:01,42,"vocaloid","キングスレイヤー (Self Cover Ver.)",2023-10-08,64,0,0,71,10,40,-3,C Major,4,4GkYBONW46xmnNQOHouuHh,TCJPX2369235
26,"紫苑","Royz",172,3B,96,2025-09-01,04:31,37,"visual kei, j-rock","VENOM",2024-07-10,40,1,0,48,10,10,-3,C♯/D♭ Major,4,6b6ARZGS22yFKLRGhWxW0y,JPT672400027
27,"One Love","ARASHI",103,6B,94,2025-09-02,04:45,55,"j-pop","5×20 All the BEST!! 1999-2019 (Special Edition)",2021-07-16,55,19,0,69,0,40,-3,A#/B♭ Major,4,2Xhs7Ro74wZ8t3EB0tOkvF,JPQ400800340
