#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Sagittarius（射手座）","樊宇镈(Coulson Fan)",95,3B,69,-,03:17,47,"chinese r&b","Sagittarius（射手座）",2026-03-28,71,19,0,84,0,30,-6,C♯/D♭ Major,4,0rnRdigAqV90Yqljl4OzUc,QZTAY2668885
2,"Autumn Night","krnb",72,5B,67,-,03:15,45,"","in Autumn, You",2025-09-28,57,6,0,55,0,10,-4,D#/E♭ Major,4,3yEpbDpsrWJaRX2KJSM7HF,KSA002502025
3,"365","Kelly is Green",92,4B,44,-,03:22,55,"","Colorfully You",2025-10-02,75,81,0,70,0,20,-11,G#/A♭ Major,4,2EncKlD4EzcsCCY4qMV1y3,QT3F62578990
4,"Gorilla Grip","Greg Shilling",111,4A,65,-,03:05,63,"","Gorilla Grip",2025-03-28,78,21,1,83,0,10,-8,F Minor,4,72NSAIXc4MlxKdWCoqOe4S,QZHN42554552
5,"I Love This Song","Jessie Hill,ZUHAIR",132,9B,32,-,03:21,41,"nz reggae, ","I Love This Song",2025-11-28,68,77,0,35,10,10,-12,G Major,4,1AK6SU1MKmXP7ItyUdHGfd,AUG0H2501510
6,"INTJ","樊宇镈(Coulson Fan)",87,6B,59,-,03:24,24,"chinese r&b","INTJ",2025-08-07,62,23,0,56,0,10,-5,A#/B♭ Major,4,18GNWiuucmn4s7ncJMS0Mj,QZWFU2530408
7,"DANCE THIS NIGHT AWAY","tonybear",105,8B,49,-,02:42,32,"","DANCE THIS NIGHT AWAY",2025-05-23,74,12,0,71,0,0,-7,C Major,3,2ukeP9Alz5KKO2qMWMTjGu,QZNWQ2542444
8,"DUMMY","donny daydream",89,1B,43,-,03:15,55,"","DUMMY",2025-02-14,68,51,0,51,0,10,-8,B Major,4,7HrWXshLomWHVYD1tC21S1,QZDA62589267
9,"!?","Kelly is Green",96,6B,43,-,02:51,58,"","Mixed Feelings",2025-11-04,79,43,0,92,0,10,-8,A#/B♭ Major,4,1jSS64ikMnFVKQxBjql0rD,QT6EA2524964
10,"wrong way, right","Paul Bill Jr.",96,7A,46,-,03:55,46,"","save a little for me",2025-10-17,73,61,6,87,0,10,-12,D Minor,4,03nPFsGFUGQqNLaSOqZZWp,QZWV32588642
11,"Dear New Year","樊宇镈(Coulson Fan)",95,10B,71,-,03:10,36,"chinese r&b","Dear New Year",2025-12-30,74,57,0,42,0,20,-6,D Major,4,34aIgeUYglurC9qn6UuBXr,QT6G92575166
12,"I Hope You Miss Me Too","Adrian Milanio",91,12B,27,-,03:33,42,"","Me & You (Loverboy Edition)",2026-03-27,57,87,0,28,0,10,-10,E Major,3,42toA7dbJANWnOVDxyGvgi,QT62W2508394
13,"meet you again","tonybear",150,9B,43,-,03:38,35,"","starstruck",2025-10-24,45,33,0,25,0,0,-8,G Major,4,0eeAKSulwSEus5fWF7TmL0,QT3F72518671
14,"it's you","Lemon City,colin",120,1B,42,-,03:02,38,"","Pigments",2026-02-24,76,48,0,55,0,10,-8,B Major,4,3BsOeCkv85P6bHDaPrieXZ,KRF632500335
15,"after you don't love me anymore","Patrick Hizon,Maria Aragon",60,11B,36,-,03:34,46,"christmas","what a feeling.",2024-10-11,35,88,1,25,0,20,-11,A Major,4,4UoZ5j7DzQPaqU5HFt6Az8,QZTBE2427450
16,"Gemini","樊宇镈(Coulson Fan)",95,2B,61,-,02:58,29,"chinese r&b","Gemini",2026-01-30,70,39,0,84,0,10,-6,F#/G♭ Major,4,077d3TNyk6VIlA9t1HSooa,QZHN72621768
17,"You Arrived","ZUHAIR,Labit",84,7B,32,-,03:37,39,"","You Arrived",2026-02-11,63,69,0,48,0,10,-10,F Major,4,07ttGJgiMoA0LpEnH6VOwV,QZHN62641801
18,"Why Do You","16",85,9B,47,-,02:29,45,"","Why Do You",2025-05-21,74,17,0,62,0,30,-6,G Major,4,0jZAXYV64prJIk004FifI1,KRMIM2528831
19,"FALLING","tonybear",105,1B,67,-,02:53,39,"","FALLING",2026-03-20,66,16,0,33,0,10,-7,B Major,4,5rBhtq51uVIut3eHR1xToQ,QZHN92612677
20,"Heavenmade","JHIN",170,1B,69,-,03:29,58,"","Heavenmade",2024-07-18,56,25,0,42,0,10,-6,B Major,4,7K6XQTW4sbLyp0GfJ0cA2m,TLVEM2429140
21,"Aquarius","樊宇镈(Coulson Fan)",100,4B,76,-,03:33,34,"chinese r&b","Aquarius",2026-02-20,67,9,0,73,0,0,-4,G#/A♭ Major,4,5K84X5okfkb4MlMUz2frdV,QZMEM2617296
22,"beautiful disaster","lullaboy",126,3B,25,-,03:19,29,"","hotels & heartbreaks",2026-02-26,51,86,0,48,0,20,-13,C♯/D♭ Major,4,5DcR33G0l32zIMzrziNnea,DGA062518418
23,"different","leejean",97,3A,60,-,02:57,44,"","ground zero ; chapter i",2023-03-09,77,60,0,27,0,10,-6,A#/B♭ Minor,3,4cKs4ddl7PJtKAKZ5szNdF,QZAY42300617
24,"Love you even more","16",91,5B,44,-,02:18,43,"","Not Anymore",2026-03-12,56,81,0,28,0,10,-5,D#/E♭ Major,4,1NqTOzKSIQDJxbJJswPYq5,KRMIM2618679
25,"starstruck","tonybear",87,9B,53,-,03:06,36,"","starstruck",2025-10-24,49,48,0,44,0,30,-8,G Major,4,13jK2cu5Fja5Nr7TRMVPRs,QT3F72518667
26,"ENFP (男声版）","樊宇镈(Coulson Fan)",80,11B,45,-,03:25,18,"chinese r&b","ENFP (男声版）",2025-06-13,70,74,0,32,0,10,-5,A Major,4,3ZuH16MxsDjdusgoiY3eDI,QZTB42550284
27,"Over & Over - Lovergirl Remix","Adrian Milanio,LAYYI",90,4B,49,-,03:02,42,"","Me & You (Loverboy Edition)",2026-03-27,66,59,0,27,0,10,-8,G#/A♭ Major,4,1gH8mDrgl3lB5uDHIXcf6K,QT4K42564120
28,"Dream","mikah",162,8B,63,-,02:54,36,"chinese r&b","Homesick",2025-11-18,67,58,0,34,0,10,-7,C Major,4,1OpgKay3Z8cmxVsi50OFqX,JPB602503590
29,"SUMMER SLOW LANE","Vincentz,Plastic Ocean",124,1B,56,-,03:09,38,"chinese r&b, j-r&b","SUMMER TAPE",2024-08-07,77,75,0,80,0,10,-7,B Major,4,7KJHC91xSOBe8EshUNDwWM,QZTB32489388
30,"Centerpiece","JHIN",93,10B,42,-,02:44,51,"","Centerpiece",2025-04-04,68,73,0,18,0,0,-10,D Major,3,5MlcCAtScThdqUBx3sa3Xe,QZPEW2594970
31,"Libra（天秤座）","樊宇镈(Coulson Fan)",92,1B,74,-,02:38,33,"chinese r&b","Libra（天秤座）",2026-03-08,70,22,0,67,0,30,-4,B Major,4,0Knh6CCkJWAVantiIccmbM,QZNWV2625290
32,"till i die","tonybear",188,1B,50,-,03:44,41,"","starstruck",2025-10-24,28,50,0,25,0,10,-7,B Major,3,0A4O3X4ZOwC8qJNHddTFDS,QT3F72518668
33,"Lovey Dovey","Michael Carreon",86,9B,42,-,03:07,35,"","Lovey Dovey",2025-11-07,54,5,0,24,0,0,-11,G Major,4,7zqcy2HekcKIE83OhaB6xw,QT3FB2540744
34,"PARALLEL","Labit",97,7B,69,-,02:45,30,"","SOL",2025-10-17,66,4,0,76,0,30,-5,F Major,4,7rSxqkh2eajW5VZpraqWFB,QZWFE2576907
35,"Too Cute2","Kelly is Green",96,11B,47,-,02:59,54,"","Mixed Feelings",2025-11-04,70,81,2,75,0,10,-11,A Major,4,0hdq1GGAnjVgeXa3KMC76B,QT6EA2524967
36,"heaven","lullaboy",134,10B,33,-,03:15,33,"","hotels & heartbreaks",2026-02-26,45,87,0,46,0,0,-10,D Major,4,5c1SHYGtP2WxIHflNSzWo0,AUG0H2601655
37,"Love You More","Lemon City",92,12B,59,-,03:02,34,"","Love is",2023-06-19,62,23,0,34,0,10,-5,E Major,4,7ovrGYQvGKepjj9rQybPdy,KRE732200007
38,"Roses","tonybear",87,12B,77,-,02:51,38,"","Roses",2025-02-07,51,70,0,32,0,20,-6,E Major,4,5LIs50n4eAAgHZmpyx97z9,QZFYZ2563191
39,"Almost","oftn,Sonny Zero",105,11B,58,-,03:27,42,"","Almost",2025-08-06,65,51,0,24,0,30,-6,A Major,4,4r8zNgk0Imkp7RpzXQotxL,KSA002501601
40,"Real tight, Real slow","16",148,10B,68,-,02:46,44,"","Not Anymore",2026-03-12,50,46,0,49,0,10,-6,D Major,4,21gkr60F7psOt3pNZGsGUg,KRMIM2571631
41,"Someday","Kelly is Green",92,11B,53,-,02:47,37,"","Colorfully You",2025-10-02,76,23,0,56,0,10,-8,A Major,4,444QheC5Oh7jdaTRvJceqz,QT3F62578994
42,"is it 2 real?","Vincentz",100,11A,59,-,03:34,30,"","is it 2 real?",2025-05-23,72,60,0,22,0,10,-6,F#/G♭ Minor,4,5EGCjvxC8RNn43T3vAZVwD,QZRP52558698
43,"Hold You","Dru Chen",77,7B,67,-,02:35,37,"","Slow Life",2021-11-05,58,22,0,60,0,10,-7,F Major,4,3EokVcGbPOXrNtKUiNCai1,FRX282144460
44,"Stay","krnb",172,11B,48,-,02:53,37,"","Spring Blossom",2026-01-26,54,66,0,49,0,10,-8,A Major,4,1gjF56rGrCdHJY5iUI4yNk,KSA002650649
45,"Tension","oftn,Sonny Zero",158,3B,77,-,03:47,33,"","Tension",2025-10-07,56,45,0,77,0,30,-6,C♯/D♭ Major,4,4xgGkrU1SqCkgtiNVsaq22,KSA002502138
46,"What If I Told You","Lemon City",95,1B,34,-,03:04,41,"","Our Season",2024-05-21,80,74,0,63,0,30,-7,B Major,4,6LBY8HDoDB8TST8vNP8P5t,KRE732300319
47,"Me & You - Lovergirl Remix","Adrian Milanio,GRACE.",128,7B,46,-,02:35,42,"indonesian r&b","Me & You (Loverboy Edition)",2026-03-27,58,4,0,34,0,10,-9,F Major,3,24Vyy8AVqg3v5WFqdEV4zP,QZVEM2603361
48,"Tangled Up (Reimagined)","Jesse Barrera,Nieman,Melissa Polinar",86,4B,25,-,04:01,40,"pinoy indie, ","What We Found",2021-02-19,26,79,0,22,0,10,-14,G#/A♭ Major,3,7oXq0IlzkPvgaISpOziw64,QZFZ52108531
49,"Situationship","樊宇镈(Coulson Fan)",170,12B,57,-,02:39,17,"chinese r&b","Situationship",2025-02-01,65,57,0,68,10,20,-7,E Major,4,6AbDczMT4hqlEaqWPNxZSm,QZTBA2477631
50,"hearts - sped up","Jack Zhang",109,12A,34,-,03:12,32,"","hearts (alternatives)",2025-07-26,61,85,0,56,0,30,-13,C♯/D♭ Minor,3,5e3nYEET4Oa7GeqlMfxFUr,QZWFM2592906
