#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Little Dark Age","MGMT",98,2B,71,2023-04-15,04:59,80,"indie","Little Dark Age",2018-02-09,71,1,0,62,0,10,-6,F#/G♭ Major,4,2Y0iGXY6m6immVb2ktbseM,USSM11707035
2,"After Dark","Mr.Kitty",140,4B,60,2023-04-15,04:19,78,"witch house, darkwave","Time",2014-10-06,59,7,27,4,0,0,-10,G#/A♭ Major,4,2LKOHdMsL0K9KwcPRlJK2v,USY251660155
3,"Skyfall","Adele",76,5A,55,2023-04-15,04:46,86,"soft pop","Skyfall",2012-10-04,35,42,0,8,0,10,-7,C Minor,4,6VObnIkLVruX4UVyxWhlqm,GBBKS1200164
4,"Rhinestone Eyes","Gorillaz",93,1A,70,2023-04-15,03:20,78,"","Plastic Beach",2010-03-05,68,9,0,85,0,0,-6,G#/A♭ Minor,4,1foMv2HQwfQ2vntFf9HFeG,GBAYE1000017
5,"Starboy","The Weeknd,Daft Punk",186,9B,59,2023-04-15,03:50,91,"french house, electronic, electro","Starboy",2016-11-25,68,14,0,49,20,10,-7,G Major,4,7MXVkk9YMctZqd1Srtv4MB,USUG11600976
6,"Shinunoga E-Wa","Fujii Kaze",158,11A,76,2023-04-15,03:05,78,"j-pop","HELP EVER HURT NEVER",2020-05-20,60,17,0,52,0,10,-6,F#/G♭ Minor,4,0o9zmvc5f3EFApU52PPIyW,JPPO02000610
7,"Судно (Борис Рыжий)","Molchat Doma",160,3B,75,2023-04-15,02:21,74,"post-punk, darkwave, cold wave, gothic rock","Этажи",2018-09-07,48,70,86,47,0,10,-4,C♯/D♭ Major,4,1SHB1hp6267UK9bJQUxYvO,AEA0D1846146
8,"The Perfect Girl","Mareux",129,1A,89,2023-04-15,03:14,77,"darkwave, cold wave","The Perfect Girl",2021-12-08,49,0,82,26,0,10,-6,G#/A♭ Minor,4,5RBOcBpJXaNnHCGViJmYhh,QZF8N1986577
9,"Freaks","Surf Curse",180,11B,94,2023-04-15,02:27,87,"indie","Freaks",2021-05-15,35,0,63,41,0,0,-10,A Major,4,7EkWXAI1wn8Ii883ecd9xr,USAT22102269
10,"Fahrradsattel","Pisse",120,10B,94,2023-04-15,01:49,0,"egg punk","Kohlrübenwinter",2016-09-19,68,26,74,66,0,70,-8,D Major,4,3svmi1v7HMlyYb7Pnossz6,GX38U2169400
11,"Michelle","Sir Chloe",116,12B,44,2023-04-15,03:34,68,"","Party Favors",2020-10-23,37,8,0,11,0,10,-5,E Major,3,6XrTwqp0vMc2Z3m4ttoyRe,QZDA41967250
12,"Heathens","Twenty One Pilots",90,9A,40,2023-04-15,03:15,84,"","Heathens",2016-06-16,73,8,0,55,0,10,-9,E Minor,4,6i0V12jOa3mr6uu4WYhUBr,USAT21601930
13,"Mount Everest","Labrinth",88,5A,43,2023-04-15,02:37,80,"","Imagination & the Misfit Kid",2019-11-22,49,24,7,44,20,0,-7,C Minor,4,1ZdhOMWyFR8Iv9eylMGYg2,GBHMU1800032
14,"Good Looking","Suki Waterhouse",150,12B,55,2023-04-15,03:34,16,"","Good Looking",2022-08-18,37,8,0,26,0,10,-9,E Major,3,0j3mqDTK4Z6lvrLzFCUUz6,QZ9Y21712533
15,"Goth","Sidewalks and Skeletons",115,3B,70,2023-04-15,03:27,77,"witch house, darkwave","White Light",2015-03-05,56,0,59,17,0,10,-9,C♯/D♭ Major,4,0uMZbmAAgOhdMrv25iPEH6,USCGH1585915
16,"Cigarettes out the Window","TV Girl",114,8B,66,2023-04-15,03:18,86,"","Who Really Cares",2016-02-25,63,12,0,59,0,10,-6,C Major,4,6QeYSvYqYUsfBzsApbjDHO,USCGH1682129
17,"Dark Beach","Pastel Ghost",130,9B,92,2023-04-15,03:42,3,"witch house, darkwave","Abyss",2015-03-10,53,28,59,15,0,0,-7,G Major,4,5QmdK8QFbY8TLVKPuJzexD,QM6XS1704798
18,"4 Morant","Grooo",170,1B,78,2023-04-15,02:52,4,"","4 Morant",2022-11-11,35,11,6,47,30,30,-3,B Major,4,37LpPWMdn8o2qEOwOdVwGB,QZTAY2258574
19,"All Alone","Freddie Dredd",160,3B,88,2023-04-15,02:54,61,"phonk","All Alone",2019-05-22,69,4,50,81,20,10,-4,C♯/D♭ Major,4,5V5BHmvpylV0nSc2Yu2Mu4,QZFYW1912395
20,"Sonne","Rammstein",75,9A,92,2023-04-15,04:32,80,"industrial metal, metal, industrial rock, industrial","Mutter",2001-04-02,51,1,0,31,0,40,-5,E Minor,4,3gVhsZtseYtY1fMuyYq06F,DEN120003766
21,"HDMI","BONES",125,9B,29,2023-04-15,02:19,71,"cloud rap, emo rap, horrorcore, trap metal, underground hip hop","Rotten",2014-12-02,71,69,81,12,0,30,-16,G Major,4,7I4ibsZgwuf46g0xHuTC8s,CA5KR1567859
22,"SPINBACK","洛尔",130,10B,49,2023-04-15,01:22,0,"","SPINBACK",1975-06-16,74,7,3,21,20,60,-13,D Major,4,7r4xKog44gHXG4DfDPxiFX,QZQGC2100821
23,"Flawless × Never Heard Of Him, Am I Supposed To Care?","Babyvoiice krazyy16",118,3A,83,2023-04-15,02:55,0,"","Rock Guitar Shit",2022-10-31,39,1,0,32,0,30,-5,A#/B♭ Minor,4,25eu0utY5Q42r4YWZO5Mk3,QZDFP2029826
24,"help_urself - slowed","Ezekiel",151,10B,77,2023-04-15,02:31,51,"hyperpop, breakcore","help_urself (Alternates)",2021-09-10,30,0,0,14,0,10,-7,D Major,4,6ivAviar2zmiKrQ397I4rG,USWB12103267
25,"NEW MAGIC WAND","Tyler, The Creator",140,4A,73,2023-04-16,03:15,78,"","IGOR",2019-05-17,62,10,0,46,10,60,-5,F Minor,4,0fv2KH6hac06J86hBUTcSf,USQX91901115
26,"Daisy","Ashnikko",122,4B,66,2023-04-16,02:26,63,"","Daisy",2020-07-09,83,24,0,77,10,30,-6,G#/A♭ Major,4,0AUvWawuP0ibk4SQ3sIZjk,GBAYE2000596
27,"Romantic Lover","Eyedress",184,8A,45,2023-04-16,01:26,39,"","Let's Skip to the Wedding",2020-08-07,66,70,92,54,0,20,-9,A Minor,4,7s5VQqrjBtrBgZL4pEa46S,GBMYF2000011
28,"You Get Me So High","The Neighbourhood",88,6A,88,2023-04-16,02:33,82,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,55,19,8,39,0,10,-6,G Minor,4,7zwn1eykZtZ5LODrf7c0tS,USSM11707131
29,"MULLET DADDY","XXKATUSJINSUX",137,3B,34,2023-04-16,01:37,0,"","MULLET DADDY",2021-10-02,42,1,20,14,0,30,-17,C♯/D♭ Major,4,2wEZgjai115MLbaOkISipm,QZKUS2149423
30,"Bad Girls","M.I.A.",143,3B,91,2023-04-16,03:47,75,"","Matangi",2013-01-01,64,0,0,34,0,10,-3,C♯/D♭ Major,4,6nzXkCBOhb2mxctNihOqbb,USUG11200143
31,"miss the rage","Mario Judah",104,4B,66,2023-04-16,02:55,12,"","miss the rage",2022-04-17,28,0,25,14,0,10,-8,G#/A♭ Major,5,0kDgBQBXRO8JR0Mp3x9sXO,QZHN62212937
32,"Swimming Pool","Marie Madeleine",120,11A,90,2023-04-16,05:25,0,"","Swimming Pool",2011-09-19,71,1,90,89,0,0,-5,F#/G♭ Minor,4,3BMqVk2NJbH4fxf84e8kDC,FR3PA1100090
33,"Transgender","Crystal Castles",138,9B,91,2023-04-16,03:04,58,"witch house, electroclash, new rave, alternative dance","(III)",2012-01-01,52,0,85,4,0,20,-8,G Major,3,26ZzSLUJMmYp5u1hDELEWH,GBUM71206689
34,"Backstabber","Kesha",160,9B,94,2023-04-16,03:06,72,"","Animal (Expanded Edition)",2010-01-01,60,7,0,83,10,30,-2,G Major,4,4GRFzKI7jTZ3kbMfouc7bn,USRC10900741
35,"505","Arctic Monkeys",140,8B,87,2023-04-16,04:13,88,"indie, garage rock","Favourite Worst Nightmare",2007-04-22,53,0,0,25,0,0,-6,C Major,4,0BxE4FqsDD1Ot4YuBXwAPp,GBCEL0700074
36,"Bang Bang Bang Bang - Remastered 2021","Sohodolls",94,3B,57,2023-04-16,02:48,64,"","Bang Bang Bang Bang 2021",2021-02-19,72,21,0,41,0,10,-6,C♯/D♭ Major,4,4Dku5HwdwweHyc9LrOL4AB,GBHGV2100022
37,"Below the Surface","Griffinilla",105,5A,40,2023-04-16,02:14,66,"","Below the Surface",2016-10-13,71,33,0,48,0,0,-9,C Minor,4,5f1j3h5DBkLpGfb90QGFvR,UST8K1667475
