#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Maya & John","Josh Augustin",114,11A,47,2024-03-15,02:36,37,"","Maya & John",2018-12-27,62,63,90,48,0,10,-12,F#/G♭ Minor,4,2uWK8L00nAwc4PFzVaedmF,QZ4JJ1833787
2,"All I Need","Radiohead",88,9A,48,2025-04-29,03:48,83,"art rock, alternative rock","In Rainbows",2007-12-28,67,53,43,10,0,10,-9,E Minor,4,5Qv2Nby1xTr9pQyjkrc94J,GBSTK0700005
3,"Sodus","Cemeteries",123,11B,55,2024-03-20,06:38,59,"dream pop","Barrow",2015-07-27,28,66,90,9,0,10,-11,A Major,4,1cyRoWGazsa8Vr5qlDfvPP,TCACG1598319
4,"Don't Go","Hannah Georgas",128,10A,37,2024-05-06,03:56,27,"","For Evelyn",2016-06-24,59,1,3,8,0,0,-11,B Minor,4,5uMH6VExgJreEJ1iUx16mt,CADE71600028
5,"Eyes on Fire","Blue Foundation",145,2A,38,2024-04-23,05:02,68,"","Life Of A Ghost",2007-09-24,54,67,0,37,0,10,-10,D#/E♭ Minor,4,3XHrTm6WE2BOHafLwTT3GR,DKABA0700900
6,"Master of None","Beach House",86,7B,34,2025-04-29,03:19,79,"dream pop","Beach House",2006-10-03,49,67,53,25,0,0,-15,F Major,4,3stWWPN41byqp8loPdy92u,US22N0503504
7,"Twilight","bôa",187,10A,83,2025-03-08,03:48,73,"","Twilight",2001-03-21,39,16,0,38,10,10,-8,B Minor,4,6d67Xv8ms2noA8wWFLiPDN,USCGJ0659338
8,"I Wanna Be Adored - Remastered 2009","The Stone Roses",113,9A,86,2025-10-02,04:52,72,"madchester, britpop, jangle pop","The Stone Roses",1989-05-02,49,1,21,59,0,20,-9,E Minor,4,758wEKVqfYopJIHYWdLVd4,GBAHJ0900001
9,"Rivière","Deftones",177,9A,31,2024-07-22,03:45,59,"nu metal, alternative metal, rap metal, rock, shoegaze","Saturday Night Wrist",2006-10-25,23,2,32,4,0,10,-9,E Minor,3,5PE95gvBBIkzjc8Gs6v8M2,USMV20600292
10,"After Dark","Mr.Kitty",140,4B,60,2024-03-20,04:19,78,"witch house, darkwave","Time",2014-10-06,59,7,27,4,0,0,-10,G#/A♭ Major,4,2LKOHdMsL0K9KwcPRlJK2v,USY251660155
11,"Flash","Cigarettes After Sex",74,5A,37,2024-03-15,04:34,0,"dream pop","Cigarettes After Sex",2017-06-09,56,35,82,14,0,10,-10,C Minor,4,6VJYENs5BugMc1dCVepivD,USBQU1700035
12,"Shallows","Daughter",141,1B,37,2024-03-15,06:53,0,"","If You Leave",2013-01-01,31,89,68,8,0,10,-14,B Major,4,2b9B1QVb9obQx1zqIqmBxn,USYAH1300036
13,"Fade Into You","Mazzy Star",157,11B,33,2024-03-15,04:55,87,"dream pop, shoegaze, slowcore","So Tonight That I Might See",1993-10-05,42,25,0,18,0,0,-14,A Major,3,1LzNfuep1bnAUR9skqdHCK,USCA29300105
14,"Wicked Game","Chris Isaak",112,11B,30,2024-09-22,04:49,86,"","Heart Shaped World",1989-06-13,66,68,1,36,0,0,-18,A Major,4,7w5AOd6HrDIHewHfpABEss,USRE19900989
15,"State Lines","Novo Amor",137,11B,31,2024-03-15,03:28,75,"ambient folk","Birthplace",2018-10-19,51,96,23,15,0,10,-11,A Major,3,7CoMBpPTwQi2wPT0U0Nr9b,GB45A1800990
16,"The Beach","The Neighbourhood",136,7A,64,2024-03-15,04:15,78,"","Wiped Out!",2015-10-30,25,13,0,11,0,0,-7,D Minor,4,2u0CelO5c81XS7z3dGpHbS,USSM11506746
17,"Gloom","Slow Crush",142,11A,36,2024-04-23,03:04,12,"shoegaze, dream pop, slowcore","Hush",2021-10-22,24,85,84,13,0,30,-13,F#/G♭ Minor,4,1NjvrAjCti4XO0KWtqfkb6,GX34M2100021
18,"Cry","Cigarettes After Sex",143,9B,40,2024-03-15,04:16,61,"dream pop","Cry",2019-10-25,41,76,65,17,0,10,-10,G Major,4,3p4hRhMcb6ch8OLtATMaLw,USBQU1900121
19,"toxic city","Lil Peep",120,10A,62,2024-03-15,02:56,0,"emo rap, cloud rap","feelz",2022-05-20,63,1,0,28,0,0,-8,B Minor,4,4mSF6EomUQf23cBTnCIyvG,UKELY2100074
20,"Softcore","The Neighbourhood",94,8A,57,2024-03-15,03:26,87,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,57,5,0,37,0,20,-6,A Minor,4,2K7xn816oNHJZ0aVqdQsha,USSM11800523
21,"Deathblow","Deftones",128,1A,69,2024-07-22,05:28,55,"nu metal, alternative metal, rap metal, rock, shoegaze","Deftones",2003-00-00,56,0,54,38,0,10,-6,G#/A♭ Minor,4,09QuitJuAP87RoBSpiCXPs,USMV20300049
