#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"I Love My Boyfriend","Princess Chelsea",76,6A,51,2026-04-17,04:06,65,"baroque pop","The Loneliest Girl",2018-09-07,61,35,0,24,0,10,-8,G Minor,4,6Sb49DdwbBrVEEtG8OGpGT,NZLC01800014
2,"nuts","Lil Peep,rainy bear",62,10B,74,2026-04-17,01:25,89,"emo rap, cloud rap, ","LIVE FOREVER",2015-12-02,51,1,0,15,0,10,-7,D Major,4,4k3xDpAdBuM17mNNHhOZkK,UKELY2100069
3,"It Almost Worked","TV Girl",141,11B,89,2026-04-17,02:32,80,"","The Night in Question: French Exit Outtakes",2020-05-01,67,30,35,68,0,0,-4,A Major,4,4NUhcsz9E1LrBe8nXLZqzp,USDY42073308
4,"Lie Use Die","M()RE",130,8B,64,2026-04-17,03:08,0,"witch house","Five Years",2019-03-15,81,15,65,93,20,30,-7,C Major,4,23D6ljvZlVDsklcub2t0dW,QM4TX1948121
5,"Swimming Pool","Marie Madeleine",120,11A,90,2026-04-17,05:25,0,"","Swimming Pool",2011-09-19,71,1,90,89,0,0,-5,F#/G♭ Minor,4,0LB3XEhlEemMDjmEQwRJ3c,FR3PA1100090
6,"Sadeness","Enigma",96,9B,64,2026-04-17,04:15,67,"new age, gregorian chant","Love Sensuality Devotion: The Greatest Hits",2001-01-01,59,9,5,49,0,0,-10,G Major,4,57h06SZNL6LJ3YKZ1UGCeu,DEG120102010
7,"People I Don't Like","UPSAHL",90,10A,57,2026-04-17,02:22,63,"","People I Don't Like",2020-07-17,75,27,0,55,30,30,-7,B Minor,4,5srKMwXoeyrRnyTnNbpgIW,USQX92003333
8,"No More Tears","Ozzy Osbourne",103,2B,75,2026-04-17,07:24,80,"metal, glam metal, heavy metal, hard rock","No More Tears (Expanded Edition)",1991-09-17,35,0,0,32,0,60,-7,F#/G♭ Major,4,7w6PJe5KBPyvuRYxFkPssC,USSM19100025
9,"Problème d'émotion","Igorrr",76,1A,49,2026-04-17,04:38,38,"breakcore, avant-garde","Savage Sinusoid",2017-06-16,21,15,79,9,0,0,-8,G#/A♭ Minor,3,6fcCbjJDY2nJBXZccXGMi5,USMBR1712376
10,"Feeling Good","Michael Bublé",115,3B,55,2026-04-17,03:57,73,"christmas","It's Time",2005-02-08,54,53,0,48,0,10,-7,C♯/D♭ Major,3,1AM8QdDFZMq6SrrqUnuQ9P,USRE10401889
11,"Softcore","The Neighbourhood",94,8A,57,2026-04-18,03:26,87,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,57,5,0,37,0,20,-6,A Minor,4,2K7xn816oNHJZ0aVqdQsha,USSM11800523
12,"bad idea!","girl in red",162,3B,81,2026-04-18,03:39,74,"bedroom pop","bad idea!",2019-09-03,51,3,5,42,0,20,-6,C♯/D♭ Major,4,57j65yC2HggQfmYNc6rdOK,GBKPL1963282
13,"It Fit When I Was a Kid","vamp,void angel",120,4B,30,2026-04-18,02:19,0,"funkot, ","It Fit When I was A Kid",2022-10-20,74,5,0,57,0,10,-11,G#/A♭ Major,4,3xaWcoyyjO35lrjCgYtBpx,AEA2W2478083
14,"Club Bizarre","U96",161,9A,74,2026-04-18,05:00,73,"eurodance, happy hardcore","Club Bizarre",1995-00-00,71,7,9,55,0,30,-10,E Minor,4,4fHug3zCanK33sdvticISi,DED579404660
15,"FEEL","Beneld,BURY",90,12B,45,2026-04-18,03:24,67,"dark r&b","FEEL",2024-05-24,42,61,15,6,0,20,-11,E Major,4,6F12MoUtqXHy8Pdy110YeS,UKZGC2404446
16,"My Way Of Life","Frank Sinatra",89,3A,33,2026-04-18,03:07,67,"christmas, big band, adult standards, swing music, jazz, vocal jazz","Cycles",1968-11,32,54,0,70,0,60,-14,A#/B♭ Minor,4,0Sc8AsDTBeZFWg8K9tMARE,USRH10801027
17,"White Mustang","Lana Del Rey",115,11A,46,2026-04-18,02:44,78,"","Lust For Life",2017-07-21,66,46,0,22,0,10,-9,F#/G♭ Minor,4,6eygbzyL6hY8jFQTARDuo9,GBUM71702622
18,"Your Love","She Wants Revenge",112,3B,64,2026-04-18,03:35,70,"darkwave, gothic rock","Up and Down",2009-09-22,71,0,12,53,0,10,-3,C♯/D♭ Major,4,3gmcDVzsWcnLJyxpwOkMJq,USI4R0911560
19,"aloneagain","NIVEK FFORHS",132,8B,51,2026-04-18,04:25,61,"","aloneagain",2025-06-20,73,1,93,67,0,10,-8,C Major,4,32TgI3jE0aC5ReqF65TllE,CA5KR2536162
20,"Клетка","Molchat Doma",130,10B,75,2026-04-18,04:43,64,"post-punk, darkwave, cold wave, gothic rock","Этажи",2018-09-07,51,63,89,39,0,0,-4,D Major,4,4nvsRb9ypaqqDXcZxjn6ba,AEA0D1846148
21,"Monolith","Twin Tribes",142,10A,95,2026-04-18,04:24,59,"darkwave, post-punk, cold wave, gothic rock, deathrock","Pendulum",2024-01-26,51,0,76,80,0,10,-6,B Minor,4,4T1oZ3UAFKbraSp5JAISWW,QZPLS2326897
22,"Surreal","Flawed Mangoes",156,10B,87,2026-04-18,04:47,64,"","Anomaly III",2025-04-23,35,0,0,42,0,10,-5,D Major,4,4bzbaBvahwx1R0jyh5TO8U,QZZ4J2500145
23,"Change (In the House of Flies)","Deftones",142,6A,85,2026-04-18,04:59,83,"nu metal, alternative metal, rap metal, rock, shoegaze","White Pony",2000-00-00,27,0,0,18,0,10,-5,G Minor,4,51c94ac31swyDQj9B3Lzs3,USMV20000039
24,"Runaway Runaway","ceZk",83,8B,85,2026-04-18,04:05,64,"","Runaway Runaway",2025-08-23,55,0,62,58,0,40,-5,C Major,4,36sj44xxsQn1msaU4bOmc5,MXA3V2441201
25,"Red Sex","Vessel",128,1B,73,2026-04-18,05:37,66,"","Punish, Honey",2014-09-16,56,0,82,7,0,0,-7,B Major,4,2KBOfdbo1WlLsPI87RrqPH,GBCW31400146
26,"The Perfect Girl","Mareux",129,1A,89,2026-04-18,03:14,77,"darkwave, cold wave","The Perfect Girl",2021-12-08,49,0,82,26,0,10,-6,G#/A♭ Minor,4,5RBOcBpJXaNnHCGViJmYhh,QZF8N1986577
27,"I'm God","Clams Casino,Imogen Heap",142,10B,64,2026-04-18,04:37,77,"cloud rap, ","Instrumental Relics",2020-04-24,53,7,76,9,0,10,-7,D Major,4,0FVuyC9RP5MACjp4lgU3qZ,QM24S2003584
28,"Girl of My Dreams","Guti",139,6B,33,2026-04-18,03:42,70,"","Girl of My Dreams",2019-12-14,57,78,37,5,0,0,-16,A#/B♭ Major,4,6tIoXcKI2qpMsXCdFP3Gi0,TCAEO1957086
29,"When I'm Small","Phantogram",92,6B,76,2026-04-18,04:09,75,"","Eyelid Movies",2010-00-00,65,19,10,42,0,10,-4,A#/B♭ Major,4,3y1EzRl5UEQxxd1f6Bv2aN,USBS51300075
30,"Yugoslavskiy Groove","Soft Blade",120,10A,54,2026-04-18,04:04,64,"witch house, lo-fi house","Softic",2021-08-06,53,66,90,7,0,10,-11,B Minor,4,0CRZ3cFFZEUglP5RlU2f9o,TCAFR2124863
31,"Poison Tree","Grouper",111,1B,14,2026-04-18,03:16,75,"drone, ambient, slowcore, dream pop","Inca Ore / Grouper",2008-06-03,22,96,91,21,0,10,-23,B Major,4,6Q5uDNuuFYa8ToL3CCoHPC,QMFMF2125817
32,"All I Need","Radiohead",88,9A,48,2026-04-18,03:48,83,"art rock, alternative rock","In Rainbows",2007-12-28,67,53,43,10,0,10,-9,E Minor,4,5Qv2Nby1xTr9pQyjkrc94J,GBSTK0700005
33,"Pumped Up Kicks","Foster The People",128,4A,71,2026-04-18,03:59,87,"","Torches",2011-05-23,73,14,12,97,0,10,-6,F Minor,4,7w87IxuO7BDcJ3YUqCyMTT,USSM11002931
34,"Black No. 1 (Little Miss Scare -All)","Type O Negative",94,12B,70,2026-04-18,11:15,64,"gothic metal, gothic rock, doom metal","Bloody Kisses (Top Shelf Edition)",1994-05-10,35,4,0,42,0,10,-9,E Major,4,710B9xFjNOisQtKtppZE9p,NLA329300680
35,"Тёмная Ночь (2026 Remaster)","Марк Бернес",115,9B,10,2026-04-18,02:49,43,"","Тёмная Ночь (2026 Remaster)",2026-03-13,37,98,87,38,0,30,-23,G Major,4,6HtfWM4H76s77tAGEIoV7A,USA2P2613673
36,"Спокойная ночь","Kino",101,8A,61,2026-04-18,06:22,64,"post-punk, cold wave","Последний герой",1989-01-01,67,55,65,26,0,0,-10,A Minor,4,0u6SJZRhC1KSguPxLACkt9,RUB421401403
37,"Teacher's Pet","Melanie Martinez",141,6A,79,2026-04-18,04:01,76,"","K-12",2019-09-06,69,27,0,53,0,10,-6,G Minor,3,5o5akY9xnEk6lpMkD8RwD9,USAT21902535
38,"Crazy Girls","TOOPOOR",90,4A,66,2026-04-18,03:14,66,"","Crazy Girls",2019-02-08,66,4,0,48,0,70,-4,F Minor,4,6cSDNYoWlMxzVfJLn6H301,UKELY1800162
