#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Panic Attack","Halsey",123,7B,56,2025-03-14,03:36,48,"","The Great Impersonator",2024-10-25,73,20,0,59,0,10,-6,F Major,4,5OKyVJq7nRnWfBbsiCiyfb,USSM12405391
2,"INTP","Psyche in Stereo",95,2B,83,2025-03-14,02:40,4,"","Stereo | Type",2023-05-17,71,8,0,67,20,10,-7,F#/G♭ Major,4,2EgRsiGYObrKAaJmdV2WuK,QZK6L2361194
3,"Diet Pepsi","Addison Rae",150,6B,56,2025-03-14,02:49,76,"","Diet Pepsi",2024-08-09,67,50,1,84,0,10,-7,A#/B♭ Major,4,6MzofobZt2dm0Kf1hTThFz,USSM12405456
4,"Take Me Home","Jess Glynne",75,11B,45,2025-03-14,04:25,67,"","I Cry When I Laugh",2015-00-00,58,29,0,24,0,10,-6,A Major,4,6oO10y1h2VyxJQfomG4CtH,GBAHS1500226
5,"girls like me don't cry","thủy",110,5A,56,2025-03-14,03:33,64,"","girls like me don't cry",2022-10-06,86,40,0,46,0,0,-6,C Minor,4,2DtUUBwYwEzKMTMDrc5EiO,QZLBC2200766
6,"Midnight in Paris","Cian Ducrot",80,9B,40,2025-03-14,03:49,22,"","started in college (mixtape)",2020-07-10,59,59,0,63,10,10,-12,G Major,4,5LVb2I6FxEFfWEWAVBN99D,GBKPL1937402
7,"Thunderclouds (feat. Sia, Diplo, and Labrinth)","Sia,Diplo,Labrinth,LSD",112,9B,71,2025-03-14,03:07,70,"moombahton, dance pop","LABRINTH, SIA & DIPLO PRESENT... LSD",2019-04-12,69,1,0,49,0,10,-6,G Major,4,4lJNen4SMTIJMahALc3DcB,USQX91801532
8,"Talk (feat. Disclosure)","Khalid,Disclosure",136,8B,40,2025-03-14,03:17,72,"house","Free Spirit",2019-04-05,90,5,0,35,10,0,-9,C Major,4,6TqXcAFInzjp0bODyvrWEq,USRC11900004
9,"Ego","Halsey",105,9B,96,2025-03-14,03:18,45,"","The Great Impersonator",2024-10-31,59,1,0,35,10,30,-2,G Major,4,2l56ErtqE7nB7igr97Y6CF,USSM12405388
10,"Human Nature (Great Good Fine OK Remix)","Paperwhite,Great Good Fine Ok",158,7B,73,2025-03-14,03:15,18,"","Human Nature (Great Good Fine OK Remix)",2017-03-14,62,51,0,41,0,20,-6,F Major,4,0qO6GpEDSQaP79CsRkhNAE,TCACY1784757
11,"Wanderlust","Paperwhite",196,4A,89,2025-03-14,03:28,33,"","Escape",2016-05-10,45,0,2,14,0,10,-6,F Minor,4,21PFmyhCNDENa8CfNYaPbY,TCACN1651373
12,"Bitter","FLETCHER",136,11A,59,2025-03-14,03:14,58,"","Bitter",2020-05-13,72,39,0,41,10,0,-7,F#/G♭ Minor,4,5Z0AM9HW78XIyZqF2BPasr,USUG12001789
13,"Red Wine (feat. Empress Of)","MØ,Empress Of",88,10B,80,2025-03-14,03:22,42,"","Forever Neverland",2018-10-19,61,4,0,44,20,60,-5,D Major,4,6CBLS6BxGCsbzKdSiKSxHC,GBARL1800847
14,"Imaginary Friend","MØ",125,4A,69,2025-03-14,03:47,31,"","Forever Neverland",2018-10-19,63,2,0,29,0,10,-8,F Minor,4,2iqkOvTG4z3L7IyuHugDKt,GBARL1800848
