#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Jealous","Eyedress",93,8A,92,2022-01-22,02:02,44,"","Jealous",2019-12-06,47,0,85,70,0,40,-10,A Minor,4,1aXV8GrmQLvgoFtBPERP7E,GBMYF1900115
2,"Freaks","Surf Curse",180,11B,94,2022-01-22,02:27,87,"indie","Freaks",2021-05-15,35,0,63,41,0,0,-10,A Major,4,7EkWXAI1wn8Ii883ecd9xr,USAT22102269
3,"After Dark","Mr.Kitty",140,4B,60,2022-01-22,04:17,3,"witch house, darkwave","Time",2014-08-08,58,7,41,4,0,0,-10,G#/A♭ Major,4,0zCgWGmDF0aih5qexATyBn,GBKPL1412568
4,"Alien Blues","Vundabar",82,5B,76,2022-01-22,02:35,79,"","Gawk",2015-07-24,47,8,91,43,0,0,-5,D#/E♭ Major,4,11iIikXxC6NP0Ma8vMD27x,USDY41567486
5,"Class of 2013","Mitski",126,8B,22,2022-01-22,01:49,0,"","Retired from Sad, New Career in Business",2013-08-01,44,94,0,12,0,10,-11,C Major,3,4N2ibi4kcH4D5ZYYvMiKsg,ushm81309669
6,"Touch-Tone Telephone","Lemon Demon",160,5A,71,2022-01-22,04:42,57,"","Spirit Phone",2016-02-29,63,20,0,57,0,10,-9,C Minor,4,1tmRlF5pFo8G5OfJYUjWrR,TCACM1645301
7,"Here","Alessia Cara",120,8B,82,2022-01-22,03:19,70,"","Know-It-All (Deluxe)",2016-03-11,38,8,0,33,10,0,-4,C Major,4,664gdARxaClFsoF5SXKOws,USUM71506251
8,"Rhinestone Eyes","Gorillaz",93,1A,70,2022-01-22,03:20,78,"","Plastic Beach",2010-03-05,68,9,0,85,0,0,-6,G#/A♭ Minor,4,1foMv2HQwfQ2vntFf9HFeG,GBAYE1000017
9,"Tranquility Base Hotel & Casino","Arctic Monkeys",142,8A,84,2022-01-22,03:31,58,"indie, garage rock","Tranquility Base Hotel & Casino",2018-05-10,59,4,1,78,0,20,-4,A Minor,4,2URDbWGmPz3vhagl25p8OC,GBCEL1800167
10,"Tennis Court","Lorde",90,8B,57,2022-01-22,03:18,71,"","Pure Heroine",2013-09-27,76,1,0,43,0,20,-9,C Major,4,74fpNVAJrKGQuqHETi4WSt,NZUM71300023
11,"Scrawny","Wallows",138,11A,82,2022-01-22,02:46,67,"indie","Nothing Happens",2019-03-22,64,0,6,80,0,10,-5,F#/G♭ Minor,4,1pNUmVxDiE8t6P1XxcZAv8,USAT21812259
12,"Juliet","Cavetown",132,2B,59,2022-01-22,04:38,71,"bedroom pop","Animal Kingdom",2019-04-12,55,0,0,36,0,0,-8,F#/G♭ Major,4,45ROR8UMn60YEVQnDy0uVF,USHM91882113
13,"Crack Baby","Mitski",64,2B,55,2022-01-22,04:52,68,"","Puberty 2",2016-06-17,18,0,25,6,0,0,-12,F#/G♭ Major,4,0I0MPzbmzsjpttpkqWgNyx,USJ5G1612310
14,"Russian Roulette","Red Velvet",130,6A,90,2022-01-22,03:31,47,"k-pop","#Cookie Jar",2018-07-04,71,1,0,96,0,10,-3,G Minor,4,7puC9LjNg0ItpjTz28yeaY,JPB601801786
