#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Romance Is Boring","Los Campesinos!",128,11A,93,2024-10-26,02:35,60,"","Romance Is Boring",2010-01-26,34,0,0,55,0,20,-3,F#/G♭ Minor,4,79jQsuUX9NAaVXKTXZ2DLJ,GBDNH0900971
2,"Girls","MARINA",114,8A,87,2024-10-26,03:26,59,"","The Family Jewels",2009-07-15,67,2,0,95,0,0,-5,A Minor,4,0Q10r6aIqGqeUdl6tY8wc7,GBFFS0900115
3,"What the World Needs","Tiffany Tatreau,Lillian Castillo,Chaz Duffy,Scott Redmond,Emily Rohm,The Ride the Cyclone World Premiere Cast Recording Ensemble,Kholby Wardell",100,4B,64,2024-10-26,03:03,58,"musicals","Ride the Cyclone: The Musical (World Premiere Cast Recording)",2021-05-07,76,24,0,67,30,20,-9,G#/A♭ Major,4,0i29E9ZhnHmwWqUTJ9vsnI,USSK32042560
4,"Are You Satisfied?","MARINA",124,8B,71,2024-10-26,03:18,71,"","The Family Jewels",2009-07-15,67,30,0,84,0,0,-5,C Major,4,6lKRMylSZMtA7EqPl0pcdI,GBFFS0900114
5,"Coffee","Jack Stauber's Micropop",116,2B,48,2024-10-26,00:58,67,"","Shop: A Pop Opera",2020-03-08,81,93,0,66,30,10,-11,F#/G♭ Major,4,2zmo93xTzKTP0lztR9iy9H,QMEZE2021309
6,"Oh No!","MARINA",127,8B,90,2024-10-26,03:02,73,"","The Family Jewels",2009-07-15,77,5,0,96,0,20,-4,C Major,4,4sNwdacKyi2S26WrRtNama,GBFFS0900127
7,"Nobody","Mitski",117,8B,72,2024-10-26,03:13,76,"","Be the Cowboy",2018-08-17,40,7,0,49,0,0,-5,C Major,4,2P5yIMu2DNeMXTyOANKS6k,USJ5G1815009
8,"My Alcoholic Friends","The Dresden Dolls",110,9A,68,2024-10-26,02:47,76,"","Yes, Virginia",2006-03-29,60,18,0,75,0,0,-4,E Minor,4,2gvmxusSOe3vNjNDjQWaso,NLA320581712
9,"Home","Cavetown",125,3B,47,2024-10-26,04:29,65,"bedroom pop","Home",2019-06-07,53,39,0,28,0,10,-5,C♯/D♭ Major,4,3XRALl9CNCnjjbCZid2L9w,USWB11900788
10,"Treehouse","Alex G,Emily Yacina",73,6A,20,2024-10-26,02:38,78,"lo-fi indie","Treehouse",2011-01-17,61,71,32,14,0,10,-19,G Minor,4,7fyG2MquxykO3Ufiku1Dj2,TCAFZ2296401
11,"Washing Machine Heart","Mitski",106,11B,82,2024-10-26,02:08,83,"","Be the Cowboy",2018-08-17,61,1,51,57,0,40,-4,A Major,4,3jjsRKEsF42ccXf8kWR3nu,USJ5G1815012
12,"Never Love an Anchor","The Crane Wives",105,8B,65,2024-10-26,03:48,0,"","Coyote Stories",2015-08-29,61,60,0,49,0,10,-8,C Major,4,0RPD5sbsSLnKWYOJ5iPPMm,QMUU81510592
13,"Blue Haired Boy","Elio Mei",109,3A,25,2024-10-26,01:13,49,"","Blue Haired Boy",2022-07-29,72,59,0,92,40,10,-12,A#/B♭ Minor,3,74aKOiizkE9bZTTaRw1pfW,QZMEM2200582
14,"All The Things She Said","t.A.T.u.",180,4A,83,2024-10-26,03:34,86,"","200 KM/H In The Wrong Lane (10th Anniversary Edition)",2002-00-00,53,4,1,38,0,10,-6,F Minor,4,4bJygwUKrRgq1stlNXcgMg,RUA110100098
15,"Passing Through (Can't the Future Just Wait)","Kaden MacKay",86,11A,15,2024-10-26,03:13,64,"","Passing Through (Can't the Future Just Wait)",2021-12-11,54,91,0,67,10,20,-17,F#/G♭ Minor,4,2lXqwlG8za1sWKgHRwEiEC,TCAFN2151061
16,"Meteor Shower","Cavetown",170,7B,49,2024-10-26,04:25,64,"bedroom pop","Cavetown",2015-11-09,51,43,0,14,0,10,-10,F Major,3,6A2itXgDf96XHp9qR6oyPN,TCADM1818853
17,"Misery Meat","Sodikken",110,3B,35,2024-10-26,01:04,1,"","Misery Meat",2021-01-12,83,86,0,76,20,10,-14,C♯/D♭ Major,4,7EZWdBiXeyqE0digwKa3k0,QZXLZ2391722
18,"The Cult of Dionysus","The Orion Experience,ORION,Linda XO",138,12A,84,2024-10-26,03:07,65,"","Cosmicandy",2006-01-01,66,1,0,80,0,0,-4,C♯/D♭ Minor,4,08KTQSs3ickNki7FFTb6fY,USCGH0714735
19,"I Am Not a Robot","MARINA",120,10B,49,2024-10-26,03:35,53,"","The Family Jewels",2009-07-15,67,57,0,49,0,10,-5,D Major,4,0fiPpwBPIaxxydn4KzX9Tc,GBFFS0900122
20,"Cloud 9","Beach Bunny",81,12B,93,2024-10-26,02:27,1,"","Honeymoon",2020-02-14,64,0,0,90,0,30,-4,E Major,4,6vFsBXYczYsP0H3lgunZOm,USQE91600054
21,"Alien Blues","Vundabar",82,5B,76,2024-10-26,02:35,79,"","Gawk",2015-07-24,47,8,91,43,0,0,-5,D#/E♭ Major,4,11iIikXxC6NP0Ma8vMD27x,USDY41567486
22,"I Love You Like An Alcoholic","The Taxpayers",108,9A,42,2024-10-26,03:35,0,"folk punk, anti-folk"," God, Forgive These Bastards  Songs From The Forgotten Life of Henry Turner",2012-06-19,61,38,0,21,0,10,-6,E Minor,4,7u63zva845rv8tRFi9FG8a,US4ZV1200087
23,"summer depression","girl in red",130,11B,31,2024-10-26,02:31,63,"bedroom pop","summer depression",2018-03-03,69,65,48,68,0,10,-16,A Major,4,3SEZEyvEALlomED5xFeqOs,GBLFP1817508
24,"The Family Jewels","MARINA",112,7A,55,2024-10-26,04:05,64,"","The Family Jewels (Deluxe)",2010-02-15,78,68,0,52,0,10,-5,D Minor,4,6o8ELmIvIxADEZnRWmDjjM,GBFFS0900130
25,"Seventeen","MARINA",130,8A,82,2024-10-26,03:02,64,"","The Family Jewels",2009-07-15,77,33,0,80,0,10,-6,A Minor,4,5UmLoBLWWRnqGhPfVWRgGd,GBFFS0900016
26,"Tongues & Teeth","The Crane Wives",126,8B,86,2024-10-26,03:41,0,"","The Fool in Her Wedding Gown",2012-09-22,62,10,0,52,0,10,-7,C Major,4,0XSOLgNqtHZgEEaQyoQctR,QMM891210007
27,"Sincerely, Me","Mike Faist,Ben Platt,Will Roland",98,9B,73,2024-10-26,03:42,64,"musicals","Dear Evan Hansen (Original Broadway Cast Recording)",2017-02-03,68,17,0,60,10,10,-6,G Major,4,4nna9JONFIwr98bcX6tlta,USAT21603423
28,"Ancient Dreams in a Modern Land","MARINA",138,3A,79,2024-10-26,03:26,63,"","Ancient Dreams In A Modern Land",2021-06-11,58,2,0,64,0,30,-5,A#/B♭ Minor,4,1R1ihosU2CSEaSw8e5ZF6E,USAT22101355
29,"Thus Always To Tyrants","The Oh Hellos",136,4A,74,2024-10-26,03:39,59,"folk pop, christian folk, indie folk","Dear Wormwood",2015-10-16,50,4,0,38,0,0,-9,F Minor,4,4ZZsSnVQXTMfYB2unKx7me,USAT21502724
30,"Constellations","The Oh Hellos",85,2B,51,2024-10-26,03:47,57,"folk pop, christian folk, indie folk","Notos",2017-12-08,56,26,0,26,0,10,-11,F#/G♭ Major,4,7g3MdW9vvunaniaNq4C8Fe,TCADI1729496
