#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Killer","Mareux",110,7B,86,2024-07-26,03:06,66,"darkwave, cold wave","Lovers From The Past",2023-05-05,63,25,84,34,0,0,-9,F Major,4,2AYS46aVNyzEG0nsWwr8y6,USWB12300769
2,"Thelema","Øfdream",142,3B,86,2024-07-26,03:29,60,"witch house, drift phonk","Øfdream: Anthology, Pt. 1",2017-10-20,61,45,89,42,0,0,-9,C♯/D♭ Major,3,098PU9y0wA153H6UI36uMy,QM7281726497
3,"ecstacy (slowed)","SUICIDAL-IDOL",106,10B,68,2024-07-26,01:59,77,"hyperpop","ecstacy (slowed)",2023-06-06,55,2,0,20,0,30,-7,D Major,4,1JgknGBbrfmEHeOZH051SS,QZK6F2330686
4,"Unfair","The Neighbourhood",194,4B,57,2024-07-26,02:26,66,"","#000000 & #FFFFFF (No DJ Version)",2014-11-28,48,1,78,4,0,10,-7,G#/A♭ Major,4,0xD23i0X1WjqMSYIxRfO80,USSM11709128
5,"Nightmare","plenka",130,9B,67,2024-07-26,03:02,55,"witch house, drift phonk, phonk","Pt. One",2019-11-27,52,7,1,29,20,10,-8,G Major,4,3REPhQyyEx3VxlRMIPlQg8,RUA1H1926340
6,"Char","Crystal Castles",100,1A,84,2024-07-26,03:08,65,"witch house, electroclash, new rave, alternative dance","Amnesty (I)",2016-08-19,65,2,7,35,10,30,-7,G#/A♭ Minor,4,2mHngbc9wHeVuJr59VCV2h,GBUM71603210
7,"drowning","Vague003",180,10A,61,2024-07-26,01:57,63,"","drowning",2022-12-09,55,2,85,5,0,10,-8,B Minor,4,32xjgqHt76Q8sipEop3Bci,USANG2239096
8,"Let Me Die","Lil Happy Lil Sad",79,1B,37,2024-07-26,03:38,54,"emo rap","Let Me Die",2017-07-29,50,77,60,10,0,10,-18,B Major,4,46T7puWlH8ptC6lx7bQ3TY,QZ8LD1701669
9,"drowning (slowed + reverb)","Vague003",162,9A,59,2024-07-26,02:12,59,"","drowning (remixes)",2022-12-16,54,1,83,14,0,10,-9,E Minor,4,59xqg5ECo9VHh9L6CKL3Fs,USANG2239112
10,"Transgender","Crystal Castles",138,9B,91,2024-07-26,03:04,65,"witch house, electroclash, new rave, alternative dance","(III)",2012-01-01,52,0,81,4,0,20,-9,G Major,3,3pbN3SGJott0Rgb5aE5kqc,GBUM71206689
11,"Suffocation - Slowed","noturgf",103,3A,66,2024-07-26,01:04,2,"","Suffocation (Slowed)",2023-03-27,56,0,14,51,0,20,-6,A#/B♭ Minor,4,15uq77MdhAjrnBuumngIsz,GX8LD2394853
12,"Silhouette","Pastel Ghost",130,11B,93,2024-07-26,03:59,66,"witch house, darkwave","Silhouette",2013-07-09,58,1,87,48,20,10,-8,A Major,4,3HoGF4zDfQOkNQnUY6W2nH,TCAFZ2283201
13,"particles","Viliam Lane",93,4B,66,2024-07-26,02:30,0,"phonk, witch house","particles",2021-07-11,70,1,66,10,0,10,-8,G#/A♭ Major,4,0AjoBA8kZDxU9yggK0Ea1h,QZS632164854
14,"Kerosene","Crystal Castles",116,4B,55,2024-07-27,03:12,62,"witch house, electroclash, new rave, alternative dance","(III)",2012-01-01,52,8,0,9,0,10,-9,G#/A♭ Major,4,6E1YebXpPPtujMUljDNlOo,GBUM71206687
15,"K.","Cigarettes After Sex",94,5B,40,2024-07-27,05:20,7,"dream pop","Cigarettes After Sex",2017-06-09,45,14,84,32,0,10,-10,D#/E♭ Major,4,1FWsomP9StpCcXNWmJk8Cl,USBQU1600214
16,"Iris","Pastel Ghost",118,1A,86,2024-07-27,03:38,1,"witch house, darkwave","Ethereality",2018-10-05,53,0,89,60,0,10,-8,G#/A♭ Minor,4,7h7DK2ZHIe4w0id8qkNqla,QM6XS1807314
17,"Reflections","The Neighbourhood",114,10A,59,2024-07-27,04:04,88,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,65,11,5,54,0,10,-7,B Minor,4,2xql0pid3EUwW38AsywxhV,USSM11800527
18,"Untrust Us","Crystal Castles",126,10A,81,2024-07-27,03:06,1,"witch house, electroclash, new rave, alternative dance","Crystal Castles",2008-03-16,60,4,13,19,0,10,-5,B Minor,4,15rbqfWtrFCW3uLf9a01sf,CAL450896202
19,"Первый раз - remix nevroz","JojoHF,nevroz",145,9A,64,2024-07-27,01:09,40,"drift phonk","Первый раз (remix nevroz)",2021-02-25,76,57,81,35,10,10,-9,E Minor,3,1zE2dRkxtOLEOubAmqcHX3,FR2X42193594
20,"Sour Switchblade","Elita",110,1B,87,2024-07-27,02:28,1,"","Sour Switchblade",2021-09-02,53,4,93,86,0,10,-5,B Major,4,4wFeMmJDlgkAxlQ07PbdGZ,QM24S2105628
21,"escalator","pathetic240px",130,8B,65,2024-07-27,03:35,0,"witch house, hyperpop","escalator",2021-11-26,54,5,80,8,0,10,-4,C Major,4,3prKd2o9vHaGF1tc9Y8HHJ,RUUM72101050
22,"PRINCE OF DARKNESS","SHADXWBXRN,ARCHEZ,KXNVRA",124,4B,93,2024-07-27,02:03,60,"phonk, drift phonk","PRINCE OF DARKNESS",2022-01-14,69,15,84,49,0,10,-5,G#/A♭ Major,4,3F8ydJz1se1vIxZTRcRjIJ,QM4TW2200724
