#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"The Path","INTPMusic",99,8B,26,-,02:42,0,"","The Path",2024-05-17,47,81,9,27,0,10,-14,C Major,4,7JIgywhP0HzPRhF8k5KXoX,QZS662461788
2,"Riverside","Agnes Obel",99,8A,19,-,03:48,62,"","Philharmonics",2010-10-04,65,99,0,22,0,10,-13,A Minor,3,7iHl6LcHD94l5VpmfrBUmG,BEP011000054
3,"Karma","Sarah Kinsley",122,10A,85,-,03:57,46,"","Karma",2021-03-11,60,15,0,69,0,0,-6,B Minor,1,0xWFHBWOSiMqI2oFrJg0ky,GBKPL2143506
4,"I'm Not Dead","Vanessa Carlton",130,8B,55,-,02:38,30,"","Veils",2026-04-17,63,6,1,64,0,0,-7,C Major,4,1SLndH4yLThZ6NB6R0iaTK,QT6622605811
5,"Shine like the stars","PUJI RAHAY",123,11B,8,-,03:20,46,"","Shine like the stars",2025-07-31,39,89,0,22,0,40,-24,A Major,4,4Dp7LEkQ6dvlqMIKp0E1xa,AEA3A2150470
6,"Shades Of Gray","INTPMusic",124,8A,16,-,03:10,0,"","Shades Of Gray",2024-06-21,49,92,0,14,0,0,-15,A Minor,4,443XnrLwH8YcGzM4S090Gb,QZS632454533
7,"Little Star","Stina Nordenstam",115,7B,23,-,03:39,41,"slowcore, art pop","And She Closed Her Eyes",1994-00-00,60,57,0,22,0,10,-14,F Major,3,07vVUj64nGveXwpGR04JH4,SEPQA0900613
8,"Manic Monday","Kate Rusby",108,3B,57,-,04:36,37,"folk, celtic, traditional folk","Hand Me Down",2020-01-01,60,74,11,37,0,10,-7,C♯/D♭ Major,4,2XbrYDtqR2oJyUoQgGQeSI,GBBYC2001457
9,"I Love You Always Forever","Donna Lewis",104,7B,45,-,03:59,75,"","Now in a Minute",1996-04-16,74,63,42,12,0,0,-12,F Major,4,1PEqh7awkpuepLBSq8ZwqD,USAT29600040
10,"Strawberries in Winter","Vanessa Carlton",104,5A,30,-,03:18,29,"","Veils",2026-04-17,53,95,1,12,0,10,-9,C Minor,3,3WsX3wXyf9EKAPbGF5sgHC,QT6622605812
11,"Feather On Your Wings","INTPMusic",130,7B,80,-,02:34,0,"","Feather On Your Wings",2024-05-17,64,4,4,36,0,10,-10,F Major,4,0rd2TzYIM444JyMXNjdr2S,QM42K2461052
12,"Free, Free","Ladytron",120,8B,73,-,06:00,37,"electroclash, alternative dance, synthpop","Paradises",2026-03-20,54,26,57,46,0,10,-7,C Major,4,44V1HgMc28ssybXjnZYmMa,CAN112501555
13,"Carrion Comfort","aeseaes",95,10B,38,-,02:53,40,"","Shapeshifter",2021-01-15,66,76,1,23,0,0,-11,D Major,4,68LpavDZpwmB39dWM3opUq,USLZJ2005029
