#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Dear New Year","樊宇镈(Coulson Fan)",95,10B,71,-,03:10,37,"chinese r&b","Dear New Year",2025-12-30,74,57,0,42,0,20,-6,D Major,4,34aIgeUYglurC9qn6UuBXr,QT6G92575166
2,"till i die","tonybear",188,1B,50,-,03:44,41,"","starstruck",2025-10-24,28,50,0,25,0,10,-7,B Major,3,0A4O3X4ZOwC8qJNHddTFDS,QT3F72518668
3,"I Love This Song","Jessie Hill,ZUHAIR",132,9B,32,-,03:21,41,"nz reggae, ","I Love This Song",2025-11-28,68,77,0,35,10,10,-12,G Major,4,1AK6SU1MKmXP7ItyUdHGfd,AUG0H2501510
4,"Autumn Night","krnb",72,5B,67,-,03:15,45,"","in Autumn, You",2025-09-28,57,6,0,55,0,10,-4,D#/E♭ Major,4,3yEpbDpsrWJaRX2KJSM7HF,KSA002502025
5,"november 30 interlude","ZUHAIR",74,6B,34,-,01:57,42,"","COLOURS",2024-12-20,59,71,0,51,0,10,-11,A#/B♭ Major,4,7uLo4pKOLQ9JczAS1bhXiA,QZDA52452107
6,"ISFJ","樊宇镈(Coulson Fan)",67,9B,24,-,03:30,36,"chinese r&b","ISFJ",2025-06-05,70,76,0,22,0,10,-10,G Major,4,2ze5xFPoMEYdmjrF4fA8uu,QZTAY2582884
7,"after you don't love me anymore","Patrick Hizon,Maria Aragon",60,11B,36,-,03:34,46,"christmas","what a feeling.",2024-10-11,35,88,1,25,0,20,-11,A Major,4,4UoZ5j7DzQPaqU5HFt6Az8,QZTBE2427450
8,"DANCE THIS NIGHT AWAY","tonybear",105,8B,49,-,02:42,32,"","DANCE THIS NIGHT AWAY",2025-05-23,74,12,0,71,0,0,-7,C Major,3,2ukeP9Alz5KKO2qMWMTjGu,QZNWQ2542444
9,"Can You Love Me Tonight? - Stripped","KAIRO",114,1B,35,-,04:07,56,"","Can You Love Me Tonight? - Stripped",2022-07-13,62,73,0,35,0,10,-10,B Major,4,5Xef2VIPCHT6UOpF508Ail,USDA12204598
10,"Real tight, Real slow","16",148,10B,68,-,02:46,44,"","Not Anymore",2026-03-12,50,46,0,49,0,10,-6,D Major,4,21gkr60F7psOt3pNZGsGUg,KRMIM2571631
11,"Sagittarius（射手座）","樊宇镈(Coulson Fan)",95,3B,69,-,03:17,47,"chinese r&b","Sagittarius（射手座）",2026-03-28,71,19,0,84,0,30,-6,C♯/D♭ Major,4,0rnRdigAqV90Yqljl4OzUc,QZTAY2668885
12,"I Hope You Miss Me Too","Adrian Milanio",91,12B,27,-,03:33,42,"","Me & You (Loverboy Edition)",2026-03-27,57,87,0,28,0,10,-10,E Major,3,42toA7dbJANWnOVDxyGvgi,QT62W2508394
13,"You Arrived","ZUHAIR,Labit",84,7B,32,-,03:37,39,"","You Arrived",2026-02-11,63,69,0,48,0,10,-10,F Major,4,07ttGJgiMoA0LpEnH6VOwV,QZHN62641801
14,"Roses","tonybear",87,12B,77,-,02:51,38,"","Roses",2025-02-07,51,70,0,32,0,20,-6,E Major,4,5LIs50n4eAAgHZmpyx97z9,QZFYZ2563191
15,"blue","Jack Zhang,Different Hits",168,3B,13,-,03:19,45,"","blue",2025-10-17,49,92,0,64,0,10,-16,C♯/D♭ Major,3,3plMTxe2W4gce00Vh1iI5T,QZAKB2528427
16,"Gemini","樊宇镈(Coulson Fan)",95,2B,61,-,02:58,29,"chinese r&b","Gemini",2026-01-30,70,39,0,84,0,10,-6,F#/G♭ Major,4,077d3TNyk6VIlA9t1HSooa,QZHN72621768
17,"I Want You Too","oftn,Sonny Zero",176,11B,63,-,03:45,37,"","I Want You Too",2025-12-27,49,70,0,27,0,30,-7,A Major,3,0AWUDCy7FkbX4X8YhEyeJl,KSA002502968
18,"beautiful disaster","lullaboy",126,3B,25,-,03:19,29,"","hotels & heartbreaks",2026-02-26,51,86,0,48,0,20,-13,C♯/D♭ Major,4,5DcR33G0l32zIMzrziNnea,DGA062518418
19,"Why Do You","16",85,9B,47,-,02:29,45,"","Why Do You",2025-05-21,74,17,0,62,0,30,-6,G Major,4,0jZAXYV64prJIk004FifI1,KRMIM2528831
20,"meet you again","tonybear",150,9B,43,-,03:38,35,"","starstruck",2025-10-24,45,33,0,25,0,0,-8,G Major,4,0eeAKSulwSEus5fWF7TmL0,QT3F72518671
21,"DUMMY","donny daydream",89,1B,43,-,03:15,55,"","DUMMY",2025-02-14,68,51,0,51,0,10,-8,B Major,4,7HrWXshLomWHVYD1tC21S1,QZDA62589267
22,"Centerpiece","JHIN",93,10B,42,-,02:44,51,"","Centerpiece",2025-04-04,68,73,0,18,0,0,-10,D Major,3,5MlcCAtScThdqUBx3sa3Xe,QZPEW2594970
23,"Gorilla Grip","Greg Shilling",111,4A,65,-,03:05,63,"","Gorilla Grip",2025-03-28,78,21,1,83,0,10,-8,F Minor,4,72NSAIXc4MlxKdWCoqOe4S,QZHN42554552
24,"Dream","mikah",162,8B,63,-,02:54,36,"chinese r&b","Homesick",2025-11-18,67,58,0,34,0,10,-7,C Major,4,1OpgKay3Z8cmxVsi50OFqX,JPB602503590
25,"My Favourite Muse","ZUHAIR",115,3A,30,-,04:21,49,"","For the Lovers",2022-07-20,67,88,0,70,0,20,-11,A#/B♭ Minor,4,31j4XokWckLmq5O5niNh7R,QZMHP2017442
26,"Memories","tonybear,Mia Torres",95,8B,45,-,03:49,36,"","Memories",2023-07-23,74,14,0,60,0,10,-8,C Major,4,5EpS9eWquf30JrYB9Wjxkr,QZMEN2376408
27,"Love you even more","16",91,5B,44,-,02:18,43,"","Not Anymore",2026-03-12,56,81,0,28,0,10,-5,D#/E♭ Major,4,1NqTOzKSIQDJxbJJswPYq5,KRMIM2618679
28,"Aquarius","樊宇镈(Coulson Fan)",100,4B,76,-,03:33,34,"chinese r&b","Aquarius",2026-02-20,67,9,0,73,0,0,-4,G#/A♭ Major,4,5K84X5okfkb4MlMUz2frdV,QZMEM2617296
29,"Je N'aime Que Toi","oftn",91,10B,62,-,03:16,44,"","Je N'aime Que Toi",2022-10-03,59,46,0,45,0,40,-5,D Major,4,2WW1ymvg1h7hXbYoLFNhz8,KRB472201895
30,"In Between","mikah",130,2B,25,-,03:15,35,"chinese r&b","Homesick",2025-11-18,53,86,0,17,0,10,-12,F#/G♭ Major,4,5CpWHFzsuPULLqrLNIN7OG,JPB602503589
31,"it's you","Lemon City,colin",120,1B,42,-,03:02,38,"","Pigments",2026-02-24,76,48,0,55,0,10,-8,B Major,4,3BsOeCkv85P6bHDaPrieXZ,KRF632500335
32,"it's always been you","tonybear",145,4B,48,-,03:51,52,"","you're once in a lifetime",2024-09-27,49,48,0,31,0,30,-8,G#/A♭ Major,4,5gnS5AOHwSLce7M9JY2xS0,QZTB92431837
33,"PARALLEL","Labit",97,7B,69,-,02:45,30,"","SOL",2025-10-17,66,4,0,76,0,30,-5,F Major,4,7rSxqkh2eajW5VZpraqWFB,QZWFE2576907
34,"My Dream","hongjoin",75,5B,41,-,03:19,44,"","KOMOREBI",2024-05-10,55,44,0,26,0,20,-11,D#/E♭ Major,4,5RfIIkT6ZFMoupu6e2ejMO,DGA0Q2372604
35,"Tears of Faith","YAØ",76,2B,46,-,02:45,38,"","Radio Geisha ,Pt.1",2025-06-13,56,55,0,48,0,0,-7,F#/G♭ Major,4,5YmHQnCIWBzmxip17bGtDO,FR10S2523928
36,"wrong way, right","Paul Bill Jr.",96,7A,46,-,03:55,46,"","save a little for me",2025-10-17,73,61,6,87,0,10,-12,D Minor,4,03nPFsGFUGQqNLaSOqZZWp,QZWV32588642
37,"What If I Told You","Lemon City",95,1B,34,-,03:04,41,"","Our Season",2024-05-21,80,74,0,63,0,30,-7,B Major,4,6LBY8HDoDB8TST8vNP8P5t,KRE732300319
38,"starstruck","tonybear",87,9B,53,-,03:06,36,"","starstruck",2025-10-24,49,48,0,44,0,30,-8,G Major,4,13jK2cu5Fja5Nr7TRMVPRs,QT3F72518667
39,"Tangled Up (Reimagined)","Jesse Barrera,Nieman,Melissa Polinar",86,4B,25,-,04:01,40,"pinoy indie, ","What We Found",2021-02-19,26,79,0,22,0,10,-14,G#/A♭ Major,3,7oXq0IlzkPvgaISpOziw64,QZFZ52108531
40,"戒断（去哪里忘记你）","樊宇镈(Coulson Fan)",120,6B,63,-,03:17,26,"chinese r&b","戒断（去哪里忘记你）",2026-01-06,65,63,0,38,0,20,-6,A#/B♭ Major,4,2j8wTgTZDsAtOqYkSgFtPU,QZFZ42602026
41,"Almost","oftn,Sonny Zero",105,11B,58,-,03:27,42,"","Almost",2025-08-06,65,51,0,24,0,30,-6,A Major,4,4r8zNgk0Imkp7RpzXQotxL,KSA002501601
42,"Take You There","soowoo",162,12B,60,-,02:52,35,"","Take You There",2022-07-30,56,71,0,26,0,10,-5,E Major,4,69xe3Ix5HhyGL6XHUYSR0V,KRB472201260
43,"365","Kelly is Green",92,4B,44,-,03:22,55,"","Colorfully You",2025-10-02,75,81,0,70,0,20,-11,G#/A♭ Major,4,2EncKlD4EzcsCCY4qMV1y3,QT3F62578990
44,"you're once in a lifetime","tonybear",135,10B,30,-,03:43,41,"","you're once in a lifetime",2024-09-27,53,61,0,35,0,0,-12,D Major,4,0sGH4NoEyW9U8EpWjcfegZ,QZTB92431836
45,"hearts - sped up","Jack Zhang",109,12A,34,-,03:12,32,"","hearts (alternatives)",2025-07-26,61,85,0,56,0,30,-13,C♯/D♭ Minor,3,5e3nYEET4Oa7GeqlMfxFUr,QZWFM2592906
