#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Centuries","Fall Out Boy",176,9A,86,2025-04-18,03:48,83,"emo, pop punk","American Beauty/American Psycho",2015-01-16,39,0,0,56,0,10,-3,E Minor,4,04aAxqtGp5pv12UXAg4pkq,USUM71412644
2,"Unforgettable","French Montana,Swae Lee",98,2B,77,2025-04-18,03:53,89,"","Jungle Rules",2017-07-14,73,3,1,73,10,10,-5,F#/G♭ Major,4,3B54sVLJ402zGa6Xm4YGNe,USSM11703478
3,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth,Selena Gomez",100,12A,56,2025-04-18,03:37,85,"soft pop, ","Nine Track Mind (Special Edition)",2015-11-05,73,62,0,35,10,10,-8,C♯/D♭ Minor,4,54PbBpquVfhfrwRwvjSXbI,USAT21502909
4,"Attention","Charlie Puth",100,2A,61,2025-04-18,03:28,88,"soft pop","Voicenotes",2018-05-11,78,11,0,80,0,10,-5,D#/E♭ Minor,4,5cF0dROlMOK5uNZtivgu50,USAT21700928
5,"Heart Attack","Demi Lovato",174,4B,79,2025-04-18,03:30,83,"","Demi",2013-01-01,50,7,0,50,10,20,-5,G#/A♭ Major,4,1V6gIisPpYqgFeWbMLI0bA,USHR11334249
6,"One More Night","Maroon 5",93,4A,82,2025-04-18,03:39,82,"pop","Overexposed Track By Track",2012-01-01,72,6,0,62,0,0,-3,F Minor,4,6cpk00i5TxCqSeqNi2HuIe,USUM71203514
7,"Starboy","The Weeknd,Daft Punk",186,9B,59,2025-04-18,03:50,91,"french house, electronic, electro","Starboy",2016-11-25,68,14,0,49,20,10,-7,G Major,4,7MXVkk9YMctZqd1Srtv4MB,USUG11600976
8,"Shinunoga E-Wa","Fujii Kaze",158,11A,76,2025-04-18,03:05,78,"j-pop","HELP EVER HURT NEVER",2020-05-20,60,17,0,52,0,10,-6,F#/G♭ Minor,4,0o9zmvc5f3EFApU52PPIyW,JPPO02000610
9,"Michi Teyu Ku (Overflowing)","Fujii Kaze",144,11B,59,2025-04-18,05:10,60,"j-pop","Michi Teyu Ku (Overflowing)",2024-03-14,56,47,5,43,0,10,-8,A Major,4,4hsEFcCA7AL5hlKG4PRp2Z,JPPO02400480
10,"Garden","Fujii Kaze",138,12B,53,2025-04-18,03:49,62,"j-pop","LOVE ALL SERVE ALL",2022-03-23,59,9,0,58,0,10,-8,E Major,4,2vMc8rqFmqs7RFi8NDx0CJ,JPPO02200423
11,"That’s So True","Gracie Abrams",109,3B,81,2025-04-25,02:46,90,"","The Secret of Us (Deluxe)",2024-10-18,55,21,0,37,0,10,-4,C♯/D♭ Major,4,7ne4VBA60CxGM75vw0EYad,USUG12406903
12,"Die With A Smile","Lady Gaga,Bruno Mars",158,11A,60,2025-04-25,04:11,88,"art pop, pop, ","MAYHEM",2025-03-07,52,29,0,50,0,10,-8,F#/G♭ Minor,3,7so0lgd0zP2Sbgs2d7a1SZ,USUM72409273
