#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Francis Forever","Mitski",102,10B,45,2022-06-07,02:29,74,"","Bury Me At Makeout Creek",2014-11-11,54,0,0,32,0,10,-9,D Major,4,5411TEB6tlzvuF5A4oyldr,USA2B1511605
2,"Happier Than Ever","Billie Eilish",81,8B,23,2022-06-07,04:58,85,"","Happier Than Ever",2021-07-30,33,77,0,30,0,10,-9,C Major,3,4RVwu0g32PAqgUiJoXsdF8,USUM72105936
3,"WANNABE","ITZY",122,11A,91,2022-06-07,03:11,71,"k-pop","IT'z ME",2020-03-09,81,1,0,64,0,10,-4,F#/G♭ Minor,4,4pspYVQGFHLPEFgQPD1J7e,US5TA2000006
4,"Ultraviolence","Lana Del Rey",79,8B,54,2022-06-07,04:11,81,"","Ultraviolence (Deluxe)",2014-01-01,14,28,0,9,0,10,-7,C Major,3,1y3r6RXiJZNBV1EI0NggpS,GBUM71402015
5,"Hayloft II","Mother Mother",178,8A,87,2022-06-07,03:35,75,"","Inside (Deluxe)",2022-01-28,33,0,0,17,10,0,-5,A Minor,4,0kYMwaQWABTkFff8AZjmYI,CAW112100716
6,"Summertime Sadness","Lana Del Rey",112,12A,65,2022-06-07,04:25,86,"","Born To Die - The Paradise Edition",2012-01-01,56,5,0,24,0,10,-7,C♯/D♭ Minor,4,3BJe4B8zGnqEdQPMvfVjuS,GBUM71111565
7,"Not Allowed","TV Girl",105,3B,91,2022-06-07,02:47,1,"","Who Really Cares",2016-02-25,67,67,0,56,10,30,-7,C♯/D♭ Major,4,0jA4h2SD50Oak4C3Vn905a,uscgh1682131
8,"You Belong With Me","Taylor Swift",130,2B,75,2022-06-07,03:52,78,"","Fearless (Big Machine Radio Release Special)",2008-11-11,69,18,0,44,0,10,-4,F#/G♭ Major,4,1GEBsLDvJGw7kviySRI6GX,USCJY0803328
9,"Enjoy the Silence","Depeche Mode",113,5A,84,2022-06-07,04:15,78,"new wave, synthpop, darkwave","The Singles 86-98",1998-09-28,66,20,0,75,0,0,-6,C Minor,4,6WK9dVrRABMkUXFLNlgWFh,GBAJH9800146
10,"Video Games","Lana Del Rey",73,11A,25,2022-06-07,04:41,80,"","Born To Die - The Paradise Edition",2012-01-01,24,81,0,18,0,0,-10,F#/G♭ Minor,5,0fBSs3fRoh1yJcne77fdu9,GBUM71111621
11,"Lovesick Girls","BLACKPINK",128,2B,71,2022-06-07,03:14,72,"k-pop","THE ALBUM",2020-10-02,65,1,0,45,0,0,-6,F#/G♭ Major,4,4Ws314Ylb27BVsvlZOy30C,KRA402000136
12,"505","Arctic Monkeys",140,8B,87,2022-06-07,04:13,88,"indie, garage rock","Favourite Worst Nightmare",2007-04-22,53,0,0,25,0,0,-6,C Major,4,0BxE4FqsDD1Ot4YuBXwAPp,GBCEL0700074
13,"this is me trying","Taylor Swift",136,11B,48,2022-06-07,03:15,75,"","folklore",2020-07-24,52,31,0,41,0,10,-10,A Major,4,7kt9e9LFSpN1zQtYEl19o1,USUG12002843
14,"lovely (with Khalid)","Billie Eilish,Khalid",115,9A,30,2022-06-07,03:20,88,"","lovely (with Khalid)",2018-04-19,35,93,0,12,0,10,-10,E Minor,4,0u2P5u6lvoDfwTYjAADbn4,USUM71804190
15,"DALLA DALLA","ITZY",125,10A,85,2022-06-07,03:19,65,"k-pop","IT'z Different",2019-02-12,79,0,0,71,0,30,-5,B Minor,4,38rUIlTX93Aoif3WcY1wv6,US5TA1900013
16,"Drama Club","Melanie Martinez",74,4A,66,2022-06-07,03:45,62,"","K-12",2019-09-06,63,38,0,51,0,10,-7,F Minor,4,6FcNLunvzsHCVVf4TGYULM,USAT21902530
17,"champagne problems","Taylor Swift",171,8B,24,2022-06-07,04:04,74,"","evermore",2020-12-11,46,92,0,32,0,10,-12,C Major,4,0sY6ZUTh4yoctD8VIXz339,USUG12004700
18,"LO$ER=LO♡ER","TOMORROW X TOGETHER",125,10A,87,2022-06-07,03:19,70,"k-pop","The Chaos Chapter: FIGHT OR ESCAPE",2021-08-17,64,0,0,69,0,10,-4,B Minor,4,21aOLk12MksET8AsbU0SI6,USA2P2119859
19,"SugarCrash!","ElyOtto",98,8B,73,2022-06-07,01:20,72,"hyperpop","SugarCrash!",2020-08-25,75,52,0,37,10,10,-6,C Major,4,2ePtv8MlBO9nuuXABqAfEX,TCAFB2092742
20,"Softcore","The Neighbourhood",94,8A,57,2022-06-07,03:26,87,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,57,5,0,37,0,20,-6,A Minor,4,2K7xn816oNHJZ0aVqdQsha,USSM11800523
21,"SOLO","JENNIE",95,2A,64,2022-06-07,02:49,70,"k-pop","SOLO",2018-11-12,75,9,0,39,0,10,-5,D#/E♭ Minor,4,2wVDWtLKXunswWecARNILj,KRA401800139
22,"Devil Town","Cavetown",100,5B,76,2022-06-07,02:59,72,"bedroom pop","Cavetown",2015-11-09,58,12,0,50,0,10,-8,D#/E♭ Major,4,0vf2eBw2inhl8y61cYQMv2,TCADM1818860
23,"Better Than Me","The Brobecks",170,9B,67,2022-06-07,04:27,63,"","Violent Things",2009-04-25,38,0,0,43,0,0,-7,G Major,4,2ACs0dJwkSsvNZvEbvFurK,USTC90933456
24,"High By The Beach","Lana Del Rey",132,10A,49,2022-06-07,04:17,70,"","Honeymoon",2015-09-18,54,24,1,10,0,10,-11,B Minor,4,7g3htkaLz4ETFn0cifwM3y,GBUM71502978
25,"Style","Taylor Swift",95,9B,79,2022-06-07,03:51,85,"","1989 (Deluxe)",2014-01-01,59,0,0,49,0,10,-6,G Major,4,0ug5NqcwcFR2xrfTkc7k8e,USCJY1431319
26,"I'm with You","Avril Lavigne",152,11B,41,2022-06-07,03:43,78,"","Let Go",2002-06-04,46,8,0,21,0,10,-7,A Major,3,1jlG3KJ3gdYmhfuySFfpO1,USAR10200224
27,"Line Without a Hook","Ricky Montgomery",190,4B,65,2022-06-07,04:09,81,"","Montgomery Ricky",2016-04-01,43,26,0,51,0,20,-5,G#/A♭ Major,3,5NvOZCjZaGGGL597exlQWv,USA2P1624696
28,"Lust For Life (with The Weeknd)","Lana Del Rey,The Weeknd",100,5A,66,2022-06-07,04:24,72,"","Lust For Life",2017-07-21,50,60,0,26,0,30,-9,C Minor,4,0mt02gJ425Xjm7c3jYkOBn,GBUM71701127
29,"CRY FOR ME","TWICE",145,6B,69,2022-06-07,03:24,69,"k-pop","CRY FOR ME",2020-12-18,70,5,0,42,0,0,-5,A#/B♭ Major,4,2xtP8RNbo2BEMzLX7tK7aq,US5TA2000173
30,"my future","Billie Eilish",105,4B,31,2022-06-07,03:28,68,"","my future",2020-07-30,44,80,13,9,0,30,-11,G#/A♭ Major,4,2ygvZOXrIeVL4xZmAWJT2C,USUM72013019
31,"Numb","Linkin Park",110,11A,87,2022-06-07,03:07,90,"nu metal, rap metal, rock, alternative metal","Meteora",2003-03-25,49,0,0,21,0,40,-4,F#/G♭ Minor,4,2nLtzopw4rPReszdYBJU6h,USWB10300474
32,"Ride","Lana Del Rey",94,8B,69,2022-06-07,04:49,70,"","Born To Die - The Paradise Edition",2012-01-01,37,13,0,19,0,30,-6,C Major,4,7yFMhCJOsH7khgpdnyrZAZ,GBUM71205878
33,"Complicated","Avril Lavigne",78,7B,78,2022-06-07,04:04,86,"","Let Go",2002-06-04,59,6,0,43,0,30,-6,F Major,4,5xEM5hIgJ1jjgcEBfpkt2F,USAR10200223
34,"Youngblood","5 Seconds of Summer",120,6A,85,2022-06-07,03:23,82,"","Youngblood (Deluxe)",2018-06-15,60,2,0,15,40,10,-5,G Minor,4,2iUXsYOEPhVqEBwsqP70rE,GBUM71800366
35,"abcdefu","GAYLE",122,12B,54,2022-06-07,02:48,74,"","abcdefu",2021-08-13,70,30,0,42,0,30,-6,E Major,4,4fouWK6XVHhzl78KzQ1UjL,USAT22103652
36,"Criminal","Britney Spears",108,9B,73,2022-06-07,03:45,75,"pop","Femme Fatale (Deluxe Version)",2011-03-28,70,5,0,71,0,10,-5,G Major,4,6T689Jvh5KrSXyaPtUWZtQ,USJI11100103
37,"There Is a Light That Never Goes Out - 2011 Remaster","The Smiths",136,12B,77,2022-06-07,04:04,85,"new wave, madchester, jangle pop","The Queen Is Dead",1986-06-16,52,4,0,88,0,10,-6,E Major,4,0WQiDwKJclirSYG9v5tayI,GBCRL1100054
