#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"病","TREASURE",118,1B,73,2023-03-30,03:24,51,"k-pop","THE SECOND STEP : CHAPTER TWO (JP EDITION)",2022-11-30,78,15,0,91,0,50,-3,B Major,4,16Dklj36BXIa9bY1ZgP7DK,JPB602204457
2,"Given-Taken","ENHYPEN",108,1A,65,2023-03-30,03:03,72,"k-pop","BORDER : DAY ONE",2020-11-30,63,17,0,46,0,30,-5,G#/A♭ Minor,4,69WpV0U7OMNFGyq8I63dcC,USA2P2041798
3,"Blue Flame - Japanese ver.","LE SSERAFIM",112,9A,74,2023-03-30,03:21,45,"k-pop","FEARLESS",2023-01-24,77,2,0,75,0,0,-4,E Minor,4,6FnZShD1O17bZa9emuXLXh,JPPO02204997
4,"五月雨 (Samidare)","&TEAM",118,8B,72,2024-05-13,03:11,51,"k-pop, j-pop","五月雨 (Samidare)",2024-05-07,66,13,0,64,0,0,-4,C Major,4,7tXjyOod2TlM9g447E8NUn,JPPO02401035
5,"Straight Line","Kep1er",115,9B,91,2024-05-13,02:45,37,"k-pop","Straight Line",2024-04-24,75,2,0,76,10,0,-4,G Major,4,1HBYsYVdX49Gi1lrmqmk63,KRA492400505
6,"I WANT YOUR LOVE","TREASURE",128,4B,57,2024-05-13,03:08,48,"k-pop","2ND FULL ALBUM 'REBOOT'",2023-07-28,74,3,0,64,0,10,-6,G#/A♭ Major,4,77ayKToCEzFaq1ibGN9ajn,KRA402300015
7,"Now or Never - Japanese ver.","SF9",120,2B,94,2024-05-13,03:33,9,"k-pop","Now or Never",2018-10-31,72,3,0,70,10,40,-3,F#/G♭ Major,4,1FRYARf9Rr5f8n95lzzSW2,JPWP01871272
8,"BUT YOU - JP Ver","iKON",138,8B,90,2024-05-17,03:32,28,"k-pop","FLASHBACK [+ i DECIDE]",2022-07-07,63,6,0,76,0,10,-2,C Major,4,3dqK2y5U0v2FzYgFpbNWIO,JPB602202758
9,"SKETCH","Kiro Akiyama",94,8B,75,2024-06-22,03:57,52,"j-pop, anime, j-rock","SKETCH",2022-10-08,61,15,0,72,0,30,-3,C Major,4,1hoeIeIVXV9nDPWL21Nbjj,JPU902202176
10,"可愛いねって言われちゃった (feat. 星川サラ)","HoneyWorks,星川サラ",113,7B,78,2025-04-05,03:17,20,"vocaloid, j-pop, anime, ","告白実行委員会 -FLYING SONGS- 愛してる",2021-03-27,78,28,0,87,0,0,-4,F Major,4,15RAnVRUGar1haZBZDXdrN,TCJPO2127500
11,"BANG BANG BANG - KR Ver.","BIGBANG",135,3B,84,2025-04-05,03:41,58,"k-pop","MADE SERIES",2016-02-03,70,2,0,44,0,30,-3,C♯/D♭ Major,4,6iu311jZAJFLPgoIWgrA72,KRA401500556
12,"Gashina","SUNMI",94,2B,83,2025-04-05,03:00,61,"k-pop","SUNMI SPECIAL EDITION [Gashina]",2017-08-22,72,6,0,53,0,20,-4,F#/G♭ Major,4,0jFHMDRXxKaREor3hBEEST,KRA381702010
13,"ROSE","HANA",125,8B,86,2025-04-07,02:44,70,"j-pop","ROSE",2025-04-02,75,7,0,37,0,10,-4,C Major,4,5JTNhYqB0eG0ivgZcBviJ0,JPU902500941
14,"Tiger - KINISHY ver from Audition  No No Girls ","No No Girls",115,10B,85,2025-04-07,03:28,52,"j-pop","Tiger",2024-12-15,82,3,0,47,0,0,-3,D Major,4,1lZfQuXhvQ5qo495DTlCAt,JPU902404209
15,"Tiger - Showy. ver from Audition  No No Girls ","No No Girls",115,10B,86,2025-04-07,03:28,49,"j-pop","Tiger",2024-12-15,81,5,0,53,0,0,-3,D Major,4,474r5GmZNDhrHg8dJGAgo0,JPU902404210
16,"I LOVE U","WINNER",105,8B,68,2025-04-08,02:56,43,"k-pop","HOLIDAY",2022-07-05,78,2,0,89,0,0,-3,C Major,4,02Vb9vfZUmqAKNhQwFjPSZ,KRA402200004
17,"Billy Poco","ENHYPEN",135,8B,81,2025-04-08,02:25,0,"k-pop","BILLY POCO",2021-08-11,94,4,0,96,0,0,-4,C Major,4,2qxk6ZQyhE6OKHCG448nIt,KRB462100950
18,"Run BTS","BTS",77,4B,82,2025-04-08,03:24,81,"k-pop","Proof",2022-06-10,72,2,0,70,10,0,-4,G#/A♭ Major,4,69xohKu8C1fsflYAiSNbwM,USA2P2226298
