#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Countdown!","TWS",117,4A,79,2025-10-13,02:30,66,"k-pop","TWS 3rd Mini Album 'TRY WITH US'",2025-04-21,80,6,0,67,0,30,-4,F Minor,4,0ti0CEUPplsI7AZDyexrXy,USA2P2507772
2,"Pretty U","SEVENTEEN",155,4B,93,2025-10-13,03:27,64,"k-pop","SEVENTEEN 1ST ALBUM [FIRST ‘LOVE&LETTER’]",2016-04-25,64,2,0,88,10,0,-3,G#/A♭ Major,4,1117juaaAkSIUsQxTmmcKM,KRA381600780
3,"VERY NICE","SEVENTEEN",122,2A,90,2025-10-13,03:12,68,"k-pop","Love&Letter repackage album",2016-07-04,75,5,0,88,0,0,-3,D#/E♭ Minor,4,1Rrj7KyS2R6SP9CQMDJW1w,KRA381601262
4,"Supersonic","fromis_9",140,11A,80,2025-10-13,02:54,66,"k-pop, bubblegum pop","Supersonic",2024-08-12,67,5,0,42,0,10,-4,F#/G♭ Minor,4,6oNLSQX8bcAdbCElZYju3v,USA2P2444226
5,"A-TEEN","SEVENTEEN",150,1B,79,2025-10-13,03:16,55,"k-pop","A-TEEN Part.3",2018-08-13,65,11,0,54,10,30,-5,B Major,4,5P0Uo1LqAgvFuxabQMe81X,KRA381800492
6,"Our dawn is hotter than day","SEVENTEEN",125,1B,75,2025-10-13,03:32,59,"k-pop","SEVENTEEN 5th Mini Album 'YOU MAKE MY DAY'",2018-07-16,85,49,0,53,0,10,-5,B Major,4,2EGRE8lyfRRGuq7spra3eR,KRA871800012
7,"9-TEEN","SEVENTEEN",160,10A,78,2025-10-13,03:17,53,"k-pop","A-TEEN2 Part.2",2019-05-19,56,5,0,69,10,40,-5,B Minor,4,5G5MW3CIQ26AV08Yl7UV6m,KRA381901964
8,"Oh Mymy : 7s","TWS",109,10B,57,2025-10-13,03:09,45,"k-pop","TWS 1st Mini Album 'Sparkling Blue'",2024-01-22,87,7,0,68,0,10,-6,D Major,4,2EC7jrqSAs2spL3NLLXjw6,USA2P2360924
9,"Last Festival","TWS",118,3B,79,2025-10-13,03:11,63,"k-pop","TWS 1st Single 'Last Bell'",2024-11-25,82,5,0,63,0,10,-4,C♯/D♭ Major,4,4eDednnc8XIGpOmRNcho66,USA2P2466281
10,"Hello","SEVENTEEN",102,5A,74,2025-10-13,03:20,48,"k-pop","SEVENTEEN 2ND ALBUM 'TEEN, AGE' (2)",2017-11-06,83,15,0,81,0,0,-5,C Minor,4,7snRPf9l4LRCMV3hD8WD3W,KRA381702576
