#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"I Pray","LANY",133,6B,63,2025-01-01,03:02,65,"","a beautiful blur",2023-09-29,59,47,0,32,10,10,-10,A#/B♭ Major,4,0BtK8lJenHYbRn58vXlXJU,QM24S2304032
2,"Nectar","THE BOYZ",121,4B,80,2025-01-05,03:04,45,"k-pop, noise music","THE BOYZ 2ND ALBUM [PHANTASY] Pt.3 Love Letter",2024-03-18,66,11,0,54,0,30,-5,G#/A♭ Major,4,6MEtGumgTXWquxH35osvEC,KRA382401626
3,"Love is","Lemon City",106,1B,61,2025-01-05,02:27,42,"","Love is",2023-06-19,79,41,0,64,0,10,-5,B Major,4,2MLYYkj1ekJnakj1BBHaim,KRE732300070
4,"But Daddy I Love Him","Taylor Swift",80,12B,72,2025-01-05,05:40,68,"","THE TORTURED POETS DEPARTMENT",2024-04-18,52,38,0,44,10,10,-8,E Major,4,5og4Qzt92jJzVDkOtSEilb,USUG12401033
5,"Thick And Thin","LANY",100,4A,55,2025-01-05,03:32,72,"","Malibu Nights",2018-10-05,70,6,0,34,0,0,-6,F Minor,4,3D110t9ctcoOoylXsc3iR8,GBUM71805352
6,"Lean on Me","DAY6",180,10B,85,2025-01-06,03:29,41,"k-rock, k-pop","SUNRISE",2017-06-07,35,0,0,57,0,0,-3,D Major,4,0JdDFcZMaeS3YhhEp5hsOq,US5TA1700054
7,"About Now","DAY6",128,8B,55,2025-01-09,02:59,34,"k-rock, k-pop","The Book of Us : Entropy",2019-10-22,81,32,0,74,10,10,-8,C Major,4,6ta8EDAxh5rGrTxOaZabga,US5TA1900087
8," Slut!  (Taylor's Version) (From The Vault)","Taylor Swift",78,10B,42,2025-01-09,03:00,73,"","1989 (Taylor's Version)",2023-10-26,62,33,0,31,0,0,-13,D Major,4,71BqAINEnezjQfxE4VuJfq,USUG12306687
9,"Tick Tock","DAY6",144,12B,62,2025-01-10,03:53,41,"k-rock, k-pop","The Book of Us : The Demon",2020-05-11,72,16,0,51,0,20,-4,E Major,4,1YxYFl55wiAStPzwWzxq7H,US5TA2000026
10,"You're On Your Own, Kid","Taylor Swift",120,10B,39,2025-01-16,03:14,78,"","Midnights",2022-10-21,70,45,0,40,0,10,-10,D Major,4,4D7BCuvgdJlYvlX5WlN54t,USUG12205711
