#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"ふたりの世界","Aimyon",198,11B,75,2025-07-23,04:47,62,"j-pop","青春のエキサイトメント",2017-09-12,37,2,0,51,0,10,-5,A Major,4,5xJgF12zKoxMqayN8YldLB,JPWP01771839
2,"虜","My Hair is Bad",169,3B,80,2025-07-23,02:45,59,"j-pop","boys",2019-06-26,46,0,0,64,0,10,-4,C♯/D♭ Major,4,5KihK93JmGLvHN4Ryv7VgU,JPPO01901611
3,"ねぇ、","SHISHAMO",132,12A,91,2025-07-23,03:39,58,"japanese indie, j-rock, j-pop","SHISHAMO 5",2018-06-20,57,1,0,91,0,20,-3,C♯/D♭ Minor,4,4JVPjLZDhu0HKmxAip4qg4,JPPO01801215
4,"僕は君の事が好きだけど君は僕を別に好きじゃないみたい","back number",101,3B,77,2025-07-23,04:46,67,"j-pop, j-rock","シャンデリア",2015-12-09,58,1,0,70,0,0,-4,C♯/D♭ Major,4,1WutVejYvP7220sofj3xId,JPPO01510427
5,"カスミソウ","This is LAST",143,8B,82,2025-07-23,03:40,53,"j-pop","HOME",2024-03-27,48,0,0,53,0,10,-4,C Major,4,20tOgCqXKGwu4bwt9ng1JD,JPR652200114
6,"ラズベリー","Marcy",112,8B,77,2025-07-23,03:37,51,"j-pop","Candle",2023-11-29,58,2,0,59,0,20,-4,C Major,4,6b51IuJXtzOs7L2fIheYoE,JPPO02301812
7,"ミックス","Marcy",128,10B,82,2025-07-23,03:30,54,"j-pop","Candle",2023-11-29,63,7,0,71,0,30,-5,D Major,4,1Zc5q0eC09n2azb0dt8yOq,JPPO02302606
8,"ミスター・ブルースカイ","Macaroni Empitsu",118,5B,85,2025-07-23,03:53,68,"j-pop","CHOSYOKU",2017-12-07,39,7,0,54,0,0,-3,D#/E♭ Major,3,6glcoO077gTGhgdVI9X5wA,JPZ921711639
9,"ワンドリンク別","Macaroni Empitsu",118,7B,79,2025-07-23,01:50,64,"j-pop","アルデンテ",2019-04-18,56,3,0,52,0,10,-3,F Major,4,5tapE1gGyABsGFtgeOYchU,JPB971500102
10,"Slow & Easy","HIRAIDAI",78,8B,81,2025-07-23,03:35,63,"j-pop","Slow & Easy",2015-05-06,66,63,0,77,0,10,-4,C Major,4,4b5oBON2DgamONUxvP4JyQ,JPB601501689
