#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Why'd You Only Call Me When You're High?","Arctic Monkeys",92,10B,63,2024-02-28,02:41,87,"indie, garage rock","AM",2013-09-09,69,5,0,80,0,10,-6,D Major,4,086myS9r57YsLbJpU0TgK9,GBCEL1300370
2,"Do I Wanna Know?","Arctic Monkeys",85,7B,53,2024-02-28,04:32,89,"indie, garage rock","AM",2013-09-09,55,19,0,41,0,20,-8,F Major,4,5FVd6KXrgO9B3JPmC8OPst,GBCEL1300362
3,"R U Mine?","Arctic Monkeys",97,11A,76,2024-02-28,03:21,83,"indie, garage rock","AM",2013-09-09,29,1,0,62,0,30,-6,F#/G♭ Minor,4,2AT8iROs4FQueDv2c8q2KE,GBCEL1300363
4,"Snap Out Of It","Arctic Monkeys",130,4A,64,2024-02-28,03:13,81,"indie, garage rock","AM",2013-09-09,73,25,0,87,0,10,-6,F Minor,4,0NdTUS4UiNYCNn5FgVqKQY,GBCEL1300371
5,"Cassie","Chase Atlantic",108,7B,73,2024-02-28,03:30,60,"","Chase Atlantic",2017-10-04,62,17,0,28,0,10,-6,F Major,4,7J1dIWmxJoC0hhGFiFWy0s,USWB11700399
6,"Unforgettable","French Montana,Swae Lee",98,2B,77,2024-02-28,03:53,89,"","Jungle Rules",2017-07-14,73,3,1,73,10,10,-5,F#/G♭ Major,4,3B54sVLJ402zGa6Xm4YGNe,USSM11703478
7,"HER","Chase Atlantic",140,4A,59,2024-02-28,02:49,0,"","PHASES",2019-06-28,71,11,0,69,0,10,-5,F Minor,4,5i7g9wTIruXgWKvA83BXlk,QMRSZ1900587
8,"K.","Cigarettes After Sex",94,5B,40,2024-02-28,05:20,7,"dream pop","Cigarettes After Sex",2017-06-09,45,14,84,32,0,10,-10,D#/E♭ Major,4,1FWsomP9StpCcXNWmJk8Cl,USBQU1600214
9,"Uncomfortable","Chase Atlantic",97,12A,65,2024-02-28,05:40,60,"","Chase Atlantic",2017-10-04,46,5,0,18,0,10,-8,C♯/D♭ Minor,4,73URX96PE74KPnE9ogX2ib,USWB11701715
10,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd,JENNIE,Lily-Rose Depp",85,4B,64,2024-02-28,04:04,92,"k-pop, ","The Idol Episode 4 (Music from the HBO Original Series)",2023-06-23,26,4,0,19,0,10,-6,G#/A♭ Major,4,7CyPwkp0oE8Ro9Dd5CUDjW,USUG12303881
11,"Fluorescent Adolescent","Arctic Monkeys",112,12A,83,2024-02-28,03:03,79,"indie, garage rock","Favourite Worst Nightmare",2007-04-22,65,0,0,79,0,10,-5,C♯/D♭ Minor,4,2x8evxqUlF0eRabbW2JBJd,GBCEL0700067
12,"Heavenly","Cigarettes After Sex",105,4B,44,2024-02-28,04:46,55,"dream pop","Cry",2019-10-25,54,67,70,13,0,10,-9,G#/A♭ Major,4,70YTBH8vOGJNMhy6186yFm,USBQU1900118
13,"Consume (feat. Goon Des Garcons)","Chase Atlantic,GOON DES GARCONS*",146,8A,71,2024-02-28,04:27,78,"","Chase Atlantic",2017-10-04,56,7,0,43,10,20,-5,A Minor,4,0X2bh8NVQ8svDQIn2AdCbW,USWB11701710
14,"Swim","Chase Atlantic",120,4B,54,2024-02-28,03:48,86,"","Chase Atlantic",2017-10-04,67,27,0,8,0,0,-6,G#/A♭ Major,4,3M0lSi5WW79CXQamgSBIjx,USWB11701711
15,"Friends","Chase Atlantic",107,10A,61,2024-02-28,03:50,3,"","Nostalgia",2015-02-21,42,1,0,9,0,10,-6,B Minor,3,2jQiSYrwJehQAcuaaQrXnS,GBLFP1508173
16,"Sweet","Cigarettes After Sex",96,2B,51,2024-02-28,04:52,6,"dream pop","Cigarettes After Sex",2017-06-09,45,35,76,12,0,10,-9,F#/G♭ Major,4,6ilc4vQcwMPlvAHFfsTGng,USBQU1700036
17,"505","Arctic Monkeys",140,8B,87,2024-02-28,04:13,88,"indie, garage rock","Favourite Worst Nightmare",2007-04-22,53,0,0,25,0,0,-6,C Major,4,0BxE4FqsDD1Ot4YuBXwAPp,GBCEL0700074
18,"ANGELS","Chase Atlantic",116,7B,71,2024-02-28,04:18,0,"","PHASES",2019-06-28,61,6,0,36,0,10,-6,F Major,4,1uCMyqf4cgJ3LIu01SgXb5,QMRSZ1900600
