#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"I Can't Handle Change","Roar",186,7B,44,2022-06-07,03:18,3,"","I Can't Handle Change",2010-03-14,25,4,0,39,0,10,-8,F Major,3,0I1eFRytp4XRhLCjT6tZm7,USHM81020595
2,"No Surprises","Radiohead",76,7B,39,2022-06-07,03:49,87,"art rock, alternative rock","OK Computer",1997-05-28,26,6,0,12,0,10,-11,F Major,4,10nyNJ6zNy2YVYLrcwLccB,GBAYE9700386
3,"Last Words of a Shooting Star","Mitski",130,10B,17,2022-06-07,02:44,65,"","Bury Me At Makeout Creek",2014-11-11,39,47,0,10,0,10,-19,D Major,3,7gn3NdQez9Pwbqak4gspz5,USA2B1511611
4,"Somebody's Watching Me","Rockwell",124,12A,58,2022-06-07,04:53,63,"","12  80s Classics",2010-06-28,80,12,0,87,0,0,-8,C♯/D♭ Minor,4,2gGdO0zLa9W8ce1Ig0BzFK,USMO18400484
5,"Little Miss Perfect","Write Out Loud,Joriah Kwamé,Taylor Louderman",81,2B,19,2022-06-07,03:18,0,"musicals","Write out Loud",2019-09-09,60,83,0,53,10,0,-13,F#/G♭ Major,4,2nsU500CyT77T4YB02TwyL,QZ93L1960162
6,"The Only Exception","Paramore",138,12B,56,2022-06-07,04:27,70,"pop punk, emo","Brand New Eyes",2009-09-25,45,14,0,21,0,10,-7,E Major,3,3ZHfX6kbiY7JVsB63lLOLu,USAT20902323
7,"the 1","Taylor Swift",140,8B,36,2022-06-07,03:30,76,"","folklore",2020-07-24,78,76,0,17,0,10,-7,C Major,4,0Jlcvv8IykzHaSmj49uNW8,USUG12002835
8,"Humpty","Mitski",141,9B,29,2022-06-07,03:21,0,"","Retired from Sad, New Career in Business",2013-08-01,34,87,0,24,0,0,-12,G Major,3,4is2lDOSQPmYzvxY33dX40,ushm81309664
9,"Out Of The Woods","Taylor Swift",92,9B,84,2022-06-07,03:55,64,"","1989 (Deluxe)",2014-01-01,55,0,0,34,0,30,-7,G Major,4,0qUnBLZ8bJqUNEeQgayL9t,USCJY1431329
10,"Fireworks","Mitski",77,9B,31,2022-06-07,02:37,60,"","Puberty 2",2016-06-17,33,0,0,16,0,10,-11,G Major,4,17o747C5ZZ3UnAg0zNBjOW,USJ5G1612304
11,"NDA","Billie Eilish",85,4B,37,2022-06-07,03:15,75,"","Happier Than Ever",2021-07-30,77,34,53,55,0,10,-10,G#/A♭ Major,4,38GBNKZUhfBkk3oNlWzRYd,USUM72105935
12,"Top of My School","Katherine Lynn-Rose",209,12B,41,2022-06-07,02:37,59,"","Top of My School",2021-02-19,46,71,0,29,0,10,-10,E Major,3,5OKyAO31eOeJV5qEx2lv4k,QZFZ72108704
13,"Heat Lightning","Mitski",140,8B,27,2022-06-07,02:51,53,"","Laurel Hell",2022-02-04,54,68,1,26,0,10,-14,C Major,4,01vuMD0IeeHeQTSUk0f7iK,USJ5G2125005
14,"I Earn My Life","Lemon Demon",73,8B,82,2022-06-07,03:10,35,"","Spirit Phone",2016-02-29,71,18,0,86,0,10,-7,C Major,4,4RI2XoSY5KiiDshVhA9Khe,TCACM1645314
15,"Get Free","Lana Del Rey",204,6B,47,2022-06-07,05:34,68,"","Lust For Life",2017-07-21,21,50,0,4,0,10,-10,A#/B♭ Major,4,761QvVHTibYjEi2r6A4g4Q,GBUM71702625
16,"Memories","Conan Gray",113,1B,68,2022-06-07,04:08,61,"","Memories",2022-04-15,34,1,0,56,0,30,-6,B Major,4,7AYP21Q4qnxw2WxETEvSRb,USUM72204111
17,"Because Dreaming Costs Money, My Dear","Mitski",80,3B,17,2022-06-07,03:05,0,"","Retired from Sad, New Career in Business",2013-08-01,36,98,1,20,0,10,-14,C♯/D♭ Major,4,2DWf9b143xSKlm7ZWn4nVP,ushm81309663
18,"Living Dead","MARINA",124,9B,90,2022-06-07,04:04,47,"","Electra Heart (Deluxe)",2012-04-27,65,0,0,40,0,0,-3,G Major,4,4TSmV8D9i5uTXZzqoD5eSu,GBFFS1200015
19,"A Hard Day's Night - Remastered 2009","The Beatles",139,8B,81,2022-06-07,02:34,70,"classic rock, psychedelic rock","A Hard Day's Night (Remastered)",1964-07-10,59,14,0,80,0,10,-6,C Major,4,5J2CHimS7dWYMImCHkEFaJ,GBAYE0601438
20,"You Give Love A Bad Name","Bon Jovi",123,5A,96,2022-06-07,03:42,78,"glam metal","Slippery When Wet",1986-08-16,54,7,0,81,0,30,-3,C Minor,4,0rmGAIH9LNJewFw7nKzZnc,USPR39402224
21,"I Want It That Way","Backstreet Boys",99,11A,69,2022-06-07,03:33,86,"","Millennium",1999-05-18,69,26,0,48,0,10,-6,F#/G♭ Minor,4,47BBI51FKFwOMlIiX6m8ya,USJI19910614
22,"Fitter Happier","Radiohead",124,11B,39,2022-06-07,01:57,57,"art rock, alternative rock","OK Computer",1997-05-28,43,81,0,74,20,10,-15,A Major,4,6wnmRxEbwUK7WLyUtiRuT7,GBAYE9701373
23,"Better Man (Taylor's Version) (From The Vault)","Taylor Swift",74,12B,58,2022-06-07,04:57,71,"","Red (Taylor's Version)",2021-11-12,47,21,0,26,0,0,-6,E Major,4,4OmFmE0fzcMG6g0Y8p4eSD,USUG12103682
24,"UNNATURAL","WJSN",124,2B,91,2022-06-07,03:01,49,"k-pop","UNNATURAL",2021-03-31,70,37,0,71,10,10,-1,F#/G♭ Major,4,1eykKBqxHgasGHwjOQIvbt,KRA382102147
25,"Whatsername","Green Day",120,10B,55,2022-06-07,04:17,65,"punk, pop punk","American Idiot",2004-09-21,81,0,0,80,0,0,-6,D Major,4,6CVWD0WRqwbR4HsiKHk1j3,USRE10400994
26,"Amsterdam","Imagine Dragons",115,11B,77,2022-06-07,04:01,56,"","Night Visions",2012-09-04,52,1,0,21,0,10,-5,A Major,4,5gXdinVZqeuDIVxogWzRk0,USUM71208568
