#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Glimpse of Us","Joji",170,4B,29,2026-04-02,03:53,70,"","Glimpse of Us",2022-06-10,44,90,0,27,0,10,-10,G#/A♭ Major,3,3aBGKDiAAvH2H7HLOyQ4US,USWB12201789
2,"A Pearl","Mitski",85,4B,64,2026-04-02,02:36,71,"","Be the Cowboy",2018-08-17,30,5,2,22,0,10,-4,G#/A♭ Major,4,7fd3aMiuwHWKsTdZafjOfZ,USJ5G1815004
3,"No Surprises","Radiohead",76,7B,39,2026-04-02,03:49,87,"art rock, alternative rock","OK Computer",1997-05-28,26,6,0,12,0,10,-11,F Major,4,10nyNJ6zNy2YVYLrcwLccB,GBAYE9700386
4,"I Can't Handle Change","Roar",186,7B,44,2026-04-02,03:18,79,"","I Can't Handle Change",2010-03-14,25,4,0,39,0,10,-8,F Major,3,37l31PrCNsg8baUjarNAi9,USHM81020595
5,"Memory Reboot","VØJ,Narvent",81,4B,89,2026-04-02,03:29,69,"phonk, synthwave, drift phonk","Memory Reboot",2023-01-13,47,0,0,46,0,10,-6,G#/A♭ Major,4,1A7qPfbcyRVEdcZiwTFhZI,QM4TW2307105
6,"you broke me first","Tate McRae",124,12B,38,2026-04-02,02:50,84,"","TOO YOUNG TO BE SAD",2021-03-26,66,80,0,8,0,0,-9,E Major,4,4l0RmWt52FxpVxMNni6i63,USRC12000832
7,"I Wait for You","alex_g_offline",123,9B,30,2026-04-02,02:38,76,"","1234",2023-07-09,59,96,1,31,0,10,-14,G Major,4,7EDcAz6iuKSkxH4VcC3Oko,GX38U2388624
8,"Wish You Were Sober","Conan Gray",91,10B,73,2026-04-02,02:48,71,"","Kid Krow",2020-03-20,70,2,0,70,0,10,-5,D Major,4,0kn2gu8Pd03DiYHzRvX2Xk,USUM71924258
9,"It's Over Isn't It (feat. Deedee Magno Hall)","Steven Universe,Deedee Magno Hall",47,8B,20,2026-04-02,02:18,65,"","Steven Universe, Vol. 1 (Original Soundtrack)",2017-06-02,64,87,0,39,0,10,-12,C Major,4,2eqzI3kGqPk93vz8RkASfA,TCADA1768008
10,"Affection","Cigarettes After Sex",90,9B,42,2026-04-02,05:11,68,"dream pop","Affection",2015-10-05,41,50,91,28,0,10,-11,G Major,4,769vrAYHcuLwOV0at2hiOf,TCACJ1596829
