#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Farewell, Neverland","TOMORROW X TOGETHER",168,12A,65,2023-10-27,03:00,63,"k-pop","The Name Chapter: TEMPTATION",2023-01-27,62,36,0,79,10,10,-6,C♯/D♭ Minor,4,43mnNatwMMydJ4CxMdQVnJ,USA2P2243435
2,"La Equivocada","CNCO",90,1B,75,2023-10-27,03:18,43,"reggaeton, latin","La Equivocada",2022-04-07,81,2,0,66,0,10,-3,B Major,4,4hM1rUoUrthsX8D4BH74MO,USSD12200250
3,"Kiss","NCT DOJAEJUNG",92,9B,80,2023-10-27,03:00,54,"k-pop","Perfume - The 1st Mini Album",2023-04-17,67,17,0,71,10,30,-3,G Major,4,6iirdwpyu2Ohg3iVdu4vXl,KRA302300107
4,"Fact Check","NCT 127",130,4A,91,2023-10-27,03:04,1,"k-pop, noise music","Fact Check - The 5th Album",2023-10-06,76,8,0,57,10,20,-3,F Minor,4,5EtiQveQFQy0R05hLVDyKv,KRA302300304
5,"Delete","Katie Angel",174,5A,59,2023-10-27,02:59,27,"","Delete",2020-02-14,75,29,0,49,30,20,-3,C Minor,4,2PtslNzmSnoB3pmYCOqSNo,TCAEP2068732
6,"Cinderella","EXO",105,8A,71,2023-10-27,02:34,46,"k-pop","EXIST – The 7th Album",2023-07-10,76,24,0,57,0,10,-3,A Minor,4,7I5GXijbz8XNZjbn45t8bu,KRA302300248
7,"Poison","NCT DREAM",135,1A,61,2023-10-27,03:32,0,"k-pop, noise music","ISTJ - The 3rd Album",2023-07-17,64,6,0,59,0,30,-4,G#/A♭ Minor,4,0JelY23AS8fyxqGT9kkibH,KRA302300214
8,"Tattoo","Loreen",150,2A,78,2023-10-27,03:03,80,"europop","Tattoo",2023-02-25,55,24,0,30,0,10,-6,D#/E♭ Minor,4,1DmW5Ep6ywYwxc2HMT5BG6,SEUM72201638
9,"Water","Tyla",117,2A,72,2023-10-27,03:20,85,"afrobeats","Water",2023-07-28,67,9,0,52,0,10,-3,D#/E♭ Minor,4,5aIVCx5tnk0ntmdiinnYvw,USSM12305126
10,"Candy","Plan B",96,10A,87,2023-10-27,03:27,75,"reggaeton","Love and Sex",2014-09-09,90,25,0,59,10,50,-4,B Minor,4,2cRtuTadVm0JzoW4NNTIqI,USB271311099
11,"Candy (Feat. Zion.T)","Jay Park,Zion.T",104,4B,71,2023-10-27,03:06,43,"k-rap, k-pop, k-ballad","Candy",2023-05-23,58,12,0,65,20,10,-7,G#/A♭ Major,4,0luFANDtNNjcBXKazh3dV8,KRMIM2351969
