#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"First Love/Late Spring","Mitski",100,8B,54,2022-04-12,04:38,77,"","Bury Me At Makeout Creek",2014-11-11,45,0,1,10,0,20,-8,C Major,4,3sslYZcFKtUvIEWN9lADgr,USA2B1511604
2,"bad guy","Billie Eilish",135,9B,43,2022-04-12,03:14,83,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,70,33,13,56,30,10,-11,G Major,4,2Fxmhks0bxGSBdJ92vM42m,USUM71900764
3,"Pumped Up Kicks","Foster The People",128,4A,71,2022-04-12,03:59,87,"","Torches",2011-05-23,73,14,12,97,0,10,-6,F Minor,4,7w87IxuO7BDcJ3YUqCyMTT,USSM11002931
4,"ICY","ITZY",125,10B,90,2022-04-12,03:11,61,"k-pop","IT'z ICY",2019-07-29,80,3,0,81,0,10,-3,D Major,4,2vdkN2NSQ5mxqNGg7sJUxs,US5TA1900067
5,"idfc","blackbear",145,9A,42,2022-04-12,03:27,70,"","dead",2015-06-02,72,8,0,46,0,10,-9,E Minor,4,3SErMoIKdRELto2OspGs5L,USLD90811103
6,"Teeth","5 Seconds of Summer",139,2A,45,2022-04-12,03:25,83,"","CALM",2020-03-27,75,4,0,43,0,0,-3,D#/E♭ Minor,4,3NxWJWftvkstyxvb1pZlFo,USUG11902528
7,"Natural","Imagine Dragons",100,10B,61,2022-04-12,03:09,82,"","Origins (Deluxe)",2018-11-09,70,22,0,22,0,0,-6,D Major,4,2FY7b99s15jUprqC0M5NCT,USUM71806694
8,"Wheels on the Bus","Melanie Martinez",96,9B,62,2022-04-12,03:40,63,"","K-12",2019-09-06,71,59,0,56,0,40,-6,G Major,4,2plUcsOZm6pi1kFUncqLni,USAT21902525
9,"...Ready For It?","Taylor Swift",160,10B,76,2022-04-12,03:28,79,"","reputation",2017-11-10,61,5,0,42,10,20,-7,D Major,4,2yLa0QULdQr0qAIvVwN6B5,USCJY1750003
10,"You Get Me So High","The Neighbourhood",88,6A,88,2022-04-12,02:33,82,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,55,19,8,39,0,10,-6,G Minor,4,7zwn1eykZtZ5LODrf7c0tS,USSM11707131
11,"Sippy Cup","Melanie Martinez",135,7B,65,2022-04-12,03:15,74,"","Cry Baby (Deluxe Edition)",2015-08-14,72,49,0,73,10,20,-9,F Major,4,2e4jB31WcGsxKL1ByqdZCq,USAT21501779
12,"Michelle","Sir Chloe",116,12B,44,2022-04-12,03:34,0,"","Party Favors",2020-10-23,37,8,0,11,0,10,-5,E Major,3,48rZVgAGm0OlbbxjikCpqm,QZDA41967250
13,"Heathens","Twenty One Pilots",90,9A,40,2022-04-12,03:15,84,"","Heathens",2016-06-16,73,8,0,55,0,10,-9,E Minor,4,6i0V12jOa3mr6uu4WYhUBr,USAT21601930
14,"WHISTLE","BLACKPINK",103,1B,72,2022-04-12,03:31,73,"k-pop","SQUARE ONE",2016-08-08,82,1,0,61,10,0,-5,B Major,4,6NEoeBLQbOMw92qMeLfI40,KRA401600168
15,"Detention","Melanie Martinez",95,2A,66,2022-04-12,03:56,63,"","K-12",2019-09-06,83,49,0,78,0,10,-6,D#/E♭ Minor,4,7i9AEaOWJrfVBsinUSefma,USAT21902534
16,"うっせぇわ","Ado",178,10A,98,2022-04-12,03:24,66,"j-pop, anime, vocaloid, j-rock","うっせぇわ",2020-10-23,53,0,0,58,0,0,-1,B Minor,4,6EzZn96uOc9JsVGNRpx06n,JPPO02002791
17,"bellyache","Billie Eilish",100,9A,57,2022-04-12,02:59,79,"","Bellyache",2017-02-24,70,46,7,41,10,40,-9,E Minor,4,51NFxnQvaosfDDutk0tams,USUM71615103
18,"my strange addiction","Billie Eilish",100,1A,31,2022-04-12,02:59,76,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,94,35,0,56,30,10,-11,G#/A♭ Minor,4,3Tc57t9l2O8FwQZtQOvPXK,USUM71900769
