#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"My Kink Is Karma","Chappell Roan",87,10B,60,2025-04-21,03:42,69,"","The Rise and Fall of a Midwest Princess",2023-09-22,56,1,0,42,0,10,-6,D Major,4,32fSZSbxeVoiZShMQKLc6Z,USUG12302737
2,"People I Don't Like","UPSAHL",90,10A,57,2025-04-21,02:22,63,"","People I Don't Like",2020-07-17,75,27,0,55,30,30,-7,B Minor,4,5srKMwXoeyrRnyTnNbpgIW,USQX92003333
3,"Emergence","Sleep Token",126,9A,58,2025-04-21,06:26,65,"progressive metal, metalcore","Emergence",2025-03-13,52,2,0,16,0,0,-7,E Minor,4,5NRpxJxtR6JkUhQS4F0um6,USRC12500014
4,"PETAL - Foster Hilding Remix","goneMUNE,Foster Hilding",59,12B,51,2025-04-21,05:29,2,"shoegaze","TULPA:REDUX",2023-03-13,17,0,64,13,0,20,-13,E Major,4,7pDpIJv1qKieyggF51Y7xX,QZDA62332875
5,"See you soon","Wisp",136,12A,88,2025-04-21,03:38,0,"shoegaze","See you soon",2024-01-24,43,1,83,29,0,20,-6,C♯/D♭ Minor,4,1seLWPX7HzMY1FZ4lrGXuD,USUM72400376
6,"roma","LULU Suicide",84,12B,90,2025-04-21,03:34,41,"","hi im ready to die",2024-08-16,41,0,43,64,0,10,-6,E Major,4,4dwzKa5RDpaYcNvet0tQUr,GX5MX2448085
7,"Save Your Tears","The Weeknd",118,8B,83,2025-04-21,03:35,87,"","After Hours",2020-03-20,68,2,0,64,0,50,-5,C Major,4,5QO79kh1waicV47BqGRL3g,USUG12000658
8,"Therefore I Am","Billie Eilish",94,10B,37,2025-04-21,02:53,73,"","Happier Than Ever",2021-07-30,88,23,14,66,0,0,-8,D Major,4,20R4HfKloPKgXDqU7UKk3x,USUM72021500
9,"do re mi","blackbear",111,4B,59,2025-04-21,03:32,78,"","digital druglord",2017-04-21,75,1,0,17,0,10,-6,G#/A♭ Major,3,6Se3x9ANMLv0dCDsjGmEjh,USLD91700850
10,"Incendeia (Genshin Impact)","Mistery,HOYO-MiX",139,11A,91,2025-04-21,03:00,24,"anime rap, soundtrack","Incendeia (Genshin Impact)",2025-01-12,49,0,3,32,0,20,-8,F#/G♭ Minor,4,3tsJbTYVOG8aDbsM0KezYn,QZYHM2500616
11,"Teeth","Mallrat",220,7B,85,2025-04-21,03:09,26,"","Teeth",2022-03-02,49,13,34,71,0,0,-7,F Major,4,4xgXivGYKauPmdv8YoBWbp,AU2DY2100515
12,"Illusion (From  Life is Strange )","Tessa Rose Jackson,FFM,Luciano Rossi",122,11B,58,2025-04-21,02:57,38,"","Illusion (From  Life is Strange )",2024-06-13,38,16,72,14,0,0,-10,A Major,4,0zcJ03SKjTb9UckHb9zwMD,UKW3Z2402057
13,"Amor","Derik Fein",92,8A,50,2025-04-21,03:32,44,"","Amor",2024-06-21,60,46,0,45,0,0,-9,A Minor,4,05yytw9oJKcgqrprX03JGd,TCAIJ2409310
14,"Gaslight","Derik Fein",142,5A,48,2025-04-21,03:24,51,"","Therapy",2024-03-29,62,34,0,53,0,10,-6,C Minor,3,7lNfkJeK5Oqio7YOIbSBCB,TCAGX2338410
15,"Going Under","The Haunt",105,3B,93,2025-04-21,02:19,32,"","Going Under",2024-11-29,54,0,0,38,0,20,-3,C♯/D♭ Major,4,595wNiuyUoaBsGY4lIm7WI,CAN112402479
16,"Kyouran Hey Kids!!","THE ORAL CIGARETTES",142,4B,98,2025-04-21,04:10,27,"j-rock, anime, j-pop","FIXION",2016-01-05,53,0,0,78,10,10,-2,G#/A♭ Major,4,38kcwx5znepLWCIBID0Bwm,JPJ221500801
17,"You Wanted More","VIOLENT VIRA",144,8A,67,2025-04-21,03:04,3,"","You Wanted More",2021-11-23,56,0,39,50,0,20,-8,A Minor,4,1xZw6LLWBxD7a9jmvd6OVn,QZNWY2165472
