#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"No, Thanks (Feat. Zion.T)","Jukjae,Zion.T",92,1B,49,2023-04-25,03:50,30,"k-ballad, k-rap","No, Thanks (Feat. Zion.T)",2020-06-14,81,50,0,65,0,20,-7,B Major,4,2puhFUzrx1DjRJN7guhQoe,KRA382001980
2,"선을 그어 주던가","1415",87,9B,45,2023-04-25,02:40,0,"k-rock","DEAR : X",2017-04-21,68,79,0,37,0,10,-9,G Major,4,3DO8WRX72c1Z5hduVL1Nd5,KRNAR1702157
3,"Antifreeze","Yerin Baek",124,3B,60,2023-04-25,04:05,0,"k-ballad","Love, Yerin",2021-09-10,73,77,0,57,0,10,-8,C♯/D♭ Major,4,4rBoCpnlrW5c5F1hiYQ0GT,KRMIM2135398
4,"D (Half Moon)","DEAN,Gaeko",170,9B,77,2023-04-25,03:49,62,"k-rap, k-pop","130 Mood : TRBL",2016-03-25,51,25,0,52,10,0,-5,G Major,4,3uA8SjMyDtwtt0jLPMQbVD,KRUM71600036
5,"2411","Crush",90,10A,48,2023-04-25,02:23,41,"k-rap, k-pop, k-ballad","wonderlust",2016-10-14,72,80,0,42,0,10,-8,B Minor,4,7187aqQ77ROGubLXO9Jv36,KRA381602010
6,"Make Up (Feat. Crush)","Sam Kim,Crush",125,8B,50,2023-04-25,03:27,51,"k-ballad, k-pop, k-rap","Sun And Moon",2018-11-22,70,50,0,65,0,0,-7,C Major,4,19zsSUEuJNzNA6eqInqyF9,KRA381801674
7,"Without u","Lixm",116,1B,55,2023-04-25,02:18,0,"k-ballad","Endure",2023-01-17,84,73,0,79,0,30,-6,B Major,4,0qXOsXtYlWrnYr2dWuEu8O,KRMIM2301059
8,"doodle (Feat. Yerin Baek) (Prod. by WOOGIE)","punchnello,Yerin Baek",100,9B,53,2023-04-25,03:07,48,"k-rap, k-ballad","doodle",2019-11-11,80,65,0,41,10,10,-7,G Major,4,4WiZMFJos3BUHSieP9cHTM,KRC711900076
9,"Slow","SOLE",78,3B,40,2023-04-25,04:01,46,"k-rap","Slow",2018-07-13,40,59,0,31,10,10,-7,C♯/D♭ Major,4,3bHE2Q0boauLBF8iJLUIga,KRMIM1804936
10,"5월의 밤 (May)","Zion.T",90,9B,36,2023-04-25,03:16,53,"k-rap, k-ballad","5월의 밤 (May)",2019-11-06,73,35,0,33,10,10,-9,G Major,4,3gVbD5APaL2N4yDWM5YWiQ,KRA401900241
11,"Walk In The Night (Feat. Zion.T)","Moon Sujin,Zion.T",94,10A,42,2023-04-25,03:05,46,"k-rap, k-ballad","Walk In The Night (Feat. Zion.T)",2020-10-21,81,11,0,40,10,10,-7,B Minor,4,1LEac3XXwvRlOWkKDZjLeK,KRA382006030
12,"Thinkin' bout you","OuiOui,Wilcox",85,4A,57,2023-04-25,03:36,46,"","HANA",2018-03-15,66,65,0,73,20,30,-5,F Minor,4,21DduanRJyq1KNV4h1DyWH,KRB471800390
13,"Yesterday You Left Me","10CM",119,8B,57,2023-04-25,03:42,0,"k-ballad, soundtrack","The 3rd EP",2021-11-11,80,24,0,61,0,30,-5,C Major,4,0JCAyXUAaQDj4NgwviZ2sC,KRF252100083
14,"NAPPA","Crush",162,4B,54,2023-04-25,03:14,45,"k-rap, k-pop, k-ballad","NAPPA",2019-08-28,56,39,0,54,20,10,-8,G#/A♭ Major,4,0iMGUZgpleuOUgZffF3ni2,QMEU31917088
15,"Cold Hands","Chan",92,5B,64,2023-04-25,03:14,47,"","Cold Hands",2020-02-18,58,79,0,15,0,30,-6,D#/E♭ Major,4,5gNwUVmtSSxrM1TyvGJ9kn,KRA252000239
16,"Your Dog Loves You (Feat. Crush)","Colde,Crush",102,11B,26,2023-04-25,04:33,54,"k-rap, k-pop, k-ballad","Your Dog Loves You",2018-03-28,66,93,0,13,0,50,-11,A Major,4,72cq3rZCIEYaq1TM8y5LBQ,KRNAR1804612
17,"City Life","GroovyRoom,Leellamarz",96,5A,63,2023-04-25,03:15,36,"k-rap","ROOM SERVICE",2019-09-09,79,53,0,48,0,20,-5,C Minor,4,3yp1VIzV5AjvvzzrgJ18SM,KRA381904167
18,"Sooljalee","GIRIBOY",90,2B,51,2023-04-25,03:22,38,"k-rap","Sooljalee",2016-11-16,89,5,0,24,20,0,-5,F#/G♭ Major,4,1VrpAZL277l0gnTBhSd3TH,KRA381602346
19,"Tattoo","Jukjae",166,7B,51,2023-04-25,03:09,38,"k-ballad","Tattoo",2019-08-14,46,80,0,29,10,10,-6,F Major,4,3B4AOfW6nDbCPb1pIEczJQ,KRA381903871
20,"Photograph","offonoff",90,5B,46,2023-04-25,03:59,50,"k-rap","boy.",2017-07-24,60,81,0,18,0,10,-8,D#/E♭ Major,4,0PkpRtJqrwuXhbdtJuQm7E,KRA401600245
21,"fall","Crush",85,8B,40,2023-04-25,03:51,49,"k-rap, k-pop, k-ballad","wonderlust",2016-10-14,63,85,0,25,0,0,-9,C Major,4,01jZKFyNcPRUP2gX9zxScj,KRA381602012
22,"sleeplessness(不眠)","OVAN,VAN.C",127,3B,69,2023-04-25,03:26,36,"k-ballad, k-rap, ","sleeplessness(不眠)",2019-06-02,66,81,0,48,0,20,-5,C♯/D♭ Major,3,63zyClEFJbDG9RoRtGHi9c,KRA381903125
