#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"First Love/Late Spring","Mitski",100,8B,54,2023-03-10,04:38,77,"","Bury Me At Makeout Creek",2014-11-11,45,0,1,10,0,20,-8,C Major,4,3sslYZcFKtUvIEWN9lADgr,USA2B1511604
2,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons,JID,Arcane,League of Legends",77,10A,78,2023-03-10,02:53,76,"score, ","Enemy (with JID) [from the series Arcane League of Legends]",2021-10-28,73,24,0,56,20,40,-4,B Minor,4,1r9xUipOqoNwggBpENDsvJ,USUM72119916
3,"bad guy","Billie Eilish",135,9B,43,2023-03-10,03:14,83,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,70,33,13,56,30,10,-11,G Major,4,2Fxmhks0bxGSBdJ92vM42m,USUM71900764
4,"Save Your Tears","The Weeknd",118,8B,83,2023-03-10,03:35,57,"","After Hours",2020-03-20,68,2,0,64,0,50,-5,C Major,4,5AG3LHmg3FyVbRESspoPAD,USUG12000669
5,"SOLO","JENNIE",95,2A,64,2023-03-10,02:49,70,"k-pop","SOLO",2018-11-12,75,9,0,39,0,10,-5,D#/E♭ Minor,4,2wVDWtLKXunswWecARNILj,KRA401800139
6,"Natural","Imagine Dragons",100,10B,61,2023-03-10,03:09,82,"","Origins (Deluxe)",2018-11-09,70,22,0,22,0,0,-6,D Major,4,2FY7b99s15jUprqC0M5NCT,USUM71806694
7,"Therefore I Am","Billie Eilish",94,10B,37,2023-03-10,02:53,73,"","Happier Than Ever",2021-07-30,88,23,14,66,0,0,-8,D Major,4,20R4HfKloPKgXDqU7UKk3x,USUM72021500
8,"うっせぇわ","Ado",178,10A,98,2023-03-10,03:24,66,"j-pop, anime, vocaloid, j-rock","うっせぇわ",2020-10-23,53,0,0,58,0,0,-1,B Minor,4,6EzZn96uOc9JsVGNRpx06n,JPPO02002791
9,"Seven Nation Army","The White Stripes",124,8B,47,2023-03-10,03:51,49,"garage rock, blues rock, rock, alternative rock","The White Stripes Greatest Hits",2020-12-04,73,1,37,30,0,20,-8,C Major,4,7bxon8K9DP6stYx5ZO9WlK,USVT10300001
10,"You Get Me So High","The Neighbourhood",88,6A,88,2023-03-10,02:33,82,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,55,19,8,39,0,10,-6,G Minor,4,7zwn1eykZtZ5LODrf7c0tS,USSM11707131
11,"The Only Heartbreaker","Mitski",151,1B,75,2023-03-10,03:04,55,"","Laurel Hell",2022-02-04,49,0,1,59,0,10,-7,B Major,4,4VYNZbmI3ixv9mlTTd9NKc,USJ5G2125006
12,"Black Out Days","Phantogram",92,9A,80,2023-03-10,03:47,75,"","Voices",2014-02-18,54,1,2,43,0,0,-4,E Minor,4,2IWtloZYQDcP8Ashwx8QEF,USUM71312035
13,"...Ready For It?","Taylor Swift",160,10B,76,2023-03-10,03:28,79,"","reputation",2017-11-10,61,5,0,42,10,20,-7,D Major,4,2yLa0QULdQr0qAIvVwN6B5,USCJY1750003
14,"ICY","ITZY",125,10B,90,2023-03-10,03:11,61,"k-pop","IT'z ICY",2019-07-29,80,3,0,81,0,10,-3,D Major,4,2vdkN2NSQ5mxqNGg7sJUxs,US5TA1900067
15,"Heathens","Twenty One Pilots",90,9A,40,2023-03-10,03:15,84,"","Heathens",2016-06-16,73,8,0,55,0,10,-9,E Minor,4,6i0V12jOa3mr6uu4WYhUBr,USAT21601930
16,"Wheels on the Bus","Melanie Martinez",96,9B,62,2023-03-10,03:40,63,"","K-12",2019-09-06,71,59,0,56,0,40,-6,G Major,4,2plUcsOZm6pi1kFUncqLni,USAT21902525
17,"She's My Collar (feat. Kali Uchis)","Gorillaz,Kali Uchis",140,1B,82,2023-03-10,03:29,80,"","Humanz (Deluxe)",2017-04-28,73,1,8,46,0,10,-6,B Major,4,3lIxtCaROdRDuTnNBDm3n2,GBAYE1700176
18,"Detention","Melanie Martinez",95,2A,66,2023-03-10,03:56,63,"","K-12",2019-09-06,83,49,0,78,0,10,-6,D#/E♭ Minor,4,7i9AEaOWJrfVBsinUSefma,USAT21902534
19,"Feel Good Inc.","Gorillaz,De La Soul",139,2B,71,2023-03-10,03:42,91,"jazz rap, east coast hip hop","Demon Days",2005-05-23,82,1,0,77,10,60,-7,F#/G♭ Major,4,0d28khcov6AiegSCpG5TuT,GBAYE0500172
20,"Michelle","Sir Chloe",116,12B,44,2023-03-10,03:34,68,"","Party Favors",2020-10-23,37,8,0,11,0,10,-5,E Major,3,6XrTwqp0vMc2Z3m4ttoyRe,QZDA41967250
21,"Just","Radiohead",176,6A,77,2023-03-10,03:54,76,"art rock, alternative rock","The Bends",1995-03-13,29,0,1,36,0,0,-7,G Minor,4,1dyTcli07c77mtQK3ahUZR,GBAYE9400060
22,"Oh Ana","Mother Mother",128,7B,53,2023-03-10,03:17,0,"","Touch Up",2007-05-08,51,67,0,34,0,10,-7,F Major,4,45i70K1PefHafKui2WxH0M,CAL450793904
23,"Custer","Slipknot",131,9B,98,2023-03-10,04:14,29,"nu metal, metal, alternative metal, rap metal, heavy metal","TikTok Rock",2022-07-08,41,0,0,54,10,10,-2,G Major,4,2Aj4Cbf7cQrTPLCw5Ccz0q,NLA321400448
24,"Hard to Love","BLACKPINK",105,7B,77,2023-03-10,02:42,63,"k-pop","BORN PINK",2022-09-16,65,1,0,46,0,10,-5,F Major,4,3MJhPqL2IgGs7gHEB2M35q,KRA402200024
25,"Oh my god","i-dle",110,9A,76,2023-03-10,03:15,64,"k-pop","I trust",2020-04-06,79,4,0,48,0,10,-4,E Minor,4,2DmRXiyn03tOqKgEJXlaiJ,KRA392000022
26,"Stay Soft","Mitski",105,9B,68,2023-03-10,03:16,56,"","Laurel Hell",2022-02-04,60,4,0,55,0,10,-9,G Major,4,07zVQBJfbOuaAhpT3stRFL,USJ5G2125003
27,"Killin' On Demand","Freddie Dredd",140,6B,74,2023-03-10,02:09,58,"phonk","Killin' On Demand",2018-12-18,89,0,0,95,0,10,-5,A#/B♭ Major,4,2qOfyyZc41LfQ63U9p3GVV,QZES91867985
28,"Iowa","Slipknot",174,2B,67,2023-03-10,15:05,47,"nu metal, metal, alternative metal, rap metal, heavy metal","Iowa (10th Anniversary Edition)",2001-00-00,32,0,76,34,0,30,-7,F#/G♭ Major,4,1Z2hqYB4SEwUAH2LP7eprO,NLA320119563
29,"The Hills","The Weeknd",113,5A,56,2023-03-10,04:02,88,"","Beauty Behind The Madness",2015-08-28,59,7,0,14,0,10,-7,C Minor,4,7fBv7CLKzipRk6EC6TWHOB,USUG11500737
30,"SIU","Maretu",120,1B,91,2023-03-10,04:38,66,"vocaloid","SIU",2019-11-25,68,6,0,66,0,0,-3,B Major,4,22tot0Y6uKuWdAZnEQyB6g,TCJPK1903026
31,"bellyache","Billie Eilish",100,9A,57,2023-03-10,02:59,79,"","Bellyache",2017-02-24,70,46,7,41,10,40,-9,E Minor,4,51NFxnQvaosfDDutk0tams,USUM71615103
32,"Love To Hate Me","BLACKPINK",162,4B,64,2023-03-10,02:51,65,"k-pop","THE ALBUM",2020-10-02,69,3,0,60,10,0,-5,G#/A♭ Major,4,7iKDsPfLT0d5mu2htfMKBZ,KRA402000138
33,"People I Don't Like","UPSAHL",90,10A,57,2023-03-10,02:22,63,"","People I Don't Like",2020-07-17,75,27,0,55,30,30,-7,B Minor,4,5srKMwXoeyrRnyTnNbpgIW,USQX92003333
34,"OHMAMI","Chase Atlantic",126,3A,72,2023-03-10,03:46,64,"","OHMAMI",2021-06-25,63,5,0,40,10,20,-6,A#/B♭ Minor,4,2zVaxB54fNngkbWs5uZnla,US5262124147
35,"Lonely","Palaye Royale",148,7A,62,2023-03-10,03:06,3,"","The Bastards",2020-05-29,62,6,0,48,0,0,-6,D Minor,4,4jXbcY2ulVT7MOPdN8nR50,USYFZ2031305
36,"Me, Myself & I","G-Eazy,Bebe Rexha",112,5A,67,2023-03-10,04:11,56,"","When It's Dark Out (Deluxe Edition)",2020-12-11,76,2,0,39,10,10,-7,C Minor,4,5TL04XPWpL2rTK7HLBWK6N,USRC11502210
37,"ON","BTS",106,8A,81,2023-03-10,04:06,59,"k-pop","Proof",2022-06-10,58,11,0,46,10,30,-5,A Minor,4,0U4hNZFJYNFdEAXZcHbkkc,QM4TX2001949
