#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Little Dark Age","MGMT",98,2B,71,2024-10-20,04:59,80,"indie","Little Dark Age",2018-02-09,71,1,0,62,0,10,-6,F#/G♭ Major,4,2Y0iGXY6m6immVb2ktbseM,USSM11707035
2,"Sweater Weather","The Neighbourhood",124,6B,81,2024-10-20,04:00,93,"","I Love You.",2013-04-22,61,5,2,40,0,10,-3,A#/B♭ Major,4,2QjOHCTQ1Jl3zawyYOpxh6,USSM11300080
3,"Skyfall","Adele",76,5A,55,2024-10-20,04:46,0,"soft pop","Skyfall",2012-10-05,35,42,0,8,0,10,-7,C Minor,4,3mr584ZFSkZrWja9kJAzlb,GBBKS1200164
4,"Genesis","Grimes",166,3A,68,2024-10-20,04:15,75,"art pop","Visions",2012-03-12,61,8,7,23,0,20,-7,A#/B♭ Minor,4,0yljUudXzjVcGEoYmLB17X,CA21O1200002
5,"Take A Slice","Glass Animals",152,11B,66,2024-10-20,03:49,77,"","How To Be A Human Being",2016-08-26,62,2,0,63,10,20,-7,A Major,4,37adYGaYaAWTGhBaOzX4Fh,GB2DY1600027
6,"Clair de Lune","Johann Debussy",76,3B,3,2024-10-20,04:35,67,"","Clair de Lune",2021-02-05,31,99,92,4,0,10,-24,C♯/D♭ Major,5,6Er8Fz6fuZNi5cvwQjv1ya,QZFZ42144449
7,"Where Is My Mind?","Pixies",81,12B,44,2024-10-20,03:49,75,"alternative rock","Death to the Pixies",1997-10-06,51,1,0,24,0,0,-14,E Major,4,0KzAbK6nItSqNh8q70tb0K,GBAFL9700100
8,"Cigarettes out the Window","TV Girl",114,8B,66,2024-10-20,03:18,86,"","Who Really Cares",2016-02-25,63,12,0,59,0,10,-6,C Major,4,6QeYSvYqYUsfBzsApbjDHO,USCGH1682129
9,"PROTECTION CHARM - SLOW & HARD VERSION","Miguel Angeles",109,10B,69,2024-10-20,03:30,65,"phonk","PROTECTION CHARM (SLOW & HARD VERSION)",2023-10-03,77,9,0,27,0,10,-4,D Major,4,3djuAEm8miwAn93JISOb7V,QZTB52354469
10,"I'd Rather Sleep","Kero Kero Bonito",142,6B,58,2024-10-20,01:55,68,"","Intro Bonito",2014-08-25,77,1,34,85,0,10,-7,A#/B♭ Major,4,614cx8ZtQJX7jRIBnUhPA7,GBSV71400025
