#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd,JENNIE,Lily-Rose Depp",85,4B,64,2024-04-30,04:04,92,"k-pop, ","The Idol Episode 4 (Music from the HBO Original Series)",2023-06-23,26,4,0,19,0,10,-6,G#/A♭ Major,4,7CyPwkp0oE8Ro9Dd5CUDjW,USUG12303881
2,"Starboy","The Weeknd,Daft Punk",186,9B,59,2024-04-30,03:50,91,"french house, electronic, electro","Starboy",2016-11-25,68,14,0,49,20,10,-7,G Major,4,7MXVkk9YMctZqd1Srtv4MB,USUG11600976
3,"Die For You","The Weeknd",134,12A,53,2024-04-30,04:20,86,"","Starboy",2016-11-24,59,11,0,51,0,10,-7,C♯/D♭ Minor,4,2LBqCSwhJGcFQeTHMVGwy3,USUG11600995
4,"Black Out Days","Phantogram",92,9A,80,2024-04-30,03:47,75,"","Voices",2014-02-18,54,1,2,43,0,0,-4,E Minor,4,2IWtloZYQDcP8Ashwx8QEF,USUM71312035
5,"Reminder","The Weeknd",160,4B,51,2024-04-30,03:38,83,"","Starboy",2016-11-25,71,14,0,39,10,10,-7,G#/A♭ Major,4,37F0uwRSrdzkBiuj0D5UHI,USUG11600998
6,"This Could Be Us","Rae Sremmurd",143,5A,69,2024-04-30,03:26,80,"","SremmLife",2015-01-06,73,29,0,76,10,10,-5,C Minor,4,4jTiyLlOJVJj3mCr7yfPQD,USUM71417486
7,"Under The Influence","Chris Brown",117,8A,56,2024-04-30,03:04,84,"r&b","Indigo (Extended)",2019-10-04,76,2,0,37,0,10,-9,A Minor,4,5IgjP7X4th6nMNDh4akUHb,USRC11902743
8,"Rodeo (Remix)","Lah Pat,Flo Milli",120,1B,56,2024-04-30,04:05,79,"","Rodeo (Remix)",2023-02-24,75,30,0,85,10,10,-5,B Major,4,035MzEbx4z2DxuRDymHXbv,USAT22301387
9,"Come Get Her","Rae Sremmurd",185,10B,56,2024-04-30,03:32,77,"","SremmLife",2015-01-06,69,19,0,12,10,0,-6,D Major,4,1Ser4X0TKttOvo8bgdytTP,USUM71417470
10,"Trust Issues","Drake",89,10A,54,2024-04-30,04:41,81,"rap","Care Package",2019-08-02,42,78,0,52,20,10,-5,B Minor,3,4Wjhj0WjkyECccfHVIgaTq,USUG11902746
