#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Melody","David Tao",110,12A,45,2021-01-25,04:29,59,"mandopop, chinese r&b, c-pop, taiwanese pop","黑色柳丁",2002-06-29,68,83,0,24,0,10,-6,C♯/D♭ Minor,4,6A4wVKbcg0mRriCFjZzX0Z,TWC210200008
2,"飛機場的10:30","David Tao",74,2B,49,2021-01-25,04:40,57,"mandopop, chinese r&b, c-pop, taiwanese pop","陶喆同名專輯",1997-12-06,49,61,0,42,0,10,-9,F#/G♭ Major,4,0v2hRgvRSMnHsTSWyaoKbH,TWC219701002
3,"普通朋友","David Tao",178,7B,28,2021-01-25,04:15,64,"mandopop, chinese r&b, c-pop, taiwanese pop","I'm O.K.",1999-06-29,56,68,0,47,0,10,-10,F Major,4,7CTitzr4eVIDCPUJi5Dr4B,TWC219900005
4,"愛我還是他","David Tao",133,1B,39,2021-01-25,04:52,66,"mandopop, chinese r&b, c-pop, taiwanese pop","太平盛世",2005-08-01,47,76,0,15,0,10,-8,B Major,4,13bw75oRjvxMv9VGIeM32i,TWE830512006
5,"流沙","David Tao",76,4B,29,2021-01-25,04:02,59,"mandopop, chinese r&b, c-pop, taiwanese pop","陶喆同名專輯",1997-12-06,65,67,0,39,0,20,-11,G#/A♭ Major,4,5ZZwQy1wofQhj7LJDNLflT,TWC219701010
6,"還是好朋友","Cyndi Wang",106,2A,72,2021-01-25,03:39,0,"mandopop, taiwanese pop, c-pop","My! Cyndi!",2020-09-20,65,35,0,38,0,10,-6,D#/E♭ Minor,4,55Wxza0JotyGGoVTRDUYlb,TWUM72000028
7,"遺失的美好","Angela Chang",100,7B,34,2021-01-25,04:21,54,"mandopop, taiwanese pop, c-pop","Over The Rainbow",2004-04-01,62,86,0,21,0,0,-9,F Major,4,3kcnCi8MfkMqFKeznqEEOE,TWD250418705
8,"親愛的那不是愛情","Angela Chang",150,11B,59,2021-01-25,04:16,56,"mandopop, taiwanese pop, c-pop","Ang5.0",2007-12-14,55,52,0,33,0,0,-6,A Major,4,1MAv2SJPGVVDHyFlhflmYR,TWA210722803
9,"其實很愛你","Angela Chang",132,3B,46,2021-01-25,04:01,33,"mandopop, taiwanese pop, c-pop","夢裡花",2007-01-01,46,58,0,19,0,0,-9,C♯/D♭ Major,4,6opuiI9LjTCkBUTyA89qZL,TWA210622002
10,"天空","JOLIN",126,7B,47,2021-01-25,04:38,56,"mandopop, c-pop, taiwanese pop","野蠻遊戲",2005-04-25,49,5,0,17,0,0,-8,F Major,4,0mBAfQuVGW2YHZvUM2NsLb,TWA470518004
11,"氧氣","Mavis Fan",93,2B,17,2021-01-25,04:32,45,"mandopop, taiwanese pop, chinese indie, c-pop, taiwanese indie"," 星星 精選",2001-09-06,46,94,0,14,0,10,-16,F#/G♭ Major,4,1HY8IN1XRvexOetZcxNofg,TWA219811406
12,"雪人","Mavis Fan",116,8B,31,2021-01-25,04:42,38,"mandopop, taiwanese pop, chinese indie, c-pop, taiwanese indie","好想談戀愛",1996-12-05,57,35,0,17,0,30,-13,C Major,4,4yiv37jghNbGoBK4Y9l7cA,TWA219608901
13,"眼淚","Mavis Fan",177,5B,18,2021-01-25,04:40,35,"mandopop, taiwanese pop, chinese indie, c-pop, taiwanese indie","自言自語",1995-12-07,25,79,0,13,0,10,-16,D#/E♭ Major,4,2mLZYl3SMV1DdoTWMhFxcI,TWA219507302
14,"檸檬草的味道","JOLIN",138,9B,38,2021-01-25,04:32,49,"mandopop, c-pop, taiwanese pop","城堡",2004-02-27,34,82,0,33,0,0,-6,G Major,4,3EXTRoJNceOMipc9kAbbAR,TWA470408003
