Depth,LR,Dropout,Accuracy,Balanced_Acc,Macro_F1
2,0.001,0.1,0.2852822580645161,0.2852822580645161,0.28241090107590744
2,0.001,0.3,0.2963709677419355,0.2963709677419355,0.2906760989065565
2,0.001,0.5,0.29536290322580644,0.29536290322580644,0.2912684468111236
2,0.0001,0.1,0.28225806451612906,0.282258064516129,0.2766752928939791
2,0.0001,0.3,0.26814516129032256,0.26814516129032256,0.2625696840833133
2,0.0001,0.5,0.2762096774193548,0.27620967741935487,0.2678966921385384
3,0.001,0.1,0.29838709677419356,0.2983870967741935,0.29451471456599687
3,0.001,0.3,0.3034274193548387,0.3034274193548387,0.2956541142996096
3,0.001,0.5,0.27923387096774194,0.27923387096774194,0.2670997375579808
3,0.0001,0.1,0.28326612903225806,0.28326612903225806,0.2819642795250986
3,0.0001,0.3,0.2782258064516129,0.2782258064516129,0.2678693223129422
3,0.0001,0.5,0.23487903225806453,0.23487903225806453,0.20999645525250937
4,0.001,0.1,0.29838709677419356,0.29838709677419356,0.2964597473806141
4,0.001,0.3,0.2842741935483871,0.2842741935483871,0.2781847087877676
4,0.001,0.5,0.2701612903225806,0.2701612903225806,0.24529687655156604
4,0.0001,0.1,0.2862903225806452,0.28629032258064513,0.28095985753211605
4,0.0001,0.3,0.29838709677419356,0.2983870967741935,0.2925785975797468
4,0.0001,0.5,0.23286290322580644,0.23286290322580644,0.20349403287807982
